DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                WarmBoxTemp               EtalonTemp                DasTemp                   MPVPosition               solenoid_valves           OutletValve               MeasurementMode           species                   HP_12CH4                  HP_12CH4_dry              HP_13CH4                  HR_13CH4                  Delta_iCH4_Raw            HP_Delta_iCH4_Raw         HP_Delta_iCH4_30s         HP_Delta_iCH4_2min        HP_Delta_iCH4_5min        HR_12CH4                  HR_12CH4_dry              HR_Delta_iCH4_Raw         HR_Delta_iCH4_30s         HR_Delta_iCH4_2min        HR_Delta_iCH4_5min        ChemDetect                H2O                       12CO2                     12CO2_dry                 13CO2                     Delta_Raw_iCO2            Delta_30s_iCO2            Delta_2min_iCO2           Delta_5min_iCO2           peak87_baseave_spec       peak88_baseave            peakheight_5              peak0_spec                ch4_splinemax             peak30_spec               peak_30                   SSIMPressure              PPF_res                   PPF_base_offset           PPF_slope_offset          PPF_shift                 PPF_CH4_conc              PPF_H2O_conc              PPF_C2H6_conc             PPF_C2H4_conc             PPF_NH3_conc              PPF_H2S_conc              GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   WS_WIND_LON               WS_WIND_LAT               WS_COS_HEADING            WS_SIN_HEADING            CAR_SPEED                 
2019-08-09                17:51:55.479              220.53605878              5292.865411               1565373115.479            0                         963                       1.4800533186E+02          4.5000205994E+01          4.5000144958E+01          4.4966636658E+01          4.1168956044E+01          0.0000000000E+00          0.0000000000E+00          1.6426455078E+04          1.0000000000E+00          1.0600000000E+02          1.8811455519E+00          1.9096681526E+00          2.0667792601E-02          2.0267557378E-02          -3.6885150758E+01         -3.6885150758E+01         -4.5557520050E+01         -4.7095910761E+01         -4.8007066836E+01         1.8340555716E+00          1.8707380932E+00          -3.5881734119E+01         -4.5768493640E+01         -4.7886248118E+01         -4.9125167902E+01         0.0000000000E+00          1.2085562520E+00          5.8643952539E+02          5.9918871674E+02          6.6628441088E+00          -1.0449608349E+01         -1.2889371323E+01         -1.3588832776E+01         -1.3484525755E+01         3.5693482747E+02          1.0481662958E+01          2.6198417768E+00          4.2708592481E+00          4.3299856490E+02          7.3721931372E+01          7.3804618061E+01          0.0000000000E+00          1.0876078542E-01          7.3905102328E+00          2.5157099406E-01          1.2488412910E-04          1.8573975739E+00          1.2088271173E+00          -4.5447339119E-01         6.4015550030E-03          3.0217346994E-02          -7.8846922889E+00         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-08-09                17:51:56.023              220.53606509              5292.865562               1565373116.024            0                         963                       1.4801333618E+02          4.5000205994E+01          4.5000144958E+01          4.4966636658E+01          4.1187500000E+01          0.0000000000E+00          0.0000000000E+00          1.6435314453E+04          1.0000000000E+00          1.0500000000E+02          1.8811455519E+00          1.9096681526E+00          2.0667792601E-02          2.0267557378E-02          -3.6885150758E+01         -3.6885150758E+01         -4.5557520050E+01         -4.7095910761E+01         -4.8007066836E+01         1.8340555716E+00          1.8707380932E+00          -3.5881734119E+01         -4.5768493640E+01         -4.7886248118E+01         -4.9125167902E+01         0.0000000000E+00          1.2085562520E+00          5.8764513600E+02          6.0043925370E+02          6.6767497993E+00          -1.0449608349E+01         -1.2889371323E+01         -1.3588832776E+01         -1.3484525755E+01         3.5766957875E+02          1.0481662958E+01          2.6198417768E+00          4.2708592481E+00          4.3299856490E+02          7.3721931372E+01          7.3804618061E+01          0.0000000000E+00          1.0876078542E-01          7.3905102328E+00          2.5157099406E-01          1.2488412910E-04          1.8573975739E+00          1.2088271173E+00          -4.5447339119E-01         6.4015550030E-03          3.0217346994E-02          -7.8846922889E+00         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-08-09                17:51:56.552              220.53607120              5292.865709               1565373116.552            0                         963                       1.4800951942E+02          4.5000205994E+01          4.5000144958E+01          4.4966636658E+01          4.1149267399E+01          0.0000000000E+00          0.0000000000E+00          1.6434359160E+04          1.0000000000E+00          1.0600000000E+02          1.8811455519E+00          1.9096681526E+00          2.0667792601E-02          2.0267557378E-02          -3.6885150758E+01         -3.6885150758E+01         -4.5557520050E+01         -4.7095910761E+01         -4.8007066836E+01         1.8340555716E+00          1.8707380932E+00          -3.5881734119E+01         -4.5768493640E+01         -4.7886248118E+01         -4.9125167902E+01         0.0000000000E+00          1.2085562520E+00          5.8764513600E+02          6.0043925370E+02          6.6424573127E+00          -1.5532042842E+01         -1.3241624832E+01         -1.3653614486E+01         -1.3512014999E+01         3.5766957875E+02          1.0480477285E+01          2.6198417768E+00          4.2708592481E+00          4.3299856490E+02          7.3721931372E+01          7.3804618061E+01          0.0000000000E+00          1.0876078542E-01          7.3905102328E+00          2.5157099406E-01          1.2488412910E-04          1.8573975739E+00          1.2088271173E+00          -4.5447339119E-01         6.4015550030E-03          3.0217346994E-02          -7.8846922889E+00         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-08-09                17:51:57.775              220.53608536              5292.866049               1565373117.775            0                         963                       1.4797488197E+02          4.5000205994E+01          4.5000144958E+01          4.4966636658E+01          4.1165625000E+01          0.0000000000E+00          0.0000000000E+00          1.6397436816E+04          1.0000000000E+00          1.5000000000E+02          1.8811007891E+00          1.9095982607E+00          2.0406063878E-02          2.0010922073E-02          -4.9046851075E+01         -4.9046851075E+01         -4.5285986627E+01         -4.7272141069E+01         -4.8009535285E+01         1.8464271795E+00          1.8834111519E+00          -5.4494950385E+01         -4.5962787067E+01         -4.8133876692E+01         -4.9159206536E+01         0.0000000000E+00          1.2075662634E+00          5.8764513600E+02          6.0043925370E+02          6.6424573127E+00          -1.5532042842E+01         -1.3241624832E+01         -1.3653614486E+01         -1.3512014999E+01         3.5766957875E+02          1.0480477285E+01          2.5869859130E+00          4.3043895781E+00          4.3281446927E+02          7.3661542066E+01          7.3744025275E+01          0.0000000000E+00          1.0708974268E-01          7.4931674260E+00          3.2301336314E-01          1.1214329291E-04          1.8534681008E+00          1.2094574408E+00          -6.5096913076E-01         2.3212630315E-03          2.9860598647E-02          -8.1278805684E+00         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-08-09                17:51:58.993              220.53609946              5292.866387               1565373118.993            0                         963                       1.4798892145E+02          4.5000205994E+01          4.5000144958E+01          4.4966636658E+01          4.1157967033E+01          0.0000000000E+00          0.0000000000E+00          1.6402343857E+04          1.0000000000E+00          1.0600000000E+02          1.8811007891E+00          1.9095982607E+00          2.0406063878E-02          2.0010922073E-02          -4.9046851075E+01         -4.9046851075E+01         -4.5285986627E+01         -4.7272141069E+01         -4.8009535285E+01         1.8464271795E+00          1.8834111519E+00          -5.4494950385E+01         -4.5962787067E+01         -4.8133876692E+01         -4.9159206536E+01         0.0000000000E+00          1.2075662634E+00          5.8764513600E+02          6.0043925370E+02          6.6424573127E+00          -1.5532042842E+01         -1.3241624832E+01         -1.3653614486E+01         -1.3512014999E+01         3.5766957875E+02          1.0516258161E+01          2.5869859130E+00          4.3043895781E+00          4.3281446927E+02          7.3661542066E+01          7.3744025275E+01          0.0000000000E+00          1.0708974268E-01          7.4931674260E+00          3.2301336314E-01          1.1214329291E-04          1.8534681008E+00          1.2094574408E+00          -6.5096913076E-01         2.3212630315E-03          2.9860598647E-02          -8.1278805684E+00         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-08-09                17:51:59.526              220.53610563              5292.866535               1565373119.526            0                         963                       1.4800438786E+02          4.5000205994E+01          4.5000144958E+01          4.4966636658E+01          4.1125000000E+01          0.0000000000E+00          0.0000000000E+00          1.6419675293E+04          1.0000000000E+00          1.0500000000E+02          1.8811007891E+00          1.9095982607E+00          2.0406063878E-02          2.0010922073E-02          -4.9046851075E+01         -4.9046851075E+01         -4.5285986627E+01         -4.7272141069E+01         -4.8009535285E+01         1.8464271795E+00          1.8834111519E+00          -5.4494950385E+01         -4.5962787067E+01         -4.8133876692E+01         -4.9159206536E+01         0.0000000000E+00          1.2075662634E+00          5.8865211606E+02          6.0145721431E+02          6.6537186682E+00          -1.5532042842E+01         -1.3241624832E+01         -1.3653614486E+01         -1.3512014999E+01         3.5828327599E+02          1.0516258161E+01          2.5869859130E+00          4.3043895781E+00          4.3281446927E+02          7.3661542066E+01          7.3744025275E+01          0.0000000000E+00          1.0708974268E-01          7.4931674260E+00          3.2301336314E-01          1.1214329291E-04          1.8534681008E+00          1.2094574408E+00          -6.5096913076E-01         2.3212630315E-03          2.9860598647E-02          -8.1278805684E+00         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-08-09                17:52:00.049              220.53611168              5292.866680               1565373120.049            0                         963                       1.4801695251E+02          4.5000249590E+01          4.5000188555E+01          4.4966549465E+01          4.1154761905E+01          0.0000000000E+00          0.0000000000E+00          1.6437612444E+04          1.0000000000E+00          1.0600000000E+02          1.8811007891E+00          1.9095982607E+00          2.0406063878E-02          2.0010922073E-02          -4.9046851075E+01         -4.9046851075E+01         -4.5285986627E+01         -4.7272141069E+01         -4.8009535285E+01         1.8464271795E+00          1.8834111519E+00          -5.4494950385E+01         -4.5962787067E+01         -4.8133876692E+01         -4.9159206536E+01         0.0000000000E+00          1.2075662634E+00          5.8865211606E+02          6.0145721431E+02          6.6703853626E+00          -1.3066079459E+01         -1.3434435078E+01         -1.3614037551E+01         -1.3505699647E+01         3.5828327599E+02          1.0534398598E+01          2.5869859130E+00          4.3043895781E+00          4.3281446927E+02          7.3661542066E+01          7.3744025275E+01          0.0000000000E+00          1.0708974268E-01          7.4931674260E+00          3.2301336314E-01          1.1214329291E-04          1.8534681008E+00          1.2094574408E+00          -6.5096913076E-01         2.3212630315E-03          2.9860598647E-02          -8.1278805684E+00         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-08-09                17:52:01.279              220.53612593              5292.867022               1565373121.280            0                         963                       1.4798802551E+02          4.5000297546E+01          4.5000236511E+01          4.4966453552E+01          4.1129296875E+01          0.0000000000E+00          0.0000000000E+00          1.6414184237E+04          1.0000000000E+00          1.5000000000E+02          1.8821543426E+00          1.9106666647E+00          2.0412445894E-02          2.0017263144E-02          -4.9281358589E+01         -4.9281358589E+01         -4.5746269417E+01         -4.7225057198E+01         -4.8056965659E+01         1.8448919980E+00          1.8818131753E+00          -5.3392190675E+01         -4.6985194965E+01         -4.8141342558E+01         -4.9270299815E+01         0.0000000000E+00          1.2075263908E+00          5.8865211606E+02          6.0145721431E+02          6.6703853626E+00          -1.3066079459E+01         -1.3434435078E+01         -1.3614037551E+01         -1.3505699647E+01         3.5828327599E+02          1.0534398598E+01          2.5885500649E+00          4.3017482822E+00          4.3317372367E+02          7.3659109840E+01          7.3741609077E+01          0.0000000000E+00          9.5821637232E-02          7.4021208122E+00          2.8726449271E-01          1.5952578800E-04          1.8435700455E+00          1.2083347455E+00          -4.1886271573E-01         3.9535734729E-03          2.9958574184E-02          -7.9769792283E+00         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-08-09                17:52:02.497              220.53614002              5292.867361               1565373122.498            0                         963                       1.4800111663E+02          4.5000297546E+01          4.5000236511E+01          4.4966453552E+01          4.1168498168E+01          0.0000000000E+00          0.0000000000E+00          1.6416040636E+04          1.0000000000E+00          1.0600000000E+02          1.8821543426E+00          1.9106666647E+00          2.0412445894E-02          2.0017263144E-02          -4.9281358589E+01         -4.9281358589E+01         -4.5746269417E+01         -4.7225057198E+01         -4.8056965659E+01         1.8448919980E+00          1.8818131753E+00          -5.3392190675E+01         -4.6985194965E+01         -4.8141342558E+01         -4.9270299815E+01         0.0000000000E+00          1.2075263908E+00          5.8865211606E+02          6.0145721431E+02          6.6703853626E+00          -1.3066079459E+01         -1.3434435078E+01         -1.3614037551E+01         -1.3505699647E+01         3.5828327599E+02          1.0555344086E+01          2.5885500649E+00          4.3017482822E+00          4.3317372367E+02          7.3659109840E+01          7.3741609077E+01          0.0000000000E+00          9.5821637232E-02          7.4021208122E+00          2.8726449271E-01          1.5952578800E-04          1.8435700455E+00          1.2083347455E+00          -4.1886271573E-01         3.9535734729E-03          2.9958574184E-02          -7.9769792283E+00         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-08-09                17:52:03.042              220.53614632              5292.867512               1565373123.042            0                         963                       1.4800816345E+02          4.5000297546E+01          4.5000236511E+01          4.4966453552E+01          4.1187500000E+01          0.0000000000E+00          0.0000000000E+00          1.6418677734E+04          1.0000000000E+00          1.0500000000E+02          1.8821543426E+00          1.9106666647E+00          2.0412445894E-02          2.0017263144E-02          -4.9281358589E+01         -4.9281358589E+01         -4.5746269417E+01         -4.7225057198E+01         -4.8056965659E+01         1.8448919980E+00          1.8818131753E+00          -5.3392190675E+01         -4.6985194965E+01         -4.8141342558E+01         -4.9270299815E+01         0.0000000000E+00          1.2075263908E+00          5.9120210261E+02          6.0406229984E+02          6.6992767350E+00          -1.3066079459E+01         -1.3434435078E+01         -1.3614037551E+01         -1.3505699647E+01         3.5983734817E+02          1.0555344086E+01          2.5885500649E+00          4.3017482822E+00          4.3317372367E+02          7.3659109840E+01          7.3741609077E+01          0.0000000000E+00          9.5821637232E-02          7.4021208122E+00          2.8726449271E-01          1.5952578800E-04          1.8435700455E+00          1.2083347455E+00          -4.1886271573E-01         3.9535734729E-03          2.9958574184E-02          -7.9769792283E+00         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
