"","DateTime","Level_m","DO_mgL","WaterTemp_c","AirPres_kPa","AirTemp_c","Discharge_m3L"
"1",2019-07-12 17:00:00,0.1605,5.3,12.83888889,62.4094,6.879,0.0780306222930998
"2",2019-07-12 17:15:00,0.1583,5.28,12.66111111,62.4052,6.719,0.076084397737989
"3",2019-07-12 17:30:00,0.1548,5.2,12.47777778,62.3852,6.626,0.0736626781250131
"4",2019-07-12 17:45:00,0.1525,5.04,12.22222222,62.3634,6.582,0.071613441591616
"5",2019-07-12 18:00:00,0.1524,4.92,11.96111111,62.3492,6.558,0.0652265491263687
"6",2019-07-12 18:15:00,0.1522,4.8,11.72222222,62.3541,6.539,0.0615724347437546
"7",2019-07-12 18:30:00,0.1517,4.67,11.47777778,62.3493,6.527,0.0624282902806722
"8",2019-07-12 18:45:00,0.1539,4.54,11.23888889,62.3299,6.523,0.0612533310593559
"9",2019-07-12 19:00:00,0.1537,4.43,11.03888889,62.3266,6.53,0.0604669911718123
"10",2019-07-12 19:15:00,0.1529,4.34,10.83888889,62.3161,6.524,0.0602346787474798
"11",2019-07-12 19:30:00,0.1525,4.24,10.67777778,62.3047,6.523,0.0604302395119481
"12",2019-07-12 19:45:00,0.1524,4.15,10.52222222,62.2973,6.516,0.0606834580623551
"13",2019-07-12 20:00:00,0.1519,4.08,10.37777778,62.2976,6.508,0.0592742770177459
"14",2019-07-12 20:15:00,0.1522,4.01,10.26111111,62.2973,6.509,0.0597304240709791
"15",2019-07-12 20:30:00,0.1509,3.95,10.12222222,62.2931,6.506,0.0588920811608277
"16",2019-07-12 20:45:00,0.1508,3.88,10,62.2939,6.503,0.0588633792738359
"17",2019-07-12 21:00:00,0.1511,3.83,9.922222222,62.3012,6.496,0.058190579198854
"18",2019-07-12 21:15:00,0.15,3.79,9.777777778,62.3065,6.496,0.0581278141002752
"19",2019-07-12 21:30:00,0.1498,3.74,9.661111111,62.3216,6.495,0.0576705972022814
"20",2019-07-12 21:45:00,0.1498,3.71,9.561111111,62.3222,6.487,0.0568306692414363
"21",2019-07-12 22:00:00,0.1497,3.67,9.477777778,62.3312,6.483,0.0575007774113122
"22",2019-07-12 22:15:00,0.1495,3.62,9.4,62.3413,6.48,0.0572508569064623
"23",2019-07-12 22:30:00,0.1486,3.59,9.3,62.3474,6.478,0.0567591374210626
"24",2019-07-12 22:45:00,0.1487,3.56,9.222222222,62.35,6.478,0.0571413268847155
"25",2019-07-12 23:00:00,0.1488,3.53,9.161111111,62.3513,6.479,0.0568167338193863
"26",2019-07-12 23:15:00,0.1484,3.5,9.1,62.3621,6.479,0.0565857565504682
"27",2019-07-12 23:30:00,0.1487,3.47,9.038888889,62.3722,6.481,0.0571413268847155
"28",2019-07-12 23:45:00,0.149,3.46,8.961111111,62.3739,6.484,0.056886325796394
"29",2019-07-13 00:00:00,0.1496,3.45,8.922222222,62.3839,6.486,0.0572508569064623
"30",2019-07-13 00:15:00,0.1508,3.45,8.861111111,62.3852,6.49,0.0572676182976847
"31",2019-07-13 00:30:00,0.1513,3.44,8.8,62.3958,6.492,0.058085025485627
"32",2019-07-13 00:45:00,0.1514,3.44,8.738888889,62.4031,6.494,0.0575742847898471
"33",2019-07-13 01:00:00,0.1513,3.43,8.7,62.4098,6.498,0.0585002316506511
"34",2019-07-13 01:15:00,0.1506,3.43,8.661111111,62.427,6.501,0.0579735790990192
"35",2019-07-13 01:30:00,0.1511,3.42,8.6,62.4312,6.503,0.0581470057272721
"36",2019-07-13 01:45:00,0.1512,3.41,8.538888889,62.4377,6.505,0.0583805457514358
"37",2019-07-13 02:00:00,0.1507,3.39,8.477777778,62.4452,6.511,0.0580102987235496
"38",2019-07-13 02:15:00,0.1506,3.37,8.438888889,62.4415,6.514,0.0575122226067926
"39",2019-07-13 02:30:00,0.1497,3.36,8.4,62.449,6.517,0.0569376072227414
"40",2019-07-13 02:45:00,0.1495,3.36,8.338888889,62.4474,6.521,0.0572309646703801
"41",2019-07-13 03:00:00,0.1497,3.35,8.277777778,62.4448,6.526,0.0576259743183845
"42",2019-07-13 03:15:00,0.1491,3.4,8.161111111,62.4462,6.531,0.0596246788866849
"43",2019-07-13 03:30:00,0.1493,3.39,8.1,62.4482,6.535,0.058711287219726
"44",2019-07-13 03:45:00,0.1496,3.39,8.038888889,62.434,6.539,0.0587895389994159
"45",2019-07-13 04:00:00,0.1499,3.39,7.977777778,62.424,6.543,0.0583296153377858
"46",2019-07-13 04:15:00,0.1484,3.4,7.922222222,62.4059,6.548,0.0590144602938431
"47",2019-07-13 04:30:00,0.1488,3.39,7.877777778,62.3786,6.555,0.0582743667711959
"48",2019-07-13 04:45:00,0.1483,3.39,7.822222222,62.3781,6.558,0.0583856755869128
"49",2019-07-13 05:00:00,0.1489,3.41,7.761111111,62.3623,6.56,0.0618846061411155
"50",2019-07-13 05:15:00,0.1494,3.41,7.677777778,62.3619,6.562,0.0629134962511863
"51",2019-07-13 05:30:00,0.1492,3.44,7.577777778,62.3489,6.563,0.061630790238776
"52",2019-07-13 05:45:00,0.1493,3.48,7.5,62.3338,6.562,0.0627742620853057
"53",2019-07-13 06:00:00,0.1499,3.52,7.4,62.3293,6.563,0.0639404368209462
"54",2019-07-13 06:15:00,0.151,3.52,7.377777778,62.3244,6.565,0.0643269382688902
"55",2019-07-13 06:30:00,0.1509,3.52,7.377777778,62.3272,6.565,0.0669085926692704
"56",2019-07-13 06:45:00,0.1501,3.52,7.361111111,62.3163,6.558,0.0633402547433093
"57",2019-07-13 07:00:00,0.151,3.58,7.3,62.2992,6.558,0.0677676709829834
"58",2019-07-13 07:15:00,0.1517,3.66,7.3,62.3012,6.545,0.0717565419059704
"59",2019-07-13 07:30:00,0.1523,3.81,7.277777778,62.2899,6.537,0.0705615714431492
"60",2019-07-13 07:45:00,0.1537,3.94,7.3,62.2739,6.537,0.0694944069340032
"61",2019-07-13 08:00:00,0.154,4.08,7.322222222,62.2726,6.537,0.0682287634153068
"62",2019-07-13 08:15:00,0.1547,4.24,7.361111111,62.2847,6.535,0.0725408755648498
"63",2019-07-13 08:30:00,0.1553,4.38,7.422222222,62.2923,6.531,0.0774723888355857
"64",2019-07-13 08:45:00,0.1565,4.52,7.477777778,62.3047,6.527,0.0765253755963542
"65",2019-07-13 09:00:00,0.1582,4.66,7.577777778,62.3012,6.523,0.0738609600604914
"66",2019-07-13 09:15:00,0.159,4.79,7.7,62.3099,6.517,0.0781841357760886
"67",2019-07-13 09:30:00,0.16,4.91,7.8,62.3217,6.506,0.0717565419059704
"68",2019-07-13 09:45:00,0.1618,5.05,7.938888889,62.3367,6.501,0.0821056575681092
"69",2019-07-13 10:00:00,0.1634,5.2,8.1,62.3335,6.483,0.0757126059357069
"70",2019-07-13 10:15:00,0.164,5.28,8.177777778,62.3228,6.485,0.0863318184930208
"71",2019-07-13 10:30:00,0.1658,5.38,8.277777778,62.3319,6.488,0.0853977187846493
"72",2019-07-13 10:45:00,0.1683,5.46,8.377777778,62.3576,6.492,0.0879764225212067
"73",2019-07-13 11:00:00,0.1723,5.58,8.638888889,62.3635,6.499,0.0843234411046316
"74",2019-07-13 11:15:00,0.1764,5.66,9,62.3781,6.504,0.0773716771464223
