Date,dist.m.AVE,K600.eq1,K600.SlopeEstimate.eq1,K600.eq3,K600.eq4,K600.effective
7/19/2019,0,1.497714534,3.091608103,2.139915381,2.678747038,4.285930017
7/26/2019,0,3.006235088,6.205522178,2.650356519,3.243411976,10.0354431
8/1/2019,0,3.109880546,6.419468915,3.13084354,3.764418043,9.203268586
8/7/2019,0,0.55069884,1.136762018,0.705006949,0.992625234,4.961701065
8/13/2019,0,0.558781869,1.153447145,1.003094501,1.360561083,3.576133947
7/19/2019,37.4,0.991130647,2.220002949,1.016470013,1.36776393,1.479928484
7/26/2019,37.4,4.365195713,9.777467165,4.084146552,4.743121367,8.67019222
8/1/2019,37.4,1.838571142,4.118158761,1.925338292,2.421310794,8.674172892
8/7/2019,37.4,1.509851572,3.381869941,1.586199309,2.036156576,1.971626447
8/13/2019,37.4,0.706171201,1.581731079,1.22795318,1.619596367,2.903712949
7/19/2019,75.9,7.924447373,4.730836924,9.921702035,11.66503092,7.371180676
7/26/2019,75.9,9.139982638,5.456502556,11.59391588,13.40810977,2.970288058
8/1/2019,75.9,4.216742274,2.517364191,5.651271096,7.052250686,8.632973537
8/7/2019,75.9,3.159443426,1.886164538,4.289573512,5.511543305,7.769321079
8/13/2019,75.9,3.124499567,1.865303311,6.197187674,7.658360725,10.2268577
7/19/2019,94.1,5.377994864,2.910149263,8.621559141,10.3698891,12.04948939
8/1/2019,94.1,6.365765793,3.444653463,10.44969149,12.3154057,5.712571291
8/7/2019,94.1,3.783606254,2.047391124,7.076530622,8.691399948,9.254914871
8/13/2019,94.1,5.168676091,2.796882351,9.175008252,10.96310954,7.711194029
7/19/2019,107.8,3.778347848,1.959487934,6.539328763,8.126734968,5.865935699
7/26/2019,107.8,11.420804,5.92294001,16.42756121,18.51820342,18.13121771
8/1/2019,107.8,7.413198969,3.84455707,9.768115807,11.63431449,1.044517005
8/7/2019,107.8,2.169042384,1.124886472,5.00894643,6.403082373,2.757846421
8/13/2019,107.8,4.543046279,2.356067976,8.233403177,9.985485355,1.277160028
7/26/2019,143.7,12.59528637,9.74997987,10.47306227,11.98998371,6.906670113
8/1/2019,143.7,29.04887743,22.4866638,20.90822332,22.24700513,1.779120541
8/7/2019,143.7,5.510151924,4.265394906,5.369858696,6.59819858,0.721078107
8/13/2019,143.7,1.999733529,1.547988754,3.250630843,4.212229462,2.684621403
8/1/2019,169.9,23.81353828,15.92140675,20.24520962,21.87122547,4.544771436
8/7/2019,169.9,13.0724267,8.740046112,13.74210144,15.46752124,11.51843898
8/13/2019,169.9,1.973542651,1.319483686,4.222198636,5.384835891,3.451044416
7/19/2019,194.9,5.03104019,5.995260427,5.349394006,6.351626915,16.39314924
7/26/2019,194.9,8.045016832,9.586878504,9.234158001,10.34841318,12.42465188
8/1/2019,194.9,10.74967757,12.80989897,14.12678933,15.13453762,16.37751058
8/7/2019,194.9,7.486669389,8.921521399,10.29911577,11.40925524,14.22927464
8/13/2019,194.9,1.991380425,2.373036948,4.59463902,5.544031094,3.484239216
7/19/2019,217.6,5.185195405,5.737659578,6.994410125,8.12060185,9.762669521
7/26/2019,217.6,10.458971,11.57333725,13.36717788,14.49083291,10.20892176
8/1/2019,217.6,10.9281257,12.09247872,12.73497099,13.876487,7.425862086
8/7/2019,217.6,4.890739004,5.411829893,7.217239649,8.351531604,13.69654372
8/13/2019,217.6,3.387169331,3.748060205,5.552577091,6.606129979,13.08057159
7/26/2019,245.2,19.28740039,21.18800589,19.88473395,20.68065262,30.95836393
8/1/2019,245.2,5.771957485,6.340733674,8.814999067,9.992512444,4.270012848
8/7/2019,245.2,5.735510313,6.300694951,8.761830659,9.93860612,14.06583027
8/13/2019,245.2,4.308188779,4.732723299,7.549500384,8.69955325,6.049346895
