file_name,Year of acquisition, Day of acquisition,day-month,horizontal and vertivle tile number,Collection number,Production Year (YYYY),Production Day (DDD),Production date,Production time (HHMMSS),"stretched value_PAR;orbit layers ""0""","pixel value_PAR;orbit layers  ""0"" and ""1"""
MCD18A2.A2019183.h10v09.006.2019233065304.hdf,2019,183,2-Jul,h10v09,# 006,2019,233,21-Aug,6:53:04,56,118.928497
MCD18A2.A2019185.h10v09.006.2019233061714.hdf,2019,185,4-Jul,h10v09,# 006,2019,233,21-Aug,6:17:14,202,312.883331
MCD18A2.A2019187.h10v09.006.2019233072706.hdf,2019,187,6-Jul,h10v09,# 006,2019,233,21-Aug,7:27:06,100,150.226700
MCD18A2.A2019188.h10v09.006.2019233082323.hdf,2019,188,7-Jul,h10v09,# 006,2019,233,21-Aug,8:23:23,41,98.070885
MCD18A2.A2019190.h10v09.006.2019233085011.hdf,2019,190,9-Jul,h10v09,# 006,2019,233,21-Aug,8:50:11,118,216.456543
MCD18A2.A2019192.h10v09.006.2019233091405.hdf,2019,192,11-Jul,h10v09,# 006,2019,233,21-Aug,9:14:05,246,390.388123
MCD18A2.A2019194.h10v09.006.2019233092152.hdf,2019,194,13-Jul,h10v09,# 006,2019,233,21-Aug,9:21:52,66,114.477402
MCD18A2.A2019195.h10v09.006.2019233092410.hdf,2019,195,14-Jul,h10v09,# 006,2019,233,21-Aug,9:24:10,156,269.450562
MCD18A2.A2019196.h10v09.006.2019233092657.hdf,2019,196,15-Jul,h10v09,# 006,2019,233,21-Aug,9:26:57,NA,NA
MCD18A2.A2019197.h10v09.006.2019233095144.hdf,2019,197,16-Jul,h10v09,# 006,2019,233,21-Aug,9:51:44,119,219.756104
MCD18A2.A2019199.h10v09.006.2019233110103.hdf,2019,199,18-Jul,h10v09,# 006,2019,233,21-Aug,11:01:03,208,338.893890
MCD18A2.A2019201.h10v09.006.2019233122022.hdf,2019,201,20-Jul,h10v09,# 006,2019,233,21-Aug,12:20:22,181,289.956207
MCD18A2.A2019203.h10v09.006.2019233122504.hdf,2019,203,22-Jul,h10v09,# 006,2019,233,21-Aug,12:25:04,36,80.647995
MCD18A2.A2019204.h10v09.006.2019233122812.hdf,2019,204,23-Jul,h10v09,# 006,2019,233,21-Aug,12:28:12,22,82.432823
MCD18A2.A2019206.h10v09.006.2019233135155.hdf,2019,206,25-Jul,h10v09,# 006,2019,233,21-Aug,13:51:55,64,134.291794
MCD18A2.A2019208.h10v09.006.2019233141410.hdf,2019,208,27-Jul,h10v09,# 006,2019,233,21-Aug,14:14:10,43,96.720650
MCD18A2.A2019210.h10v09.006.2019233143327.hdf,2019,210,29-Jul,h10v09,# 006,2019,233,21-Aug,14:33:27,249,392.581268
MCD18A2.A2019211.h10v09.006.2019233143824.hdf,2019,211,30-Jul,h10v09,# 006,2019,233,21-Aug,14:38:24,237,417.873260
MCD18A2.A2019212.h10v09.006.2019233144159.hdf,2019,212,31-Jul,h10v09,# 006,2019,233,21-Aug,14:41:59,NA,NA
MCD18A2.A2019213.h10v09.006.2019262051813.hdf,2019,213,1-Aug,h10v09,# 006,2019,262,19-Sep,5:18:13,224,389.074341
MCD18A2.A2019215.h10v09.006.2019262052033.hdf,2019,215,3-Aug,h10v09,# 006,2019,262,19-Sep,5:20:33,98,185.397903
MCD18A2.A2019217.h10v09.006.2019262050720.hdf,2019,217,5-Aug,h10v09,# 006,2019,262,19-Sep,5:07:20,183,310.722473
MCD18A2.A2019219.h10v09.006.2019262051313.hdf,2019,219,7-Aug,h10v09,# 006,2019,262,19-Sep,5:13:13,117,200.302261
MCD18A2.A2019220.h10v09.006.2019262051619.hdf,2019,220,8-Aug,h10v09,# 006,2019,262,19-Sep,5:16:19,244,426.994171
MCD18A2.A2019222.h10v09.006.2019262052334.hdf,2019,222,10-Aug,h10v09,# 006,2019,262,19-Sep,5:23:34,198,349.357056
MCD18A2.A2019224.h10v09.006.2019262052631.hdf,2019,224,12-Aug,h10v09,# 006,2019,262,19-Sep,5:26:31,174,297.866119
MCD18A2.A2019226.h10v09.006.2019262052748.hdf,2019,226,14-Aug,h10v09,# 006,2019,262,19-Sep,5:27:48,3,38.843201
MCD18A2.A2019227.h10v09.006.2019262052901.hdf,2019,227,15-Aug,h10v09,# 006,2019,262,19-Sep,5:29:01,175,315.782410
MCD18A2.A2019228.h10v09.006.2019262052937.hdf,2019,228,16-Aug,h10v09,# 006,2019,262,19-Sep,5:29:37,NA,NA
MCD18A2.A2019229.h10v09.006.2019262053051.hdf,2019,229,17-Aug,h10v09,# 006,2019,262,19-Sep,5:30:51,188,340.848785
MCD18A2.A2019231.h10v09.006.2019262053239.hdf,2019,231,19-Aug,h10v09,# 006,2019,262,19-Sep,5:32:39,188,259.842957
