Date,Time,Voltage (V)
6/13/2019,11:21:01 AM,0.5985
6/13/2019,11:21:06 AM,0.5985
6/13/2019,11:21:11 AM,0.5985
6/13/2019,11:21:16 AM,0.5985
6/13/2019,11:21:21 AM,0.6
6/13/2019,11:21:26 AM,0.598
6/13/2019,11:21:31 AM,0.586
6/13/2019,11:21:36 AM,0.5615
6/13/2019,11:21:41 AM,0.5275
6/13/2019,11:21:46 AM,0.493
6/13/2019,11:21:51 AM,0.4625
6/13/2019,11:21:56 AM,0.438
6/13/2019,11:22:01 AM,0.418
6/13/2019,11:22:06 AM,0.4005
6/13/2019,11:22:11 AM,0.386
6/13/2019,11:22:16 AM,0.376
6/13/2019,11:22:21 AM,0.3695
6/13/2019,11:22:26 AM,0.3655
6/13/2019,11:22:31 AM,0.362
6/13/2019,11:22:36 AM,0.359
6/13/2019,11:22:41 AM,0.357
6/13/2019,11:22:46 AM,0.357
6/13/2019,11:22:51 AM,0.358
6/13/2019,11:22:56 AM,0.361
6/13/2019,11:23:01 AM,0.3635
6/13/2019,11:23:06 AM,0.366
6/13/2019,11:23:11 AM,0.3675
6/13/2019,11:23:16 AM,0.3695
6/13/2019,11:23:21 AM,0.3725
6/13/2019,11:23:26 AM,0.3745
6/13/2019,11:23:31 AM,0.377
6/13/2019,11:23:36 AM,0.3795
6/13/2019,11:23:41 AM,0.382
6/13/2019,11:23:46 AM,0.384
6/13/2019,11:23:51 AM,0.3865
6/13/2019,11:23:56 AM,0.39
6/13/2019,11:24:01 AM,0.394
6/13/2019,11:24:06 AM,0.398
6/13/2019,11:24:11 AM,0.4015
6/13/2019,11:24:16 AM,0.404
6/13/2019,11:24:21 AM,0.4065
6/13/2019,11:24:26 AM,0.41
6/13/2019,11:24:31 AM,0.4135
6/13/2019,11:24:36 AM,0.417
6/13/2019,11:24:41 AM,0.42
6/13/2019,11:24:46 AM,0.4235
6/13/2019,11:24:51 AM,0.426
6/13/2019,11:24:56 AM,0.428
6/13/2019,11:25:01 AM,0.4295
6/13/2019,11:25:06 AM,0.4305
6/13/2019,11:25:11 AM,0.433
6/13/2019,11:25:16 AM,0.436
6/13/2019,11:25:21 AM,0.44
6/13/2019,11:25:26 AM,0.443
6/13/2019,11:25:31 AM,0.445
6/13/2019,11:25:36 AM,0.4475
6/13/2019,11:25:41 AM,0.4505
6/13/2019,11:25:46 AM,0.4535
6/13/2019,11:25:51 AM,0.4565
6/13/2019,11:25:56 AM,0.458
6/13/2019,11:26:01 AM,0.459
6/13/2019,11:26:06 AM,0.46
6/13/2019,11:26:11 AM,0.4615
6/13/2019,11:26:16 AM,0.4645
