"Plot Title: DO_01"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645539, SEN S/N: 20645539)","Temp, °C (LGR S/N: 20645539, SEN S/N: 20645539)","Coupler Attached (LGR S/N: 20645539)","Host Connected (LGR S/N: 20645539)","End Of File (LGR S/N: 20645539)"
1,07/12/19 05:00:00 PM,5.30,12.84,,,
2,07/12/19 05:15:00 PM,5.28,12.66,,,
3,07/12/19 05:30:00 PM,5.20,12.48,,,
4,07/12/19 05:45:00 PM,5.04,12.22,,,
5,07/12/19 06:00:00 PM,4.92,11.96,,,
6,07/12/19 06:15:00 PM,4.80,11.72,,,
7,07/12/19 06:30:00 PM,4.67,11.48,,,
8,07/12/19 06:45:00 PM,4.54,11.24,,,
9,07/12/19 07:00:00 PM,4.43,11.04,,,
10,07/12/19 07:15:00 PM,4.34,10.84,,,
11,07/12/19 07:30:00 PM,4.24,10.68,,,
12,07/12/19 07:45:00 PM,4.15,10.52,,,
13,07/12/19 08:00:00 PM,4.08,10.38,,,
14,07/12/19 08:15:00 PM,4.01,10.26,,,
15,07/12/19 08:30:00 PM,3.95,10.12,,,
16,07/12/19 08:45:00 PM,3.88,10.00,,,
17,07/12/19 09:00:00 PM,3.83,9.92,,,
18,07/12/19 09:15:00 PM,3.79,9.78,,,
19,07/12/19 09:30:00 PM,3.74,9.66,,,
20,07/12/19 09:45:00 PM,3.71,9.56,,,
21,07/12/19 10:00:00 PM,3.67,9.48,,,
22,07/12/19 10:15:00 PM,3.62,9.40,,,
23,07/12/19 10:30:00 PM,3.59,9.30,,,
24,07/12/19 10:45:00 PM,3.56,9.22,,,
25,07/12/19 11:00:00 PM,3.53,9.16,,,
26,07/12/19 11:15:00 PM,3.50,9.10,,,
27,07/12/19 11:30:00 PM,3.47,9.04,,,
28,07/12/19 11:45:00 PM,3.46,8.96,,,
29,07/13/19 12:00:00 AM,3.45,8.92,,,
30,07/13/19 12:15:00 AM,3.45,8.86,,,
31,07/13/19 12:30:00 AM,3.44,8.80,,,
32,07/13/19 12:45:00 AM,3.44,8.74,,,
33,07/13/19 01:00:00 AM,3.43,8.70,,,
34,07/13/19 01:15:00 AM,3.43,8.66,,,
35,07/13/19 01:30:00 AM,3.42,8.60,,,
36,07/13/19 01:45:00 AM,3.41,8.54,,,
37,07/13/19 02:00:00 AM,3.39,8.48,,,
38,07/13/19 02:15:00 AM,3.37,8.44,,,
39,07/13/19 02:30:00 AM,3.36,8.40,,,
40,07/13/19 02:45:00 AM,3.36,8.34,,,
41,07/13/19 03:00:00 AM,3.35,8.28,,,
42,07/13/19 03:15:00 AM,3.40,8.16,,,
43,07/13/19 03:30:00 AM,3.39,8.10,,,
44,07/13/19 03:45:00 AM,3.39,8.04,,,
45,07/13/19 04:00:00 AM,3.39,7.98,,,
46,07/13/19 04:15:00 AM,3.40,7.92,,,
47,07/13/19 04:30:00 AM,3.39,7.88,,,
48,07/13/19 04:45:00 AM,3.39,7.82,,,
49,07/13/19 05:00:00 AM,3.41,7.76,,,
50,07/13/19 05:15:00 AM,3.41,7.68,,,
51,07/13/19 05:30:00 AM,3.44,7.58,,,
52,07/13/19 05:45:00 AM,3.48,7.50,,,
53,07/13/19 06:00:00 AM,3.52,7.40,,,
54,07/13/19 06:15:00 AM,3.52,7.38,,,
55,07/13/19 06:30:00 AM,3.52,7.38,,,
56,07/13/19 06:45:00 AM,3.52,7.36,,,
57,07/13/19 07:00:00 AM,3.58,7.30,,,
58,07/13/19 07:15:00 AM,3.66,7.30,,,
59,07/13/19 07:30:00 AM,3.81,7.28,,,
60,07/13/19 07:45:00 AM,3.94,7.30,,,
61,07/13/19 08:00:00 AM,4.08,7.32,,,
62,07/13/19 08:15:00 AM,4.24,7.36,,,
63,07/13/19 08:30:00 AM,4.38,7.42,,,
64,07/13/19 08:45:00 AM,4.52,7.48,,,
65,07/13/19 09:00:00 AM,4.66,7.58,,,
66,07/13/19 09:15:00 AM,4.79,7.70,,,
67,07/13/19 09:30:00 AM,4.91,7.80,,,
68,07/13/19 09:45:00 AM,5.05,7.94,,,
69,07/13/19 10:00:00 AM,5.20,8.10,,,
70,07/13/19 10:15:00 AM,5.28,8.18,,,
71,07/13/19 10:30:00 AM,5.38,8.28,,,
72,07/13/19 10:45:00 AM,5.46,8.38,,,
73,07/13/19 11:00:00 AM,5.58,8.64,,,
74,07/13/19 11:15:00 AM,5.66,9.00,,,
75,07/13/19 11:30:00 AM,5.72,9.14,,,
76,07/13/19 11:45:00 AM,5.76,9.20,,,
77,07/13/19 12:00:00 PM,5.86,9.42,,,
78,07/13/19 12:15:00 PM,5.91,9.68,,,
79,07/13/19 12:30:00 PM,5.97,9.88,,,
80,07/13/19 12:45:00 PM,6.02,10.12,,,
81,07/13/19 01:00:00 PM,6.03,10.22,,,
82,07/13/19 01:15:00 PM,6.08,10.40,,,
83,07/13/19 01:30:00 PM,6.10,10.52,,,
84,07/13/19 01:45:00 PM,6.16,10.68,,,
85,07/13/19 02:00:00 PM,6.14,10.94,,,
86,07/13/19 02:15:00 PM,6.18,11.18,,,
87,07/13/19 02:30:00 PM,6.16,11.20,,,
88,07/13/19 02:45:00 PM,6.18,11.14,,,
89,07/13/19 03:00:00 PM,6.20,11.26,,,
90,07/13/19 03:15:00 PM,6.21,11.60,,,
91,07/13/19 03:30:00 PM,6.21,11.78,,,
92,07/13/19 03:45:00 PM,6.20,12.02,,,
93,07/13/19 04:00:00 PM,6.18,12.08,,,
94,07/13/19 04:15:00 PM,6.14,12.04,,,
95,07/13/19 04:30:00 PM,6.06,11.94,,,
96,07/13/19 04:45:00 PM,6.01,11.76,,,
97,07/13/19 05:00:00 PM,5.92,11.52,,,
98,07/13/19 05:15:00 PM,5.86,11.32,,,
99,07/13/19 05:30:00 PM,5.78,11.14,,,
100,07/13/19 05:45:00 PM,5.68,10.92,,,
101,07/13/19 06:00:00 PM,5.53,10.64,,,
102,07/13/19 06:15:00 PM,5.41,10.42,,,
103,07/13/19 06:30:00 PM,5.31,10.20,,,
104,07/13/19 06:45:00 PM,5.19,10.02,,,
105,07/13/19 07:00:00 PM,5.07,9.88,,,
106,07/13/19 07:15:00 PM,4.96,9.74,,,
107,07/13/19 07:30:00 PM,4.87,9.60,,,
108,07/13/19 07:45:00 PM,4.79,9.48,,,
109,07/13/19 08:00:00 PM,4.70,9.36,,,
110,07/13/19 08:15:00 PM,4.63,9.24,,,
111,07/13/19 08:30:00 PM,4.56,9.14,,,
112,07/13/19 08:45:00 PM,4.51,9.04,,,
113,07/13/19 09:00:00 PM,4.45,8.96,,,
114,07/13/19 09:15:00 PM,4.40,8.86,,,
115,07/13/19 09:30:00 PM,4.36,8.78,,,
116,07/13/19 09:45:00 PM,4.30,8.70,,,
117,07/13/19 10:00:00 PM,4.26,8.64,,,
118,07/13/19 10:15:00 PM,4.22,8.56,,,
119,07/13/19 10:30:00 PM,4.17,8.50,,,
120,07/13/19 10:45:00 PM,4.14,8.44,,,
121,07/13/19 11:00:00 PM,4.10,8.36,,,
122,07/13/19 11:15:00 PM,4.06,8.32,,,
123,07/13/19 11:30:00 PM,4.04,8.26,,,
124,07/13/19 11:45:00 PM,4.04,8.16,,,
125,07/14/19 12:00:00 AM,4.01,8.10,,,
126,07/14/19 12:15:00 AM,4.02,8.00,,,
127,07/14/19 12:30:00 AM,4.00,7.92,,,
128,07/14/19 12:45:00 AM,4.01,7.84,,,
129,07/14/19 01:00:00 AM,4.02,7.72,,,
130,07/14/19 01:15:00 AM,4.02,7.66,,,
131,07/14/19 01:30:00 AM,4.03,7.58,,,
132,07/14/19 01:45:00 AM,4.01,7.52,,,
133,07/14/19 02:00:00 AM,4.00,7.48,,,
134,07/14/19 02:15:00 AM,3.97,7.44,,,
135,07/14/19 02:30:00 AM,3.95,7.42,,,
136,07/14/19 02:45:00 AM,3.93,7.38,,,
137,07/14/19 03:00:00 AM,3.90,7.36,,,
138,07/14/19 03:15:00 AM,3.88,7.32,,,
139,07/14/19 03:30:00 AM,3.90,7.28,,,
140,07/14/19 03:45:00 AM,3.93,7.22,,,
141,07/14/19 04:00:00 AM,3.96,7.18,,,
142,07/14/19 04:15:00 AM,4.01,7.14,,,
143,07/14/19 04:30:00 AM,4.03,7.08,,,
144,07/14/19 04:45:00 AM,4.04,7.02,,,
145,07/14/19 05:00:00 AM,4.08,6.96,,,
146,07/14/19 05:15:00 AM,4.07,6.90,,,
147,07/14/19 05:30:00 AM,4.06,6.84,,,
148,07/14/19 05:45:00 AM,4.06,6.78,,,
149,07/14/19 06:00:00 AM,4.06,6.72,,,
150,07/14/19 06:15:00 AM,4.07,6.68,,,
151,07/14/19 06:30:00 AM,4.13,6.60,,,
152,07/14/19 06:45:00 AM,4.14,6.56,,,
153,07/14/19 07:00:00 AM,4.14,6.54,,,
154,07/14/19 07:15:00 AM,4.19,6.54,,,
155,07/14/19 07:30:00 AM,4.25,6.56,,,
156,07/14/19 07:45:00 AM,4.44,6.56,,,
157,07/14/19 08:00:00 AM,4.71,6.48,,,
158,07/14/19 08:15:00 AM,4.97,6.40,,,
159,07/14/19 08:30:00 AM,5.11,6.42,,,
160,07/14/19 08:45:00 AM,5.26,6.36,,,
161,07/14/19 09:00:00 AM,5.40,6.26,,,
162,07/14/19 09:15:00 AM,5.52,6.08,,,
163,07/14/19 09:30:00 AM,5.69,6.00,,,
164,07/14/19 09:45:00 AM,5.81,6.12,,,
165,07/14/19 10:00:00 AM,5.94,6.24,,,
166,07/14/19 10:15:00 AM,6.11,6.20,,,
167,07/14/19 10:30:00 AM,6.22,6.26,,,
168,07/14/19 10:45:00 AM,6.31,6.44,,,
169,07/14/19 11:00:00 AM,6.41,6.56,,,
170,07/14/19 11:15:00 AM,6.51,6.66,,,
171,07/14/19 11:30:00 AM,6.61,6.70,,,
172,07/14/19 11:45:00 AM,6.69,6.64,,,
173,07/14/19 12:00:00 PM,6.64,6.84,,,
174,07/14/19 12:15:00 PM,6.81,7.00,,,
175,07/14/19 12:30:00 PM,6.87,7.06,,,
176,07/14/19 12:45:00 PM,6.92,7.14,,,
177,07/14/19 01:00:00 PM,6.96,7.16,,,
178,07/14/19 01:15:00 PM,6.99,7.10,,,
179,07/14/19 01:30:00 PM,7.03,7.08,,,
180,07/14/19 01:45:00 PM,7.04,7.06,,,
181,07/14/19 02:00:00 PM,7.04,7.02,,,
182,07/14/19 02:15:00 PM,7.04,6.96,,,
183,07/14/19 02:30:00 PM,7.04,6.92,,,
184,07/14/19 02:45:00 PM,7.04,6.92,,,
185,07/14/19 03:00:00 PM,7.06,6.96,,,
186,07/14/19 03:15:00 PM,7.03,7.00,,,
187,07/14/19 03:30:00 PM,7.01,6.96,,,
188,07/14/19 03:45:00 PM,6.99,6.92,,,
189,07/14/19 04:00:00 PM,6.97,6.88,,,
190,07/14/19 04:15:00 PM,6.93,6.82,,,
191,07/14/19 04:30:00 PM,6.91,6.78,,,
192,07/14/19 04:45:00 PM,6.88,6.74,,,
193,07/14/19 05:00:00 PM,6.82,6.70,,,
194,07/14/19 05:15:00 PM,6.75,6.62,,,
195,07/14/19 05:30:00 PM,6.69,6.56,,,
196,07/14/19 05:45:00 PM,6.64,6.48,,,
197,07/14/19 06:00:00 PM,6.59,6.34,,,
198,07/14/19 06:15:00 PM,6.51,6.24,,,
199,07/14/19 06:30:00 PM,6.41,6.18,,,
200,07/14/19 06:45:00 PM,6.31,6.10,,,
201,07/14/19 07:00:00 PM,6.23,6.04,,,
202,07/14/19 07:15:00 PM,6.17,5.96,,,
203,07/14/19 07:30:00 PM,6.11,5.88,,,
