"Plot Title: DO_2"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)","Temp, °F (LGR S/N: 20645540, SEN S/N: 20645540)","Coupler Detached (LGR S/N: 20645540)","Coupler Attached (LGR S/N: 20645540)","Host Connected (LGR S/N: 20645540)","Stopped (LGR S/N: 20645540)","End Of File (LGR S/N: 20645540)"
1,07/10/19 11:26:43 AM,6.62,49.60,,,,,
2,07/10/19 11:26:48 AM,,,Logged,,,,
3,07/10/19 11:41:43 AM,6.76,47.55,,,,,
4,07/10/19 11:56:43 AM,6.76,48.38,,,,,
5,07/10/19 12:11:43 PM,6.76,49.17,,,,,
6,07/10/19 12:26:43 PM,6.76,50.11,,,,,
7,07/10/19 12:41:43 PM,6.73,51.19,,,,,
8,07/10/19 12:56:43 PM,6.69,52.05,,,,,
9,07/10/19 01:11:43 PM,6.67,52.59,,,,,
10,07/10/19 01:26:43 PM,6.64,53.38,,,,,
11,07/10/19 01:41:43 PM,6.55,53.82,,,,,
12,07/10/19 01:56:43 PM,6.55,54.14,,,,,
13,07/10/19 02:11:43 PM,6.53,54.57,,,,,
14,07/10/19 02:26:43 PM,6.50,54.93,,,,,
15,07/10/19 02:41:43 PM,6.44,55.15,,,,,
16,07/10/19 02:56:43 PM,6.42,54.86,,,,,
17,07/10/19 03:11:43 PM,6.37,54.43,,,,,
18,07/10/19 03:26:43 PM,6.36,54.00,,,,,
19,07/10/19 03:41:43 PM,6.35,53.67,,,,,
20,07/10/19 03:56:43 PM,6.36,53.46,,,,,
21,07/10/19 04:11:43 PM,6.33,53.38,,,,,
22,07/10/19 04:26:43 PM,6.31,53.13,,,,,
23,07/10/19 04:41:43 PM,6.27,52.74,,,,,
24,07/10/19 04:56:43 PM,6.25,52.27,,,,,
25,07/10/19 05:11:43 PM,6.22,51.91,,,,,
26,07/10/19 05:26:43 PM,6.14,51.44,,,,,
27,07/10/19 05:41:43 PM,6.10,50.97,,,,,
28,07/10/19 05:56:43 PM,6.05,50.43,,,,,
29,07/10/19 06:11:43 PM,5.95,49.93,,,,,
30,07/10/19 06:26:43 PM,5.84,49.46,,,,,
31,07/10/19 06:41:43 PM,5.72,49.06,,,,,
32,07/10/19 06:56:43 PM,5.63,48.63,,,,,
33,07/10/19 07:11:43 PM,5.53,48.24,,,,,
34,07/10/19 07:26:43 PM,5.45,47.88,,,,,
35,07/10/19 07:41:43 PM,5.38,47.48,,,,,
36,07/10/19 07:56:43 PM,5.32,47.12,,,,,
37,07/10/19 08:11:43 PM,5.27,46.76,,,,,
38,07/10/19 08:26:43 PM,5.22,46.36,,,,,
39,07/10/19 08:41:43 PM,5.17,46.08,,,,,
40,07/10/19 08:56:43 PM,5.13,45.72,,,,,
41,07/10/19 09:11:43 PM,5.10,45.32,,,,,
42,07/10/19 09:26:43 PM,5.07,45.00,,,,,
43,07/10/19 09:41:43 PM,5.03,44.64,,,,,
44,07/10/19 09:56:43 PM,4.99,44.38,,,,,
45,07/10/19 10:11:43 PM,4.97,44.10,,,,,
46,07/10/19 10:26:43 PM,4.94,43.84,,,,,
47,07/10/19 10:41:43 PM,4.92,43.56,,,,,
48,07/10/19 10:56:43 PM,4.90,43.30,,,,,
49,07/10/19 11:11:43 PM,4.89,43.09,,,,,
50,07/10/19 11:26:43 PM,4.87,42.87,,,,,
51,07/10/19 11:41:43 PM,4.85,42.73,,,,,
52,07/10/19 11:56:43 PM,4.83,42.51,,,,,
53,07/11/19 12:11:43 AM,4.81,42.30,,,,,
54,07/11/19 12:26:43 AM,4.80,42.12,,,,,
55,07/11/19 12:41:43 AM,4.79,41.94,,,,,
56,07/11/19 12:56:43 AM,4.78,41.83,,,,,
57,07/11/19 01:11:43 AM,4.75,41.76,,,,,
58,07/11/19 01:26:43 AM,4.73,41.68,,,,,
59,07/11/19 01:41:43 AM,4.71,41.61,,,,,
60,07/11/19 01:56:43 AM,4.70,41.50,,,,,
61,07/11/19 02:11:43 AM,4.70,41.36,,,,,
62,07/11/19 02:26:43 AM,4.68,41.22,,,,,
63,07/11/19 02:41:43 AM,4.67,41.14,,,,,
64,07/11/19 02:56:43 AM,4.66,41.04,,,,,
65,07/11/19 03:11:43 AM,4.66,40.89,,,,,
66,07/11/19 03:26:43 AM,4.66,40.75,,,,,
67,07/11/19 03:41:43 AM,4.67,40.53,,,,,
68,07/11/19 03:56:43 AM,4.67,40.35,,,,,
69,07/11/19 04:11:43 AM,4.68,40.28,,,,,
70,07/11/19 04:26:43 AM,4.67,40.24,,,,,
71,07/11/19 04:41:43 AM,4.66,40.17,,,,,
72,07/11/19 04:56:43 AM,4.67,40.14,,,,,
73,07/11/19 05:11:43 AM,4.66,40.10,,,,,
74,07/11/19 05:26:43 AM,4.66,40.06,,,,,
75,07/11/19 05:41:43 AM,4.66,39.92,,,,,
76,07/11/19 05:56:43 AM,4.67,39.81,,,,,
77,07/11/19 06:11:43 AM,4.67,39.70,,,,,
