"Plot Title: DO_3"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645538, SEN S/N: 20645538)","Temp, °F (LGR S/N: 20645538, SEN S/N: 20645538)","Coupler Attached (LGR S/N: 20645538)","Host Connected (LGR S/N: 20645538)","End Of File (LGR S/N: 20645538)"
1,07/11/19 12:45:00 PM,6.09,57.81,,,
2,07/11/19 01:00:00 PM,6.50,54.75,,,
3,07/11/19 01:15:00 PM,6.47,55.18,,,
4,07/11/19 01:30:00 PM,6.40,56.01,,,
5,07/11/19 01:45:00 PM,6.33,56.88,,,
6,07/11/19 02:00:00 PM,6.26,57.56,,,
7,07/11/19 02:15:00 PM,6.22,57.96,,,
8,07/11/19 02:30:00 PM,6.20,58.06,,,
9,07/11/19 02:45:00 PM,6.21,57.96,,,
10,07/11/19 03:00:00 PM,6.23,57.67,,,
11,07/11/19 03:15:00 PM,6.26,57.20,,,
12,07/11/19 03:30:00 PM,6.30,56.73,,,
13,07/11/19 03:45:00 PM,6.35,56.12,,,
14,07/11/19 04:00:00 PM,6.39,55.65,,,
15,07/11/19 04:15:00 PM,6.42,55.22,,,
16,07/11/19 04:30:00 PM,6.44,54.97,,,
17,07/11/19 04:45:00 PM,6.49,54.57,,,
18,07/11/19 05:00:00 PM,6.52,54.28,,,
19,07/11/19 05:15:00 PM,6.53,54.10,,,
20,07/11/19 05:30:00 PM,6.55,53.96,,,
21,07/11/19 05:45:00 PM,6.55,53.71,,,
22,07/11/19 06:00:00 PM,6.59,53.35,,,
23,07/11/19 06:15:00 PM,6.63,52.95,,,
24,07/11/19 06:30:00 PM,6.66,52.56,,,
25,07/11/19 06:45:00 PM,6.69,52.16,,,
26,07/11/19 07:00:00 PM,6.72,51.76,,,
27,07/11/19 07:15:00 PM,6.76,51.40,,,
28,07/11/19 07:30:00 PM,6.79,51.12,,,
29,07/11/19 07:45:00 PM,6.83,50.83,,,
30,07/11/19 08:00:00 PM,6.85,50.58,,,
31,07/11/19 08:15:00 PM,6.87,50.40,,,
32,07/11/19 08:30:00 PM,6.89,50.18,,,
33,07/11/19 08:45:00 PM,6.91,49.96,,,
34,07/11/19 09:00:00 PM,6.92,49.75,,,
35,07/11/19 09:15:00 PM,6.95,49.57,,,
36,07/11/19 09:30:00 PM,6.96,49.39,,,
37,07/11/19 09:45:00 PM,6.97,49.21,,,
38,07/11/19 10:00:00 PM,6.99,49.03,,,
39,07/11/19 10:15:00 PM,7.00,48.88,,,
40,07/11/19 10:30:00 PM,7.02,48.70,,,
41,07/11/19 10:45:00 PM,7.03,48.56,,,
42,07/11/19 11:00:00 PM,7.05,48.42,,,
43,07/11/19 11:15:00 PM,7.07,48.27,,,
44,07/11/19 11:30:00 PM,7.08,48.16,,,
45,07/11/19 11:45:00 PM,7.09,48.06,,,
46,07/12/19 12:00:00 AM,7.10,47.95,,,
47,07/12/19 12:15:00 AM,7.12,47.80,,,
48,07/12/19 12:30:00 AM,7.13,47.70,,,
49,07/12/19 12:45:00 AM,7.14,47.59,,,
50,07/12/19 01:00:00 AM,7.15,47.48,,,
51,07/12/19 01:15:00 AM,7.16,47.37,,,
52,07/12/19 01:30:00 AM,7.16,47.26,,,
53,07/12/19 01:45:00 AM,7.17,47.16,,,
54,07/12/19 02:00:00 AM,7.18,47.05,,,
55,07/12/19 02:15:00 AM,7.18,46.94,,,
56,07/12/19 02:30:00 AM,7.19,46.87,,,
57,07/12/19 02:45:00 AM,7.20,46.76,,,
58,07/12/19 03:00:00 AM,7.21,46.69,,,
59,07/12/19 03:15:00 AM,7.22,46.62,,,
60,07/12/19 03:30:00 AM,7.23,46.51,,,
61,07/12/19 03:45:00 AM,7.23,46.44,,,
62,07/12/19 04:00:00 AM,7.24,46.36,,,
63,07/12/19 04:15:00 AM,7.25,46.29,,,
64,07/12/19 04:30:00 AM,7.25,46.22,,,
65,07/12/19 04:45:00 AM,7.26,46.15,,,
66,07/12/19 05:00:00 AM,7.28,46.04,,,
67,07/12/19 05:15:00 AM,7.28,45.93,,,
68,07/12/19 05:30:00 AM,7.29,45.82,,,
69,07/12/19 05:45:00 AM,7.31,45.68,,,
70,07/12/19 06:00:00 AM,7.32,45.61,,,
71,07/12/19 06:15:00 AM,7.32,45.50,,,
72,07/12/19 06:30:00 AM,7.34,45.39,,,
73,07/12/19 06:45:00 AM,7.35,45.32,,,
74,07/12/19 07:00:00 AM,7.36,45.25,,,
75,07/12/19 07:15:00 AM,7.37,45.21,,,
76,07/12/19 07:30:00 AM,7.37,45.18,,,
77,07/12/19 07:45:00 AM,7.38,45.14,,,
78,07/12/19 08:00:00 AM,7.38,45.18,,,
79,07/12/19 08:15:00 AM,7.38,45.28,,,
80,07/12/19 08:30:00 AM,7.36,45.39,,,
81,07/12/19 08:45:00 AM,7.36,45.54,,,
82,07/12/19 09:00:00 AM,7.33,45.72,,,
83,07/12/19 09:15:00 AM,7.33,45.90,,,
84,07/12/19 09:30:00 AM,7.31,46.04,,,
85,07/12/19 09:45:00 AM,7.29,46.26,,,
86,07/12/19 10:00:00 AM,7.28,46.47,,,
87,07/12/19 10:15:00 AM,7.25,46.72,,,
88,07/12/19 10:30:00 AM,7.22,47.05,,,
89,07/12/19 10:45:00 AM,7.18,47.48,,,
90,07/12/19 11:00:00 AM,7.13,47.98,,,
91,07/12/19 11:15:00 AM,7.06,48.60,,,
92,07/12/19 11:30:00 AM,7.01,49.17,,,
93,07/12/19 11:45:00 AM,6.95,49.64,,,
94,07/12/19 12:00:00 PM,6.90,50.22,,,
95,07/12/19 12:15:00 PM,6.87,50.65,,,
96,07/12/19 12:30:00 PM,6.83,51.08,,,
97,07/12/19 12:45:00 PM,6.76,51.58,,,
98,07/12/19 12:52:21 PM,,,Logged,,
99,07/12/19 12:52:28 PM,,,,Logged,Logged
