Number of Entries,Time,mg/L,TempC
1,6/26/2019 11:00,-888.88,-888.88
2,6/26/2019 11:05,-888.88,-888.88
3,6/26/2019 11:10,-888.88,-888.88
4,6/26/2019 11:15,-888.88,-888.88
5,6/26/2019 11:20,-888.88,-888.88
6,6/26/2019 11:25,-888.88,-888.88
7,6/26/2019 11:30,-888.88,-888.88
8,6/26/2019 11:35,-888.88,-888.88
9,6/26/2019 11:40,-888.88,-888.88
10,6/26/2019 11:45,-888.88,-888.88
11,6/26/2019 11:50,-888.88,-888.88
12,6/26/2019 11:55,-888.88,-888.88
13,6/26/2019 12:00,-888.88,-888.88
14,6/26/2019 12:05,-888.88,-888.88
15,6/26/2019 12:10,-888.88,-888.88
16,6/26/2019 12:15,-888.88,-888.88
17,6/26/2019 12:20,-888.88,-888.88
18,6/26/2019 12:25,-888.88,-888.88
19,6/26/2019 12:30,-888.88,-888.88
20,6/26/2019 12:35,-888.88,-888.88
21,6/26/2019 12:40,-888.88,-888.88
22,6/26/2019 12:45,-888.88,-888.88
23,6/26/2019 12:50,-888.88,-888.88
24,6/26/2019 12:55,-888.88,-888.88
25,6/26/2019 13:00,-888.88,-888.88
26,6/26/2019 13:04,NA,NA
27,6/26/2019 13:05,-888.88,-888.88
28,6/26/2019 13:10,-888.88,-888.88
29,6/26/2019 13:15,-888.88,-888.88
30,6/26/2019 13:20,-888.88,-888.88
31,6/26/2019 13:25,-888.88,-888.88
32,6/26/2019 13:30,-888.88,-888.88
33,6/26/2019 13:35,-888.88,-888.88
34,6/26/2019 13:40,-888.88,-888.88
35,6/26/2019 13:45,-888.88,-888.88
36,6/26/2019 13:50,-888.88,-888.88
37,6/26/2019 13:55,-888.88,-888.88
38,6/26/2019 14:00,-888.88,-888.88
39,6/26/2019 14:05,-888.88,-888.88
40,6/26/2019 14:10,-888.88,-888.88
41,6/26/2019 14:15,-888.88,-888.88
42,6/26/2019 14:20,-888.88,-888.88
43,6/26/2019 14:25,-888.88,-888.88
44,6/26/2019 14:30,-888.88,-888.88
45,6/26/2019 14:35,-888.88,-888.88
46,6/26/2019 14:40,-888.88,-888.88
47,6/26/2019 14:45,-888.88,-888.88
48,6/26/2019 14:50,-888.88,-888.88
49,6/26/2019 14:55,-888.88,-888.88
50,6/26/2019 14:59,NA,NA
51,6/26/2019 14:59,NA,NA
52,6/26/2019 14:59,NA,NA
