"Plot Title: Carbonshed_01"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645539, SEN S/N: 20645539)","Temp, °F (LGR S/N: 20645539, SEN S/N: 20645539)","Coupler Detached (LGR S/N: 20645539)","Coupler Attached (LGR S/N: 20645539)","Host Connected (LGR S/N: 20645539)","Stopped (LGR S/N: 20645539)","End Of File (LGR S/N: 20645539)"
1,07/09/19 12:49:49 PM,6.48,53.64,,,,,
2,07/09/19 12:49:56 PM,,,Logged,,,,
3,07/09/19 12:56:54 PM,,,,Logged,,,
4,07/09/19 12:57:15 PM,,,,,Logged,,
5,07/09/19 12:57:22 PM,,,Logged,,,,
6,07/09/19 12:57:23 PM,,,,Logged,,,
7,07/09/19 12:57:24 PM,,,,,Logged,,
8,07/09/19 12:57:27 PM,,,,,Logged,,
9,07/09/19 12:57:47 PM,,,Logged,,,,
10,07/09/19 12:57:48 PM,,,,Logged,,,
11,07/09/19 12:58:00 PM,,,,,Logged,,
12,07/09/19 12:58:15 PM,,,Logged,,,,
13,07/09/19 12:58:16 PM,,,,Logged,,,
14,07/09/19 12:58:20 PM,,,Logged,,,,
15,07/09/19 12:58:26 PM,,,,Logged,,,
16,07/09/19 12:58:27 PM,,,,,Logged,,
17,07/09/19 12:58:30 PM,,,Logged,,,,
18,07/09/19 01:04:49 PM,6.80,48.06,,,,,
19,07/09/19 01:19:49 PM,7.02,44.78,,,,,
20,07/09/19 01:34:49 PM,6.94,44.46,,,,,
21,07/09/19 01:49:49 PM,6.98,44.42,,,,,
22,07/09/19 02:04:49 PM,6.99,44.46,,,,,
23,07/09/19 02:19:49 PM,6.99,44.42,,,,,
24,07/09/19 02:34:49 PM,6.99,44.46,,,,,
25,07/09/19 02:49:49 PM,6.99,44.38,,,,,
26,07/09/19 03:04:49 PM,6.98,44.24,,,,,
27,07/09/19 03:19:49 PM,6.98,44.06,,,,,
28,07/09/19 03:34:49 PM,7.00,43.99,,,,,
29,07/09/19 03:49:49 PM,7.00,43.99,,,,,
30,07/09/19 04:04:49 PM,7.00,43.95,,,,,
31,07/09/19 04:19:49 PM,6.99,43.66,,,,,
32,07/09/19 04:34:49 PM,6.98,43.45,,,,,
33,07/09/19 04:49:49 PM,6.96,43.23,,,,,
34,07/09/19 05:04:49 PM,6.96,43.16,,,,,
35,07/09/19 05:19:49 PM,6.94,43.16,,,,,
36,07/09/19 05:34:49 PM,6.87,43.05,,,,,
37,07/09/19 05:49:49 PM,6.80,42.84,,,,,
38,07/09/19 06:04:49 PM,6.73,42.66,,,,,
39,07/09/19 06:19:49 PM,6.64,42.48,,,,,
40,07/09/19 06:34:49 PM,6.56,42.26,,,,,
41,07/09/19 06:49:49 PM,6.49,42.08,,,,,
42,07/09/19 07:04:49 PM,6.41,41.90,,,,,
43,07/09/19 07:19:49 PM,6.33,41.76,,,,,
44,07/09/19 07:34:49 PM,6.26,41.61,,,,,
45,07/09/19 07:49:49 PM,6.21,41.47,,,,,
46,07/09/19 08:04:49 PM,6.15,41.36,,,,,
47,07/09/19 08:19:49 PM,6.10,41.22,,,,,
48,07/09/19 08:34:49 PM,6.06,41.11,,,,,
49,07/09/19 08:49:49 PM,6.01,40.96,,,,,
50,07/09/19 09:04:49 PM,5.97,40.86,,,,,
51,07/09/19 09:19:49 PM,5.91,40.75,,,,,
