"Plot Title: DO_2"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)","Temp, °F (LGR S/N: 20645540, SEN S/N: 20645540)","Coupler Detached (LGR S/N: 20645540)","Coupler Attached (LGR S/N: 20645540)","Host Connected (LGR S/N: 20645540)","Stopped (LGR S/N: 20645540)","End Of File (LGR S/N: 20645540)"
1,07/09/19 12:46:55 PM,6.83,50.90,,,,,
2,07/09/19 12:47:00 PM,,,Logged,,,,
3,07/09/19 01:01:55 PM,6.87,48.63,,,,,
4,07/09/19 01:16:55 PM,7.28,45.46,,,,,
5,07/09/19 01:31:55 PM,7.54,43.95,,,,,
6,07/09/19 01:46:55 PM,7.03,44.38,,,,,
7,07/09/19 02:01:55 PM,7.04,44.46,,,,,
8,07/09/19 02:16:55 PM,7.04,44.46,,,,,
9,07/09/19 02:31:55 PM,7.04,44.46,,,,,
10,07/09/19 02:46:55 PM,7.03,44.38,,,,,
11,07/09/19 03:01:55 PM,7.03,44.31,,,,,
12,07/09/19 03:16:55 PM,7.03,44.13,,,,,
13,07/09/19 03:31:55 PM,7.03,43.99,,,,,
14,07/09/19 03:46:55 PM,7.04,44.02,,,,,
15,07/09/19 04:01:55 PM,7.05,44.02,,,,,
16,07/09/19 04:16:55 PM,7.05,43.77,,,,,
17,07/09/19 04:31:55 PM,7.04,43.56,,,,,
18,07/09/19 04:46:55 PM,7.03,43.27,,,,,
19,07/09/19 05:01:55 PM,7.02,43.16,,,,,
20,07/09/19 05:16:55 PM,7.01,43.20,,,,,
21,07/09/19 05:31:55 PM,6.95,43.09,,,,,
22,07/09/19 05:46:55 PM,6.89,42.91,,,,,
23,07/09/19 06:01:55 PM,6.81,42.73,,,,,
24,07/09/19 06:16:55 PM,6.73,42.51,,,,,
25,07/09/19 06:31:55 PM,6.66,42.33,,,,,
26,07/09/19 06:46:55 PM,6.59,42.12,,,,,
27,07/09/19 07:01:55 PM,6.51,41.97,,,,,
28,07/09/19 07:16:55 PM,6.44,41.79,,,,,
29,07/09/19 07:31:55 PM,6.37,41.65,,,,,
