"Plot Title: DO_2"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)","Temp, °C (LGR S/N: 20645540, SEN S/N: 20645540)","Coupler Attached (LGR S/N: 20645540)","Host Connected (LGR S/N: 20645540)","Coupler Detached (LGR S/N: 20645540)","Stopped (LGR S/N: 20645540)","End Of File (LGR S/N: 20645540)"
1,07/12/19 05:00:00 PM,5.43,12.84,,,,,
2,07/12/19 05:15:00 PM,5.41,12.64,,,,,
3,07/12/19 05:30:00 PM,5.37,12.48,,,,,
4,07/12/19 05:45:00 PM,5.23,12.22,,,,,
5,07/12/19 06:00:00 PM,5.11,11.96,,,,,
6,07/12/19 06:15:00 PM,5.00,11.72,,,,,
7,07/12/19 06:30:00 PM,4.88,11.48,,,,,
8,07/12/19 06:45:00 PM,4.76,11.24,,,,,
9,07/12/19 07:00:00 PM,4.65,11.06,,,,,
10,07/12/19 07:15:00 PM,4.55,10.86,,,,,
11,07/12/19 07:30:00 PM,4.47,10.68,,,,,
12,07/12/19 07:45:00 PM,4.37,10.52,,,,,
13,07/12/19 08:00:00 PM,4.30,10.38,,,,,
14,07/12/19 08:15:00 PM,4.24,10.24,,,,,
15,07/12/19 08:30:00 PM,4.17,10.12,,,,,
16,07/12/19 08:45:00 PM,4.12,10.00,,,,,
17,07/12/19 09:00:00 PM,4.07,9.90,,,,,
18,07/12/19 09:15:00 PM,4.02,9.78,,,,,
19,07/12/19 09:30:00 PM,3.98,9.66,,,,,
20,07/12/19 09:45:00 PM,3.94,9.54,,,,,
21,07/12/19 10:00:00 PM,3.91,9.46,,,,,
22,07/12/19 10:15:00 PM,3.87,9.38,,,,,
23,07/12/19 10:30:00 PM,3.84,9.28,,,,,
24,07/12/19 10:45:00 PM,3.79,9.20,,,,,
25,07/12/19 11:00:00 PM,3.77,9.14,,,,,
26,07/12/19 11:15:00 PM,3.75,9.08,,,,,
27,07/12/19 11:30:00 PM,3.74,9.02,,,,,
28,07/12/19 11:45:00 PM,3.73,8.96,,,,,
29,07/13/19 12:00:00 AM,3.72,8.90,,,,,
30,07/13/19 12:15:00 AM,3.72,8.86,,,,,
31,07/13/19 12:30:00 AM,3.71,8.78,,,,,
32,07/13/19 12:45:00 AM,3.72,8.74,,,,,
33,07/13/19 01:00:00 AM,3.70,8.68,,,,,
34,07/13/19 01:15:00 AM,3.70,8.64,,,,,
35,07/13/19 01:30:00 AM,3.69,8.58,,,,,
36,07/13/19 01:45:00 AM,3.68,8.52,,,,,
37,07/13/19 02:00:00 AM,3.67,8.46,,,,,
