"Plot Title: DO_2"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)","Temp, °C (LGR S/N: 20645540, SEN S/N: 20645540)","Coupler Attached (LGR S/N: 20645540)","Host Connected (LGR S/N: 20645540)","Stopped (LGR S/N: 20645540)","End Of File (LGR S/N: 20645540)"
1,07/12/19 12:45:00 PM,5.81,12.30,,,,
2,07/12/19 12:46:00 PM,5.82,12.32,,,,
3,07/12/19 12:47:00 PM,5.83,12.32,,,,
4,07/12/19 12:48:00 PM,5.82,12.34,,,,
5,07/12/19 12:49:00 PM,5.83,12.34,,,,
6,07/12/19 12:50:00 PM,5.83,12.36,,,,
7,07/12/19 12:51:00 PM,5.83,12.38,,,,
8,07/12/19 12:52:00 PM,5.83,12.38,,,,
9,07/12/19 12:53:00 PM,5.84,12.40,,,,
10,07/12/19 12:54:00 PM,5.84,12.42,,,,
11,07/12/19 12:55:00 PM,5.84,12.44,,,,
12,07/12/19 12:56:00 PM,5.84,12.44,,,,
13,07/12/19 12:57:00 PM,5.84,12.46,,,,
14,07/12/19 12:58:00 PM,5.84,12.46,,,,
15,07/12/19 12:59:00 PM,5.84,12.46,,,,
16,07/12/19 01:00:00 PM,5.83,12.46,,,,
17,07/12/19 01:01:00 PM,5.83,12.46,,,,
18,07/12/19 01:02:00 PM,5.83,12.46,,,,
19,07/12/19 01:03:00 PM,5.82,12.46,,,,
20,07/12/19 01:04:00 PM,5.81,12.46,,,,
21,07/12/19 01:05:00 PM,5.81,12.46,,,,
22,07/12/19 01:06:00 PM,5.81,12.46,,,,
23,07/12/19 01:07:00 PM,5.81,12.46,,,,
24,07/12/19 01:08:00 PM,5.81,12.46,,,,
25,07/12/19 01:09:00 PM,5.81,12.48,,,,
26,07/12/19 01:10:00 PM,5.81,12.48,,,,
27,07/12/19 01:11:00 PM,5.81,12.48,,,,
28,07/12/19 01:12:00 PM,5.79,12.50,,,,
29,07/12/19 01:13:00 PM,5.79,12.50,,,,
30,07/12/19 01:14:00 PM,5.79,12.50,,,,
31,07/12/19 01:15:00 PM,5.79,12.52,,,,
32,07/12/19 01:16:00 PM,5.79,12.52,,,,
33,07/12/19 01:17:00 PM,5.79,12.52,,,,
34,07/12/19 01:18:00 PM,5.78,12.54,,,,
35,07/12/19 01:19:00 PM,5.78,12.54,,,,
36,07/12/19 01:20:00 PM,5.78,12.54,,,,
37,07/12/19 01:21:00 PM,5.79,12.56,,,,
38,07/12/19 01:22:00 PM,5.79,12.56,,,,
