"Plot Title: DO_3"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645538, SEN S/N: 20645538)","Temp, °F (LGR S/N: 20645538, SEN S/N: 20645538)","Coupler Detached (LGR S/N: 20645538)","Coupler Attached (LGR S/N: 20645538)","Host Connected (LGR S/N: 20645538)","End Of File (LGR S/N: 20645538)"
1,07/10/19 12:31:38 PM,7.03,51.48,,,,
2,07/10/19 12:31:44 PM,,,Logged,,,
3,07/10/19 12:46:38 PM,6.96,50.29,,,,
4,07/10/19 01:01:38 PM,6.90,50.97,,,,
5,07/10/19 01:16:38 PM,6.84,51.55,,,,
6,07/10/19 01:31:38 PM,6.79,52.12,,,,
7,07/10/19 01:46:38 PM,6.71,52.70,,,,
8,07/10/19 02:01:38 PM,6.69,53.02,,,,
9,07/10/19 02:16:38 PM,6.66,53.42,,,,
10,07/10/19 02:31:38 PM,6.62,53.74,,,,
11,07/10/19 02:46:38 PM,6.59,54.00,,,,
12,07/10/19 03:01:38 PM,6.59,54.03,,,,
13,07/10/19 03:16:38 PM,6.60,53.78,,,,
14,07/10/19 03:31:38 PM,6.64,53.38,,,,
15,07/10/19 03:46:38 PM,6.67,52.99,,,,
16,07/10/19 04:01:38 PM,6.69,52.70,,,,
17,07/10/19 04:16:38 PM,6.70,52.59,,,,
18,07/10/19 04:31:38 PM,6.71,52.45,,,,
19,07/10/19 04:46:38 PM,6.73,52.20,,,,
20,07/10/19 05:01:38 PM,6.77,51.80,,,,
21,07/10/19 05:16:38 PM,6.81,51.44,,,,
22,07/10/19 05:31:38 PM,6.84,51.04,,,,
23,07/10/19 05:46:38 PM,6.88,50.61,,,,
24,07/10/19 06:01:38 PM,6.92,50.18,,,,
25,07/10/19 06:16:38 PM,6.97,49.68,,,,
26,07/10/19 06:31:38 PM,7.00,49.24,,,,
27,07/10/19 06:46:38 PM,7.04,48.85,,,,
28,07/10/19 07:01:38 PM,7.08,48.42,,,,
29,07/10/19 07:16:38 PM,7.13,48.06,,,,
30,07/10/19 07:31:38 PM,7.16,47.66,,,,
31,07/10/19 07:46:38 PM,7.20,47.34,,,,
32,07/10/19 08:01:38 PM,7.23,46.98,,,,
33,07/10/19 08:16:38 PM,7.26,46.65,,,,
34,07/10/19 08:31:38 PM,7.30,46.29,,,,
35,07/10/19 08:46:38 PM,7.33,45.93,,,,
36,07/10/19 09:01:38 PM,7.37,45.61,,,,
37,07/10/19 09:16:38 PM,7.40,45.28,,,,
38,07/10/19 09:31:38 PM,7.45,44.92,,,,
39,07/10/19 09:46:38 PM,7.48,44.60,,,,
40,07/10/19 10:01:38 PM,7.51,44.31,,,,
41,07/10/19 10:16:38 PM,7.54,44.02,,,,
42,07/10/19 10:31:38 PM,7.56,43.77,,,,
43,07/10/19 10:46:38 PM,7.58,43.52,,,,
44,07/10/19 11:01:38 PM,7.61,43.30,,,,
45,07/10/19 11:16:38 PM,7.63,43.05,,,,
46,07/10/19 11:31:38 PM,7.66,42.84,,,,
47,07/10/19 11:46:38 PM,7.68,42.66,,,,
48,07/11/19 12:01:38 AM,7.70,42.48,,,,
49,07/11/19 12:16:38 AM,7.71,42.30,,,,
50,07/11/19 12:31:38 AM,7.73,42.12,,,,
51,07/11/19 12:46:38 AM,7.75,41.94,,,,
52,07/11/19 01:01:38 AM,7.78,41.79,,,,
53,07/11/19 01:16:38 AM,7.79,41.68,,,,
54,07/11/19 01:31:38 AM,7.79,41.61,,,,
55,07/11/19 01:46:38 AM,7.80,41.54,,,,
56,07/11/19 02:01:38 AM,7.81,41.43,,,,
57,07/11/19 02:16:38 AM,7.81,41.32,,,,
