"Plot Title: DO_3"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645538, SEN S/N: 20645538)","Temp, °C (LGR S/N: 20645538, SEN S/N: 20645538)","Coupler Attached (LGR S/N: 20645538)","Host Connected (LGR S/N: 20645538)","Stopped (LGR S/N: 20645538)","End Of File (LGR S/N: 20645538)"
1,07/12/19 01:00:00 PM,6.66,11.36,,,,
2,07/12/19 01:01:00 PM,6.67,11.34,,,,
3,07/12/19 01:02:00 PM,6.67,11.34,,,,
4,07/12/19 01:03:00 PM,6.68,11.34,,,,
5,07/12/19 01:04:00 PM,6.68,11.34,,,,
6,07/12/19 01:05:00 PM,6.68,11.34,,,,
7,07/12/19 01:06:00 PM,6.68,11.36,,,,
8,07/12/19 01:07:00 PM,6.68,11.36,,,,
9,07/12/19 01:08:00 PM,6.67,11.38,,,,
10,07/12/19 01:09:00 PM,6.67,11.38,,,,
11,07/12/19 01:10:00 PM,6.67,11.40,,,,
12,07/12/19 01:11:00 PM,6.67,11.42,,,,
13,07/12/19 01:12:00 PM,6.67,11.42,,,,
14,07/12/19 01:13:00 PM,6.67,11.44,,,,
15,07/12/19 01:14:00 PM,6.67,11.46,,,,
16,07/12/19 01:15:00 PM,6.66,11.48,,,,
17,07/12/19 01:16:00 PM,6.66,11.50,,,,
18,07/12/19 01:17:00 PM,6.66,11.52,,,,
19,07/12/19 01:18:00 PM,6.65,11.52,,,,
20,07/12/19 01:19:00 PM,6.65,11.54,,,,
21,07/12/19 01:20:00 PM,6.64,11.56,,,,
22,07/12/19 01:21:00 PM,6.64,11.58,,,,
23,07/12/19 01:22:00 PM,6.64,11.60,,,,
24,07/12/19 01:23:00 PM,6.63,11.60,,,,
25,07/12/19 01:24:00 PM,6.64,11.62,,,,
26,07/12/19 01:25:00 PM,6.64,11.64,,,,
27,07/12/19 01:26:00 PM,6.63,11.64,,,,
28,07/12/19 01:27:00 PM,6.63,11.66,,,,
29,07/12/19 01:28:00 PM,6.63,11.66,,,,
30,07/12/19 01:29:00 PM,6.63,11.66,,,,
31,07/12/19 01:30:00 PM,6.63,11.68,,,,
32,07/12/19 01:31:00 PM,6.62,11.68,,,,
33,07/12/19 01:32:00 PM,6.62,11.70,,,,
34,07/12/19 01:33:00 PM,6.62,11.70,,,,
35,07/12/19 01:34:00 PM,6.62,11.72,,,,
36,07/12/19 01:35:00 PM,6.62,11.72,,,,
37,07/12/19 01:36:00 PM,6.61,11.72,,,,
38,07/12/19 01:37:00 PM,6.61,11.74,,,,
39,07/12/19 01:38:00 PM,6.62,11.74,,,,
40,07/12/19 01:39:00 PM,6.61,11.76,,,,
41,07/12/19 01:40:00 PM,6.61,11.76,,,,
42,07/12/19 01:41:00 PM,6.61,11.78,,,,
43,07/12/19 01:42:00 PM,6.61,11.78,,,,
44,07/12/19 01:43:00 PM,6.61,11.80,,,,
45,07/12/19 01:44:00 PM,6.60,11.80,,,,
46,07/12/19 01:45:00 PM,6.60,11.80,,,,
47,07/12/19 01:46:00 PM,6.61,11.82,,,,
48,07/12/19 01:47:00 PM,6.60,11.84,,,,
49,07/12/19 01:48:00 PM,6.60,11.84,,,,
50,07/12/19 01:49:00 PM,6.60,11.84,,,,
51,07/12/19 01:50:00 PM,6.60,11.86,,,,
52,07/12/19 01:51:00 PM,6.60,11.86,,,,
53,07/12/19 01:52:00 PM,6.59,11.86,,,,
54,07/12/19 01:53:00 PM,6.59,11.88,,,,
55,07/12/19 01:54:00 PM,6.59,11.88,,,,
56,07/12/19 01:55:00 PM,6.59,11.88,,,,
57,07/12/19 01:56:00 PM,6.59,11.90,,,,
58,07/12/19 01:57:00 PM,6.58,11.90,,,,
59,07/12/19 01:58:00 PM,6.58,11.90,,,,
60,07/12/19 01:59:00 PM,6.58,11.90,,,,
61,07/12/19 02:00:00 PM,6.58,11.92,,,,
62,07/12/19 02:01:00 PM,6.58,11.92,,,,
63,07/12/19 02:02:00 PM,6.58,11.92,,,,
64,07/12/19 02:03:00 PM,6.58,11.94,,,,
65,07/12/19 02:04:00 PM,6.58,11.94,,,,
66,07/12/19 02:05:00 PM,6.58,11.96,,,,
67,07/12/19 02:06:00 PM,6.58,11.96,,,,
68,07/12/19 02:07:00 PM,6.58,11.98,,,,
69,07/12/19 02:08:00 PM,6.58,11.98,,,,
70,07/12/19 02:09:00 PM,6.57,12.00,,,,
71,07/12/19 02:10:00 PM,6.57,12.00,,,,
72,07/12/19 02:11:00 PM,6.57,12.02,,,,
