"Plot Title: EC1"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)","Specific Conductance, μS/cm (LGR S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","Coupler Attached (LGR S/N: 20636125)","Host Connected (LGR S/N: 20636125)","Stopped (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
1,07/11/19 11:26:02 AM,9.2,9.40,13.4,,,,,
2,07/11/19 11:26:15 AM,,,,Logged,,,,
3,07/11/19 11:41:02 AM,7.7,11.81,10.5,,,,,
4,07/11/19 11:56:02 AM,7.7,12.11,10.4,,,,,
5,07/11/19 12:11:02 PM,7.7,12.72,10.2,,,,,
6,07/11/19 12:26:02 PM,7.7,13.36,10.1,,,,,
7,07/11/19 12:41:02 PM,7.7,13.58,10.0,,,,,
8,07/11/19 12:56:02 PM,7.6,14.20,9.7,,,,,
9,07/11/19 01:11:02 PM,7.6,14.83,9.6,,,,,
10,07/11/19 01:26:02 PM,7.6,15.41,9.5,,,,,
11,07/11/19 01:41:02 PM,7.6,15.78,9.4,,,,,
12,07/11/19 01:56:02 PM,7.6,15.89,9.3,,,,,
13,07/11/19 02:11:02 PM,7.6,15.67,9.4,,,,,
14,07/11/19 02:26:02 PM,7.6,15.63,9.4,,,,,
15,07/11/19 02:41:02 PM,7.6,15.28,9.5,,,,,
16,07/11/19 02:56:02 PM,7.6,14.97,9.6,,,,,
17,07/11/19 03:11:02 PM,7.6,14.50,9.7,,,,,
18,07/11/19 03:26:02 PM,7.6,14.15,9.7,,,,,
19,07/11/19 03:41:02 PM,7.6,13.78,9.8,,,,,
20,07/11/19 03:56:02 PM,7.6,13.77,9.8,,,,,
21,07/11/19 04:11:02 PM,7.7,13.45,10.1,,,,,
22,07/11/19 04:26:02 PM,7.7,13.32,10.1,,,,,
23,07/11/19 04:41:02 PM,7.7,13.18,10.1,,,,,
24,07/11/19 04:56:02 PM,7.7,13.08,10.1,,,,,
25,07/11/19 05:11:02 PM,7.7,13.00,10.2,,,,,
26,07/11/19 05:26:02 PM,7.7,12.80,10.2,,,,,
27,07/11/19 05:41:02 PM,7.7,12.47,10.3,,,,,
