"Plot Title: EC1"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)","Specific Conductance, μS/cm (LGR S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","Coupler Attached (LGR S/N: 20636125)","Host Connected (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
1,07/15/19 11:15:00 AM,7.0,5.40,11.4,Logged,,,
2,07/15/19 11:30:00 AM,7.0,5.53,11.3,,,,
3,07/15/19 11:45:00 AM,7.0,5.63,11.3,,,,
4,07/15/19 12:00:00 PM,7.0,5.91,11.2,,,,
5,07/15/19 12:15:00 PM,7.0,6.24,11.1,,,,
6,07/15/19 12:30:00 PM,7.0,6.38,11.1,,,,
7,07/15/19 12:45:00 PM,7.0,6.32,11.1,,,,
8,07/15/19 01:00:00 PM,7.0,6.14,11.1,,,,
9,07/15/19 01:15:00 PM,7.0,6.27,11.1,,,,
10,07/15/19 01:30:00 PM,7.0,6.39,11.1,,,,
11,07/15/19 01:45:00 PM,7.0,6.64,11.0,,,,
12,07/15/19 02:00:00 PM,6.6,6.89,10.3,,,,
13,07/15/19 02:15:00 PM,7.0,6.80,10.9,,,,
14,07/15/19 02:30:00 PM,7.0,7.01,10.9,,,,
15,07/15/19 02:45:00 PM,7.0,7.13,10.8,,,,
16,07/15/19 03:00:00 PM,6.6,7.25,10.2,,,,
17,07/15/19 03:15:00 PM,7.0,7.28,10.8,,,,
18,07/15/19 03:30:00 PM,6.6,7.29,10.2,,,,
19,07/15/19 03:45:00 PM,7.0,7.44,10.7,,,,
20,07/15/19 04:00:00 PM,7.0,7.53,10.7,,,,
21,07/15/19 04:15:00 PM,7.0,7.55,10.7,,,,
22,07/15/19 04:30:00 PM,7.0,7.54,10.7,,,,
23,07/15/19 04:45:00 PM,7.0,7.62,10.7,,,,
24,07/15/19 05:00:00 PM,7.0,7.74,10.6,,,,
25,07/15/19 05:15:00 PM,7.0,7.67,10.7,,,,
26,07/15/19 05:30:00 PM,6.2,7.57,9.5,,,,
27,07/15/19 05:45:00 PM,7.0,7.44,10.7,,,,
28,07/15/19 06:00:00 PM,7.0,7.34,10.8,,,,
29,07/15/19 06:15:00 PM,7.0,7.20,10.8,,,,
