"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)","Specific Conductance, μS/cm (LGR S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
1,07/11/19 11:52:18 AM,7.4,11.65,10.1,,,,,
2,07/11/19 11:52:25 AM,,,,Logged,,,,
3,07/11/19 12:07:18 PM,7.7,12.45,10.3,,,,,
4,07/11/19 12:22:18 PM,7.0,13.05,9.2,,,,,
5,07/11/19 12:37:18 PM,7.7,13.42,10.1,,,,,
6,07/11/19 12:52:18 PM,7.7,13.88,9.9,,,,,
7,07/11/19 01:07:18 PM,6.9,14.46,8.8,,,,,
8,07/11/19 01:22:18 PM,7.7,15.09,9.7,,,,,
9,07/11/19 01:37:18 PM,7.7,15.51,9.6,,,,,
10,07/11/19 01:52:18 PM,7.7,15.72,9.5,,,,,
11,07/11/19 02:07:18 PM,7.7,15.74,9.5,,,,,
12,07/11/19 02:22:18 PM,7.7,15.68,9.5,,,,,
13,07/11/19 02:37:18 PM,7.7,15.30,9.6,,,,,
14,07/11/19 02:52:18 PM,7.7,14.95,9.7,,,,,
15,07/11/19 03:07:18 PM,7.7,14.57,9.8,,,,,
16,07/11/19 03:22:18 PM,7.7,14.18,9.9,,,,,
17,07/11/19 03:37:18 PM,7.7,13.80,10.0,,,,,
18,07/11/19 03:52:18 PM,7.7,13.62,10.0,,,,,
19,07/11/19 04:07:18 PM,7.7,13.46,10.1,,,,,
20,07/11/19 04:22:18 PM,7.7,13.20,10.1,,,,,
21,07/11/19 04:37:18 PM,7.7,13.01,10.2,,,,,
22,07/11/19 04:52:18 PM,7.7,12.93,10.2,,,,,
23,07/11/19 05:07:18 PM,7.7,12.92,10.2,,,,,
24,07/11/19 05:22:18 PM,7.7,12.72,10.2,,,,,
25,07/11/19 05:37:18 PM,7.7,12.46,10.3,,,,,
26,07/11/19 05:52:18 PM,7.7,12.18,10.4,,,,,
27,07/11/19 06:07:18 PM,7.7,11.95,10.4,,,,,
28,07/11/19 06:22:18 PM,7.7,11.70,10.5,,,,,
29,07/11/19 06:37:18 PM,7.7,11.43,10.6,,,,,
30,07/11/19 06:52:18 PM,7.7,11.25,10.6,,,,,
31,07/11/19 07:07:18 PM,7.7,11.08,10.7,,,,,
32,07/11/19 07:22:18 PM,7.7,10.93,10.7,,,,,
33,07/11/19 07:37:18 PM,7.7,10.79,10.8,,,,,
34,07/11/19 07:52:18 PM,7.7,10.68,10.8,,,,,
