"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)","Specific Conductance, μS/cm (LGR S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
1,07/15/19 11:29:21 AM,9.3,5.76,15.0,,,,,
2,07/15/19 11:29:22 AM,7.4,5.76,11.9,,,,,
3,07/15/19 11:29:23 AM,7.4,5.79,11.9,,,,,
4,07/15/19 11:29:24 AM,7.4,5.79,11.9,,,,,
5,07/15/19 11:29:25 AM,7.4,5.78,11.9,,,,,
6,07/15/19 11:29:26 AM,7.4,5.78,11.9,,,,,
7,07/15/19 11:29:27 AM,1.4,5.78,2.2,,,,,
8,07/15/19 11:29:28 AM,7.4,5.79,11.9,,,,,
9,07/15/19 11:29:29 AM,9.3,5.83,14.9,,,,,
10,07/15/19 11:29:30 AM,0.3,5.86,0.5,Logged,,,,
11,07/15/19 11:29:31 AM,9.3,5.88,14.9,,,,,
12,07/15/19 11:29:32 AM,9.3,5.94,14.9,,,,,
13,07/15/19 11:29:33 AM,7.4,5.95,11.8,,,,,
14,07/15/19 11:29:34 AM,0.3,5.97,0.5,,,,,
15,07/15/19 11:29:35 AM,7.4,6.00,11.8,,,,,
16,07/15/19 11:29:36 AM,9.3,6.03,14.8,,,,,
17,07/15/19 11:29:37 AM,7.4,6.01,11.8,,,,,
18,07/15/19 11:29:38 AM,9.3,6.04,14.8,,,,,
19,07/15/19 11:29:39 AM,9.3,6.07,14.8,,,,,
20,07/15/19 11:29:40 AM,9.3,6.07,14.8,,,,,
21,07/15/19 11:29:41 AM,9.3,6.07,14.8,,,,,
22,07/15/19 11:29:42 AM,9.3,6.05,14.8,,,,,
23,07/15/19 11:29:43 AM,7.4,6.07,11.8,,,,,
24,07/15/19 11:29:44 AM,7.8,5.70,12.6,,,,,
25,07/15/19 11:29:45 AM,7.0,5.53,11.3,,,,,
26,07/15/19 11:29:46 AM,7.4,5.54,12.0,,,,,
27,07/15/19 11:29:47 AM,7.4,5.53,12.0,,,,,
28,07/15/19 11:29:48 AM,7.4,5.54,12.0,,,,,
29,07/15/19 11:29:49 AM,7.4,5.55,12.0,,,,,
30,07/15/19 11:29:50 AM,7.4,5.51,12.0,,,,,
31,07/15/19 11:29:51 AM,7.4,5.50,12.0,,,,,
32,07/15/19 11:29:52 AM,7.4,5.50,12.0,,,,,
33,07/15/19 11:29:53 AM,7.4,5.51,12.0,,,,,
34,07/15/19 11:29:54 AM,7.4,5.51,12.0,,,,,
35,07/15/19 11:29:55 AM,7.4,5.49,12.0,,,,,
36,07/15/19 11:29:56 AM,7.4,5.50,12.0,,,,,
37,07/15/19 11:29:57 AM,7.4,5.45,12.0,,,,,
38,07/15/19 11:29:58 AM,7.4,5.47,12.0,,,,,
39,07/15/19 11:29:59 AM,7.4,5.47,12.0,,,,,
40,07/15/19 11:30:00 AM,6.7,5.47,10.9,,,,,
41,07/15/19 11:30:01 AM,6.7,5.49,10.9,,,,,
42,07/15/19 11:30:02 AM,7.4,5.50,12.0,,,,,
43,07/15/19 11:30:03 AM,7.4,5.47,12.0,,,,,
44,07/15/19 11:30:04 AM,6.7,5.50,10.9,,,,,
45,07/15/19 11:30:05 AM,7.4,5.47,12.0,,,,,
46,07/15/19 11:30:06 AM,7.4,5.47,12.0,,,,,
47,07/15/19 11:30:07 AM,7.4,5.47,12.0,,,,,
48,07/15/19 11:30:08 AM,7.4,5.46,12.0,,,,,
49,07/15/19 11:30:09 AM,7.4,5.49,12.0,,,,,
50,07/15/19 11:30:10 AM,7.4,5.46,12.0,,,,,
51,07/15/19 11:30:11 AM,6.7,5.49,10.9,,,,,
52,07/15/19 11:30:12 AM,6.7,5.47,10.9,,,,,
53,07/15/19 11:30:13 AM,7.4,5.49,12.0,,,,,
54,07/15/19 11:30:14 AM,7.4,5.49,12.0,,,,,
55,07/15/19 11:30:15 AM,7.4,5.49,12.0,,,,,
56,07/15/19 11:30:16 AM,7.4,5.46,12.0,,,,,
57,07/15/19 11:30:17 AM,7.4,5.46,12.0,,,,,
58,07/15/19 11:30:18 AM,7.4,5.49,12.0,,,,,
59,07/15/19 11:30:19 AM,7.4,5.49,12.0,,,,,
60,07/15/19 11:30:20 AM,7.4,5.47,12.0,,,,,
61,07/15/19 11:30:21 AM,7.8,5.47,12.6,,,,,
62,07/15/19 11:30:22 AM,7.4,5.49,12.0,,,,,
63,07/15/19 11:30:23 AM,7.4,5.47,12.0,,,,,
64,07/15/19 11:30:24 AM,7.4,5.49,12.0,,,,,
65,07/15/19 11:30:25 AM,6.7,5.47,10.9,,,,,
66,07/15/19 11:30:26 AM,7.4,5.47,12.0,,,,,
67,07/15/19 11:30:27 AM,6.7,5.46,10.9,,,,,
68,07/15/19 11:30:28 AM,7.4,5.46,12.0,,,,,
69,07/15/19 11:30:29 AM,7.4,5.47,12.0,,,,,
70,07/15/19 11:30:30 AM,7.4,5.47,12.0,,,,,
71,07/15/19 11:30:31 AM,7.4,5.47,12.0,,,,,
72,07/15/19 11:30:32 AM,7.4,5.46,12.0,,,,,
73,07/15/19 11:30:33 AM,7.4,5.47,12.0,,,,,
74,07/15/19 11:30:34 AM,7.4,5.47,12.0,,,,,
75,07/15/19 11:30:35 AM,7.4,5.49,12.0,,,,,
76,07/15/19 11:30:36 AM,7.4,5.47,12.0,,,,,
77,07/15/19 11:30:37 AM,7.4,5.46,12.0,,,,,
78,07/15/19 11:30:38 AM,7.4,5.47,12.0,,,,,
79,07/15/19 11:30:39 AM,7.4,5.49,12.0,,,,,
80,07/15/19 11:30:40 AM,6.7,5.49,10.9,,,,,
81,07/15/19 11:30:41 AM,7.4,5.49,12.0,,,,,
82,07/15/19 11:30:42 AM,7.4,5.47,12.0,,,,,
83,07/15/19 11:30:43 AM,7.4,5.47,12.0,,,,,
84,07/15/19 11:30:44 AM,7.4,5.47,12.0,,,,,
85,07/15/19 11:30:45 AM,6.7,5.47,10.9,,,,,
86,07/15/19 11:30:46 AM,7.4,5.47,12.0,,,,,
87,07/15/19 11:30:47 AM,7.4,5.49,12.0,,,,,
88,07/15/19 11:30:48 AM,7.4,5.47,12.0,,,,,
89,07/15/19 11:30:49 AM,6.7,5.50,10.9,,,,,
90,07/15/19 11:30:50 AM,7.4,5.47,12.0,,,,,
91,07/15/19 11:30:51 AM,7.4,5.46,12.0,,,,,
92,07/15/19 11:30:52 AM,7.4,5.47,12.0,,,,,
93,07/15/19 11:30:53 AM,7.4,5.46,12.0,,,,,
94,07/15/19 11:30:54 AM,7.4,5.49,12.0,,,,,
95,07/15/19 11:30:55 AM,7.4,5.47,12.0,,,,,
96,07/15/19 11:30:56 AM,7.4,5.47,12.0,,,,,
97,07/15/19 11:30:57 AM,7.4,5.47,12.0,,,,,
98,07/15/19 11:30:58 AM,7.4,5.47,12.0,,,,,
99,07/15/19 11:30:59 AM,7.4,5.47,12.0,,,,,
100,07/15/19 11:31:00 AM,7.4,5.47,12.0,,,,,
101,07/15/19 11:31:01 AM,7.4,5.46,12.0,,,,,
102,07/15/19 11:31:02 AM,7.4,5.47,12.0,,,,,
103,07/15/19 11:31:03 AM,7.4,5.47,12.0,,,,,
104,07/15/19 11:31:04 AM,7.4,5.49,12.0,,,,,
105,07/15/19 11:31:05 AM,7.4,5.47,12.0,,,,,
106,07/15/19 11:31:06 AM,7.4,5.47,12.0,,,,,
107,07/15/19 11:31:07 AM,7.4,5.47,12.0,,,,,
108,07/15/19 11:31:08 AM,7.4,5.47,12.0,,,,,
109,07/15/19 11:31:09 AM,7.4,5.49,12.0,,,,,
110,07/15/19 11:31:10 AM,6.7,5.47,10.9,,,,,
111,07/15/19 11:31:11 AM,7.4,5.47,12.0,,,,,
112,07/15/19 11:31:12 AM,6.7,5.47,10.9,,,,,
113,07/15/19 11:31:13 AM,7.4,5.47,12.0,,,,,
114,07/15/19 11:31:14 AM,7.4,5.49,12.0,,,,,
115,07/15/19 11:31:15 AM,7.4,5.49,12.0,,,,,
116,07/15/19 11:31:16 AM,6.7,5.47,10.9,,,,,
117,07/15/19 11:31:17 AM,7.4,5.46,12.0,,,,,
118,07/15/19 11:31:18 AM,7.4,5.47,12.0,,,,,
119,07/15/19 11:31:19 AM,7.4,5.46,12.0,,,,,
120,07/15/19 11:31:20 AM,7.4,5.49,12.0,,,,,
121,07/15/19 11:31:21 AM,7.4,5.47,12.0,,,,,
122,07/15/19 11:31:22 AM,7.4,5.47,12.0,,,,,
123,07/15/19 11:31:23 AM,7.4,5.47,12.0,,,,,
124,07/15/19 11:31:24 AM,7.4,5.47,12.0,,,,,
125,07/15/19 11:31:25 AM,7.8,5.50,12.6,,,,,
126,07/15/19 11:31:26 AM,6.7,5.47,10.9,,,,,
127,07/15/19 11:31:27 AM,7.4,5.47,12.0,,,,,
128,07/15/19 11:31:28 AM,7.4,5.47,12.0,,,,,
129,07/15/19 11:31:29 AM,7.4,5.47,12.0,,,,,
130,07/15/19 11:31:30 AM,7.4,5.47,12.0,,,,,
131,07/15/19 11:31:31 AM,7.4,5.47,12.0,,,,,
132,07/15/19 11:31:32 AM,7.4,5.47,12.0,,,,,
133,07/15/19 11:31:33 AM,7.8,5.47,12.6,,,,,
134,07/15/19 11:31:34 AM,7.4,5.47,12.0,,,,,
135,07/15/19 11:31:35 AM,7.4,5.47,12.0,,,,,
136,07/15/19 11:31:36 AM,7.4,5.47,12.0,,,,,
137,07/15/19 11:31:37 AM,6.7,5.47,10.9,,,,,
138,07/15/19 11:31:38 AM,7.4,5.46,12.0,,,,,
139,07/15/19 11:31:39 AM,7.4,5.46,12.0,,,,,
140,07/15/19 11:31:40 AM,7.4,5.50,12.0,,,,,
141,07/15/19 11:31:41 AM,7.4,5.47,12.0,,,,,
142,07/15/19 11:31:42 AM,7.4,5.47,12.0,,,,,
143,07/15/19 11:31:43 AM,7.4,5.47,12.0,,,,,
144,07/15/19 11:31:44 AM,7.4,5.47,12.0,,,,,
145,07/15/19 11:31:45 AM,7.4,5.47,12.0,,,,,
146,07/15/19 11:31:46 AM,7.4,5.47,12.0,,,,,
