"Plot Title: EC 3"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636126, SEN S/N: 20636126, LBL: Conductivity)","Temp, °C (LGR S/N: 20636126, SEN S/N: 20636126)","Specific Conductance, μS/cm (LGR S/N: 20636126)","Coupler Detached (LGR S/N: 20636126)","Coupler Attached (LGR S/N: 20636126)","Host Connected (LGR S/N: 20636126)","Stopped (LGR S/N: 20636126)","End Of File (LGR S/N: 20636126)"
1,07/09/19 12:04:47 PM,2.2,9.15,3.2,,,,,
2,07/09/19 12:04:55 PM,,,,Logged,,,,
3,07/09/19 12:19:47 PM,-1.2,8.25,-1.8,,,,,
4,07/09/19 12:34:47 PM,-1.2,6.61,-1.9,,,,,
5,07/09/19 12:49:47 PM,2.2,6.31,3.5,,,,,
6,07/09/19 01:02:45 PM,,,,,Logged,,,
7,07/09/19 01:02:53 PM,,,,,,Logged,,
8,07/09/19 01:03:04 PM,,,,Logged,,,,
9,07/09/19 01:03:07 PM,,,,,Logged,,,
10,07/09/19 01:03:20 PM,,,,,,Logged,,
11,07/09/19 01:03:28 PM,,,,Logged,,,,
12,07/09/19 01:03:29 PM,,,,,Logged,,,
13,07/09/19 01:03:38 PM,,,,Logged,,,,
14,07/09/19 01:03:39 PM,,,,,Logged,,,
15,07/09/19 01:03:44 PM,,,,,,Logged,,
16,07/09/19 01:04:02 PM,,,,Logged,,,,
17,07/09/19 01:04:47 PM,2.2,6.35,3.5,,,,,
18,07/09/19 01:19:47 PM,-1.2,6.29,-1.9,,,,,
19,07/09/19 01:34:47 PM,2.2,6.03,3.5,,,,,
20,07/09/19 01:49:47 PM,-1.2,5.41,-1.9,,,,,
21,07/09/19 02:04:47 PM,-1.2,5.89,-1.9,,,,,
22,07/09/19 02:19:47 PM,8.6,6.86,13.4,,,,,
23,07/09/19 02:34:47 PM,6.7,7.15,10.4,,,,,
24,07/09/19 02:49:47 PM,6.7,7.14,10.4,,,,,
25,07/09/19 03:04:47 PM,6.7,7.07,10.4,,,,,
26,07/09/19 03:19:47 PM,6.7,6.99,10.4,,,,,
27,07/09/19 03:34:47 PM,6.7,6.91,10.4,,,,,
28,07/09/19 03:49:47 PM,6.7,6.94,10.4,,,,,
29,07/09/19 04:04:47 PM,6.7,6.92,10.4,,,,,
30,07/09/19 04:19:47 PM,6.7,6.79,10.5,,,,,
31,07/09/19 04:34:47 PM,6.7,6.67,10.5,,,,,
32,07/09/19 04:49:47 PM,6.7,6.53,10.5,,,,,
33,07/09/19 05:04:47 PM,6.3,6.47,9.9,,,,,
34,07/09/19 05:19:47 PM,6.7,6.47,10.6,,,,,
35,07/09/19 05:34:47 PM,6.7,6.42,10.6,,,,,
36,07/09/19 05:49:47 PM,6.7,6.34,10.6,,,,,
37,07/09/19 06:04:47 PM,6.7,6.23,10.6,,,,,
38,07/09/19 06:19:47 PM,6.7,6.13,10.7,,,,,
39,07/09/19 06:34:47 PM,6.7,6.02,10.7,,,,,
40,07/09/19 06:49:47 PM,6.3,5.91,10.1,,,,,
41,07/09/19 07:04:47 PM,6.7,5.83,10.8,,,,,
42,07/09/19 07:19:47 PM,6.3,5.73,10.1,,,,,
43,07/09/19 07:34:47 PM,6.7,5.66,10.8,,,,,
44,07/09/19 07:49:47 PM,6.7,5.59,10.8,,,,,
45,07/09/19 08:04:47 PM,6.7,5.50,10.9,,,,,
46,07/09/19 08:19:47 PM,6.7,5.44,10.9,,,,,
47,07/09/19 08:34:47 PM,6.7,5.37,10.9,,,,,
48,07/09/19 08:49:47 PM,6.7,5.29,10.9,,,,,
49,07/09/19 09:04:47 PM,6.7,5.25,10.9,,,,,
50,07/09/19 09:19:47 PM,6.0,5.17,9.8,,,,,
51,07/09/19 09:34:47 PM,6.7,5.13,11.0,,,,,
52,07/09/19 09:49:47 PM,6.7,5.06,11.0,,,,,
53,07/09/19 10:04:47 PM,6.7,5.01,11.0,,,,,
54,07/09/19 10:19:47 PM,6.7,4.97,11.0,,,,,
55,07/09/19 10:34:47 PM,6.7,4.92,11.0,,,,,
56,07/09/19 10:49:47 PM,6.7,4.88,11.1,,,,,
57,07/09/19 11:04:47 PM,6.7,4.80,11.1,,,,,
58,07/09/19 11:19:47 PM,6.7,4.74,11.1,,,,,
59,07/09/19 11:34:47 PM,6.7,4.70,11.1,,,,,
60,07/09/19 11:49:47 PM,6.7,4.66,11.1,,,,,
61,07/10/19 12:04:47 AM,6.3,4.62,10.5,,,,,
62,07/10/19 12:19:47 AM,6.7,4.58,11.2,,,,,
63,07/10/19 12:34:47 AM,6.7,4.56,11.2,,,,,
64,07/10/19 12:49:47 AM,6.7,4.49,11.2,,,,,
65,07/10/19 01:04:47 AM,6.7,4.45,11.2,,,,,
66,07/10/19 01:19:47 AM,6.7,4.44,11.2,,,,,
67,07/10/19 01:34:47 AM,6.7,4.41,11.2,,,,,
68,07/10/19 01:49:47 AM,6.7,4.40,11.2,,,,,
69,07/10/19 02:04:47 AM,6.0,4.38,10.0,,,,,
70,07/10/19 02:19:47 AM,6.7,4.36,11.2,,,,,
71,07/10/19 02:34:47 AM,6.7,4.34,11.2,,,,,
72,07/10/19 02:49:47 AM,6.7,4.33,11.2,,,,,
73,07/10/19 03:04:47 AM,6.7,4.30,11.2,,,,,
74,07/10/19 03:19:47 AM,6.7,4.26,11.3,,,,,
75,07/10/19 03:34:47 AM,6.7,4.22,11.3,,,,,
76,07/10/19 03:49:47 AM,6.7,4.20,11.3,,,,,
77,07/10/19 04:04:47 AM,6.7,4.17,11.3,,,,,
78,07/10/19 04:19:47 AM,6.7,4.12,11.3,,,,,
79,07/10/19 04:34:47 AM,6.7,4.09,11.3,,,,,
80,07/10/19 04:49:47 AM,6.7,4.04,11.3,,,,,
81,07/10/19 05:04:47 AM,6.7,4.00,11.3,,,,,
82,07/10/19 05:19:47 AM,6.7,3.92,11.4,,,,,
83,07/10/19 05:34:47 AM,6.7,3.88,11.4,,,,,
84,07/10/19 05:49:47 AM,6.7,3.83,11.4,,,,,
85,07/10/19 06:04:47 AM,6.7,3.75,11.4,,,,,
86,07/10/19 06:19:47 AM,6.7,3.69,11.5,,,,,
87,07/10/19 06:34:47 AM,6.7,3.60,11.5,,,,,
88,07/10/19 06:49:47 AM,6.7,3.53,11.5,,,,,
89,07/10/19 07:04:47 AM,6.7,3.47,11.5,,,,,
90,07/10/19 07:19:47 AM,6.7,3.40,11.6,,,,,
91,07/10/19 07:34:47 AM,6.7,3.36,11.6,,,,,
92,07/10/19 07:49:47 AM,6.7,3.32,11.6,,,,,
93,07/10/19 08:04:47 AM,6.7,3.40,11.6,,,,,
94,07/10/19 08:19:47 AM,6.7,3.60,11.5,,,,,
95,07/10/19 08:34:47 AM,6.7,3.85,11.4,,,,,
96,07/10/19 08:49:47 AM,6.7,4.16,11.3,,,,,
97,07/10/19 09:04:47 AM,6.7,4.49,11.2,,,,,
98,07/10/19 09:19:47 AM,6.7,4.89,11.1,,,,,
99,07/10/19 09:34:47 AM,6.7,5.14,11.0,,,,,
100,07/10/19 09:49:47 AM,6.7,5.49,10.9,,,,,
101,07/10/19 10:04:47 AM,6.7,5.63,10.8,,,,,
102,07/10/19 10:19:47 AM,6.7,5.81,10.8,,,,,
103,07/10/19 10:34:47 AM,6.7,6.11,10.7,,,,,
104,07/10/19 10:49:47 AM,6.7,6.33,10.6,,,,,
105,07/10/19 11:04:47 AM,6.7,6.54,10.5,,,,,
106,07/10/19 11:19:47 AM,6.7,7.10,10.4,,,,,
107,07/10/19 11:34:47 AM,6.7,7.78,10.2,,,,,
108,07/10/19 11:49:47 AM,6.7,8.49,10.0,,,,,
109,07/10/19 12:04:47 PM,6.7,9.11,9.8,,,,,
110,07/10/19 12:19:47 PM,7.0,9.50,10.1,,,,,
111,07/10/19 12:24:51 PM,,,,,Logged,,,
112,07/10/19 12:25:09 PM,,,,,,Logged,,
113,07/10/19 12:25:15 PM,,,,,,,Logged,Logged
