"","Time","uS/cm","TempC"
"1","06/26/19 11:00:00 AM",-1.3,23.16
"2","06/26/19 11:05:00 AM",-1.3,22.27
"3","06/26/19 11:10:00 AM",-1.3,21.85
"4","06/26/19 11:15:00 AM",-1.3,21.69
"5","06/26/19 11:20:00 AM",-1.3,21.66
"6","06/26/19 11:25:00 AM",-1.3,21.74
"7","06/26/19 11:30:00 AM",-1.3,21.77
"8","06/26/19 11:35:00 AM",-1.3,21.95
"9","06/26/19 11:40:00 AM",-1.3,21.86
"10","06/26/19 11:45:00 AM",-1.3,22.07
"11","06/26/19 11:50:00 AM",-1.3,22.15
"12","06/26/19 11:55:00 AM",-1.3,22.43
"13","06/26/19 12:00:00 PM",-1.3,22.38
"14","06/26/19 12:05:00 PM",-1.3,22.5
"15","06/26/19 12:10:00 PM",-1.3,22.59
"16","06/26/19 12:15:00 PM",-1.3,22.68
"17","06/26/19 12:20:00 PM",-1.3,22.75
"18","06/26/19 12:25:00 PM",-1.3,22.75
"19","06/26/19 12:30:00 PM",-1.3,22.78
"20","06/26/19 12:35:00 PM",-1.3,22.83
"21","06/26/19 12:40:00 PM",-1.3,22.92
"22","06/26/19 12:45:00 PM",-1.3,23.03
"23","06/26/19 12:50:00 PM",-1.3,23.12
"24","06/26/19 12:55:00 PM",-1.3,23.23
"25","06/26/19 01:00:00 PM",-1.3,23.4
"26","06/26/19 01:05:00 PM",-0.2,24
"27","06/26/19 01:10:00 PM",2.1,25.3
"28","06/26/19 01:15:00 PM",2,25.6
"29","06/26/19 01:20:00 PM",-1.3,25.97
"30","06/26/19 01:25:00 PM",-1.3,26.59
"31","06/26/19 01:30:00 PM",-1.3,27.1
"32","06/26/19 01:35:00 PM",-1.3,27.51
"33","06/26/19 01:40:00 PM",-1.3,27.86
"34","06/26/19 01:45:00 PM",-1.3,28.19
"35","06/26/19 01:50:00 PM",-1.3,28.47
"36","06/26/19 01:55:00 PM",-1.3,28.72
"37","06/26/19 02:00:00 PM",-1.3,28.6
"38","06/26/19 02:05:00 PM",-1.3,28.3
"39","06/26/19 02:10:00 PM",2,27.96
"40","06/26/19 02:15:00 PM",-1.7,27.67
"41","06/26/19 02:20:00 PM",2,27.37
"42","06/26/19 02:25:00 PM",-1.3,27.07
"43","06/26/19 02:30:00 PM",-1.3,26.81
"44","06/26/19 02:35:00 PM",-1.3,26.54
"45","06/26/19 02:40:00 PM",-1.3,26.22
"46","06/26/19 02:45:00 PM",-1.3,25.89
"47","06/26/19 02:50:00 PM",-1.3,25.5
"48",NA,NA,NA
"49",NA,NA,NA
"50",NA,NA,NA
