"Plot Title: 20636125"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °F (LGR S/N: 20636125, SEN S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","Coupler Attached (LGR S/N: 20636125)","Host Connected (LGR S/N: 20636125)","Stopped (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
1,07/09/19 11:50:26 AM,-1.7,68.68,,,,,
2,07/09/19 11:50:42 AM,,,Logged,,,,
3,07/09/19 12:05:26 PM,-2.8,57.49,,,,,
4,07/09/19 12:20:26 PM,-1.7,52.18,,,,,
5,07/09/19 12:35:26 PM,-1.7,45.46,,,,,
6,07/09/19 12:50:26 PM,-1.7,43.57,,,,,
7,07/09/19 01:05:26 PM,-1.7,43.45,,,,,
8,07/09/19 01:20:26 PM,-1.7,43.59,,,,,
9,07/09/19 01:35:26 PM,6.6,44.85,,,,,
10,07/09/19 01:50:26 PM,7.4,44.89,,,,,
11,07/09/19 02:05:26 PM,6.6,44.92,,,,,
12,07/09/19 02:20:26 PM,6.6,44.89,,,,,
13,07/09/19 02:35:26 PM,6.6,44.89,,,,,
14,07/09/19 02:50:26 PM,6.6,44.82,,,,,
15,07/09/19 03:05:26 PM,6.6,44.69,,,,,
16,07/09/19 03:20:26 PM,6.6,44.44,,,,,
17,07/09/19 03:35:26 PM,6.6,44.51,,,,,
18,07/09/19 03:50:26 PM,6.6,44.47,,,,,
19,07/09/19 04:05:26 PM,6.6,44.33,,,,,
20,07/09/19 04:20:26 PM,6.6,44.04,,,,,
21,07/09/19 04:35:26 PM,6.6,43.81,,,,,
22,07/09/19 04:50:26 PM,6.2,43.65,,,,,
23,07/09/19 05:05:26 PM,6.6,43.65,,,,,
24,07/09/19 05:20:26 PM,6.6,43.59,,,,,
25,07/09/19 05:35:26 PM,6.6,43.43,,,,,
26,07/09/19 05:50:26 PM,6.6,43.23,,,,,
27,07/09/19 06:05:26 PM,6.6,43.02,,,,,
28,07/09/19 06:20:26 PM,6.6,42.84,,,,,
29,07/09/19 06:35:26 PM,6.6,42.64,,,,,
30,07/09/19 06:50:26 PM,6.6,42.48,,,,,
31,07/09/19 07:05:26 PM,6.6,42.28,,,,,
32,07/09/19 07:20:26 PM,6.6,42.13,,,,,
33,07/09/19 07:35:26 PM,6.6,42.03,,,,,
34,07/09/19 07:50:26 PM,6.2,41.88,,,,,
35,07/09/19 08:05:26 PM,6.6,41.74,,,,,
36,07/09/19 08:20:26 PM,6.6,41.59,,,,,
37,07/09/19 08:35:26 PM,6.6,41.47,,,,,
38,07/09/19 08:50:26 PM,6.6,41.36,,,,,
39,07/09/19 09:05:26 PM,6.6,41.23,,,,,
40,07/09/19 09:20:26 PM,6.6,41.11,,,,,
41,07/09/19 09:35:26 PM,6.6,41.02,,,,,
42,07/09/19 09:50:26 PM,6.6,40.93,,,,,
43,07/09/19 10:05:26 PM,7.4,40.86,,,,,
44,07/09/19 10:20:26 PM,6.6,40.73,,,,,
45,07/09/19 10:35:26 PM,6.6,40.66,,,,,
46,07/09/19 10:50:26 PM,6.6,40.51,,,,,
47,07/09/19 11:05:26 PM,6.6,40.42,,,,,
48,07/09/19 11:20:26 PM,6.6,40.35,,,,,
49,07/09/19 11:35:26 PM,6.6,40.28,,,,,
50,07/09/19 11:50:26 PM,6.6,40.19,,,,,
51,07/10/19 12:05:26 AM,6.6,40.14,,,,,
52,07/10/19 12:20:26 AM,6.6,40.06,,,,,
53,07/10/19 12:35:26 AM,6.6,39.97,,,,,
54,07/10/19 12:50:26 AM,6.6,39.88,,,,,
55,07/10/19 01:05:26 AM,6.6,39.81,,,,,
56,07/10/19 01:20:26 AM,6.6,39.81,,,,,
57,07/10/19 01:35:26 AM,6.6,39.76,,,,,
58,07/10/19 01:50:26 AM,6.6,39.74,,,,,
59,07/10/19 02:05:26 AM,6.6,39.69,,,,,
60,07/10/19 02:20:26 AM,6.6,39.67,,,,,
61,07/10/19 02:35:26 AM,6.6,39.61,,,,,
62,07/10/19 02:50:26 AM,6.6,39.60,,,,,
63,07/10/19 03:05:26 AM,6.6,39.54,,,,,
64,07/10/19 03:20:26 AM,6.6,39.47,,,,,
65,07/10/19 03:35:26 AM,6.6,39.40,,,,,
66,07/10/19 03:50:26 AM,6.6,39.33,,,,,
67,07/10/19 04:05:26 AM,6.6,39.27,,,,,
68,07/10/19 04:20:26 AM,6.6,39.20,,,,,
69,07/10/19 04:35:26 AM,6.6,39.15,,,,,
70,07/10/19 04:50:26 AM,6.6,39.02,,,,,
71,07/10/19 05:05:26 AM,6.6,38.95,,,,,
72,07/10/19 05:20:26 AM,7.4,38.82,,,,,
73,07/10/19 05:35:26 AM,6.6,38.75,,,,,
74,07/10/19 05:50:26 AM,6.6,38.61,,,,,
75,07/10/19 06:05:26 AM,6.6,38.46,,,,,
76,07/10/19 06:20:26 AM,6.6,38.35,,,,,
77,07/10/19 06:35:26 AM,7.4,38.19,,,,,
78,07/10/19 06:50:26 AM,6.6,38.07,,,,,
79,07/10/19 07:05:26 AM,7.4,37.98,,,,,
80,07/10/19 07:20:26 AM,6.6,37.87,,,,,
81,07/10/19 07:35:26 AM,6.6,37.80,,,,,
82,07/10/19 07:50:26 AM,6.6,37.98,,,,,
83,07/10/19 08:05:26 AM,6.6,38.43,,,,,
84,07/10/19 08:20:26 AM,6.6,38.93,,,,,
85,07/10/19 08:35:26 AM,6.6,39.52,,,,,
86,07/10/19 08:50:26 AM,6.6,40.12,,,,,
87,07/10/19 09:05:26 AM,6.6,40.91,,,,,
88,07/10/19 09:20:26 AM,6.6,41.36,,,,,
89,07/10/19 09:35:26 AM,7.4,41.97,,,,,
90,07/10/19 09:50:26 AM,7.4,42.28,,,,,
91,07/10/19 10:05:26 AM,7.4,42.53,,,,,
92,07/10/19 10:20:26 AM,6.6,43.14,,,,,
93,07/10/19 10:35:26 AM,6.6,43.59,,,,,
94,07/10/19 10:50:26 AM,6.6,43.83,,,,,
95,07/10/19 11:02:25 AM,,,,Logged,,,
96,07/10/19 11:02:37 AM,,,,,Logged,,
97,07/10/19 11:02:50 AM,,,,,Logged,,
98,07/10/19 11:02:52 AM,,,Logged,,,,
99,07/10/19 11:02:54 AM,,,,Logged,,,
100,07/10/19 11:02:58 AM,,,,,Logged,,
101,07/10/19 11:03:05 AM,,,,,Logged,,
102,07/10/19 11:03:18 AM,,,Logged,,,,
103,07/10/19 11:03:21 AM,,,,Logged,,,
104,07/10/19 11:03:32 AM,,,,,Logged,,
105,07/10/19 11:04:18 AM,,,,,Logged,,
106,07/10/19 11:04:24 AM,,,,,Logged,,
107,07/10/19 11:04:31 AM,,,,,Logged,,
108,07/10/19 11:04:38 AM,,,,,,Logged,Logged
