"Plot Title: EC1"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °F (LGR S/N: 20636125, SEN S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","Coupler Attached (LGR S/N: 20636125)","Host Connected (LGR S/N: 20636125)","Stopped (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
1,07/11/19 11:26:02 AM,9.2,48.92,,,,,
2,07/11/19 11:26:15 AM,,,Logged,,,,
3,07/11/19 11:41:02 AM,7.7,53.26,,,,,
4,07/11/19 11:56:02 AM,7.7,53.80,,,,,
5,07/11/19 12:11:02 PM,7.7,54.90,,,,,
6,07/11/19 12:26:02 PM,7.7,56.05,,,,,
7,07/11/19 12:41:02 PM,7.7,56.44,,,,,
8,07/11/19 12:56:02 PM,7.6,57.56,,,,,
9,07/11/19 01:11:02 PM,7.6,58.69,,,,,
10,07/11/19 01:26:02 PM,7.6,59.74,,,,,
11,07/11/19 01:41:02 PM,7.6,60.40,,,,,
12,07/11/19 01:56:02 PM,7.6,60.60,,,,,
13,07/11/19 02:11:02 PM,7.6,60.21,,,,,
14,07/11/19 02:26:02 PM,7.6,60.13,,,,,
15,07/11/19 02:41:02 PM,7.6,59.50,,,,,
16,07/11/19 02:56:02 PM,7.6,58.95,,,,,
17,07/11/19 03:11:02 PM,7.6,58.10,,,,,
18,07/11/19 03:26:02 PM,7.6,57.47,,,,,
19,07/11/19 03:41:02 PM,7.6,56.80,,,,,
20,07/11/19 03:56:02 PM,7.6,56.79,,,,,
21,07/11/19 04:11:02 PM,7.7,56.21,,,,,
22,07/11/19 04:26:02 PM,7.7,55.98,,,,,
23,07/11/19 04:41:02 PM,7.7,55.72,,,,,
24,07/11/19 04:56:02 PM,7.7,55.54,,,,,
25,07/11/19 05:11:02 PM,7.7,55.40,,,,,
26,07/11/19 05:26:02 PM,7.7,55.04,,,,,
27,07/11/19 05:41:02 PM,7.7,54.45,,,,,
28,07/11/19 05:56:02 PM,7.7,54.03,,,,,
29,07/11/19 06:11:02 PM,7.7,53.60,,,,,
30,07/11/19 06:26:02 PM,7.7,53.13,,,,,
31,07/11/19 06:41:02 PM,7.7,52.72,,,,,
32,07/11/19 06:56:02 PM,7.7,52.39,,,,,
33,07/11/19 07:11:02 PM,7.7,52.11,,,,,
34,07/11/19 07:26:02 PM,7.7,51.84,,,,,
35,07/11/19 07:41:02 PM,7.7,51.64,,,,,
36,07/11/19 07:56:02 PM,7.7,51.42,,,,,
37,07/11/19 08:11:02 PM,8.1,51.22,,,,,
38,07/11/19 08:26:02 PM,8.1,51.01,,,,,
39,07/11/19 08:41:02 PM,7.7,50.76,,,,,
40,07/11/19 08:56:02 PM,7.7,50.56,,,,,
41,07/11/19 09:11:02 PM,7.7,50.34,,,,,
42,07/11/19 09:26:02 PM,8.1,50.20,,,,,
43,07/11/19 09:41:02 PM,7.7,50.00,,,,,
44,07/11/19 09:56:02 PM,7.7,49.84,,,,,
45,07/11/19 10:11:02 PM,8.1,49.69,,,,,
46,07/11/19 10:26:02 PM,7.7,49.51,,,,,
47,07/11/19 10:41:02 PM,8.1,49.37,,,,,
48,07/11/19 10:56:02 PM,8.1,49.23,,,,,
49,07/11/19 11:11:02 PM,7.7,49.10,,,,,
50,07/11/19 11:26:02 PM,8.1,49.01,,,,,
51,07/11/19 11:41:02 PM,8.1,48.92,,,,,
52,07/11/19 11:56:02 PM,8.1,48.72,,,,,
53,07/12/19 12:11:02 AM,8.1,48.63,,,,,
54,07/12/19 12:26:02 AM,8.1,48.49,,,,,
55,07/12/19 12:41:02 AM,8.1,48.38,,,,,
56,07/12/19 12:56:02 AM,8.1,48.29,,,,,
57,07/12/19 01:11:02 AM,8.1,48.16,,,,,
58,07/12/19 01:26:02 AM,8.1,48.04,,,,,
59,07/12/19 01:41:02 AM,8.1,47.97,,,,,
60,07/12/19 01:56:02 AM,8.1,47.89,,,,,
61,07/12/19 02:11:02 AM,8.1,47.75,,,,,
62,07/12/19 02:26:02 AM,8.1,47.64,,,,,
63,07/12/19 02:41:02 AM,8.1,47.55,,,,,
64,07/12/19 02:56:02 AM,8.1,47.48,,,,,
65,07/12/19 03:11:02 AM,8.1,47.43,,,,,
66,07/12/19 03:26:02 AM,8.1,47.34,,,,,
67,07/12/19 03:41:02 AM,8.1,47.26,,,,,
68,07/12/19 03:56:02 AM,8.1,47.17,,,,,
69,07/12/19 04:11:02 AM,8.1,47.08,,,,,
70,07/12/19 04:26:02 AM,8.1,46.96,,,,,
71,07/12/19 04:41:02 AM,8.1,46.87,,,,,
72,07/12/19 04:56:02 AM,8.1,46.74,,,,,
73,07/12/19 05:11:02 AM,8.1,46.62,,,,,
74,07/12/19 05:26:02 AM,8.1,46.47,,,,,
75,07/12/19 05:41:02 AM,8.1,46.36,,,,,
76,07/12/19 05:56:02 AM,8.1,46.24,,,,,
77,07/12/19 06:11:02 AM,8.1,46.17,,,,,
78,07/12/19 06:26:02 AM,8.1,46.09,,,,,
79,07/12/19 06:41:02 AM,8.1,46.00,,,,,
80,07/12/19 06:56:02 AM,8.1,45.95,,,,,
81,07/12/19 07:11:02 AM,8.1,45.95,,,,,
82,07/12/19 07:26:02 AM,8.1,46.00,,,,,
83,07/12/19 07:41:02 AM,8.1,46.02,,,,,
84,07/12/19 07:56:02 AM,8.1,46.15,,,,,
85,07/12/19 08:11:02 AM,8.1,46.36,,,,,
86,07/12/19 08:26:02 AM,8.1,46.54,,,,,
87,07/12/19 08:41:02 AM,8.1,46.76,,,,,
88,07/12/19 08:56:02 AM,8.1,46.98,,,,,
89,07/12/19 09:11:02 AM,8.1,47.12,,,,,
90,07/12/19 09:26:02 AM,7.7,47.34,,,,,
91,07/12/19 09:41:02 AM,7.7,47.64,,,,,
92,07/12/19 09:56:02 AM,8.1,47.97,,,,,
