"Plot Title: EC1"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","Coupler Attached (LGR S/N: 20636125)","Host Connected (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
1,07/12/19 12:45:00 PM,26.7,11.70,Logged,,,
2,07/12/19 12:46:00 PM,26.7,11.66,,,,
3,07/12/19 12:47:00 PM,26.7,11.50,,,,
4,07/12/19 12:48:00 PM,26.7,11.48,,,,
5,07/12/19 12:49:00 PM,26.7,11.33,,,,
6,07/12/19 12:50:00 PM,26.7,11.32,,,,
7,07/12/19 12:51:00 PM,26.7,11.30,,,,
8,07/12/19 12:52:00 PM,26.7,11.25,,,,
9,07/12/19 12:53:00 PM,26.8,11.18,,,,
10,07/12/19 12:54:00 PM,26.8,11.16,,,,
11,07/12/19 12:55:00 PM,26.8,11.06,,,,
12,07/12/19 12:56:00 PM,3.9,10.91,,,,
13,07/12/19 12:57:00 PM,26.8,10.88,,,,
14,07/12/19 12:58:00 PM,26.8,10.80,,,,
15,07/12/19 12:59:00 PM,1.7,10.75,,,,
16,07/12/19 01:00:00 PM,1.7,10.68,,,,
17,07/12/19 01:01:00 PM,26.8,10.65,,,,
18,07/12/19 01:02:00 PM,26.8,10.64,,,,
19,07/12/19 01:03:00 PM,26.8,10.61,,,,
20,07/12/19 01:04:00 PM,1.7,10.61,,,,
21,07/12/19 01:05:00 PM,26.8,10.60,,,,
22,07/12/19 01:06:00 PM,26.8,10.57,,,,
23,07/12/19 01:07:00 PM,26.8,10.52,,,,
24,07/12/19 01:08:00 PM,1.7,10.51,,,,
25,07/12/19 01:09:00 PM,26.8,10.49,,,,
26,07/12/19 01:10:00 PM,26.8,10.47,,,,
27,07/12/19 01:11:00 PM,3.9,10.43,,,,
28,07/12/19 01:12:00 PM,1.7,10.43,,,,
29,07/12/19 01:13:00 PM,-1.7,10.40,,,,
30,07/12/19 01:14:00 PM,1.7,10.40,,,,
31,07/12/19 01:15:00 PM,3.9,10.38,,,,
32,07/12/19 01:16:00 PM,26.8,10.38,,,,
33,07/12/19 01:17:00 PM,26.8,10.36,,,,
34,07/12/19 01:18:00 PM,26.8,10.35,,,,
35,07/12/19 01:19:00 PM,1.7,10.32,,,,
36,07/12/19 01:20:00 PM,3.9,10.30,,,,
37,07/12/19 01:21:00 PM,1.7,10.30,,,,
38,07/12/19 01:22:00 PM,3.9,10.28,,,,
39,07/12/19 01:23:00 PM,1.7,10.30,,,,
40,07/12/19 01:24:00 PM,3.9,10.26,,,,
41,07/12/19 01:25:00 PM,3.9,10.23,,,,
42,07/12/19 01:26:00 PM,1.7,10.20,,,,
43,07/12/19 01:27:00 PM,1.7,10.19,,,,
44,07/12/19 01:28:00 PM,26.8,10.16,,,,
45,07/12/19 01:29:00 PM,26.8,10.14,,,,
46,07/12/19 01:30:00 PM,1.7,10.07,,,,
47,07/12/19 01:31:00 PM,26.8,10.08,,,,
48,07/12/19 01:32:00 PM,1.7,10.10,,,,
49,07/12/19 01:33:00 PM,26.8,10.11,,,,
50,07/12/19 01:34:00 PM,1.7,10.14,,,,
51,07/12/19 01:35:00 PM,1.7,10.12,,,,
52,07/12/19 01:36:00 PM,1.7,10.19,,,,
53,07/12/19 01:37:00 PM,26.8,10.23,,,,
54,07/12/19 01:38:00 PM,1.7,10.22,,,,
55,07/12/19 01:39:00 PM,1.7,10.28,,,,
56,07/12/19 01:40:00 PM,26.8,10.32,,,,
57,07/12/19 01:41:00 PM,26.8,10.31,,,,
58,07/12/19 01:42:00 PM,26.8,10.38,,,,
59,07/12/19 01:43:00 PM,3.9,10.34,,,,
60,07/12/19 01:44:00 PM,3.9,10.43,,,,
61,07/12/19 01:45:00 PM,26.8,10.39,,,,
62,07/12/19 01:46:00 PM,26.8,10.39,,,,
63,07/12/19 01:47:00 PM,26.8,10.47,,,,
64,07/12/19 01:48:00 PM,1.7,10.55,,,,
65,07/12/19 01:49:00 PM,26.8,10.63,,,,
66,07/12/19 01:50:00 PM,1.7,10.64,,,,
67,07/12/19 01:51:00 PM,-1.7,10.73,,,,
68,07/12/19 01:52:00 PM,1.7,10.69,,,,
69,07/12/19 01:53:00 PM,26.8,10.76,,,,
