"Plot Title: EC1"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","Coupler Attached (LGR S/N: 20636125)","Host Connected (LGR S/N: 20636125)","Stopped (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
1,07/12/19 05:00:00 PM,1.7,9.20,Logged,,,,
2,07/12/19 05:15:00 PM,1.7,9.17,,,,,
3,07/12/19 05:30:00 PM,1.7,9.09,,,,,
4,07/12/19 05:45:00 PM,1.7,8.68,,,,,
5,07/12/19 06:00:00 PM,2.5,8.40,,,,,
6,07/12/19 06:15:00 PM,1.7,7.99,,,,,
7,07/12/19 06:30:00 PM,-1.7,7.65,,,,,
8,07/12/19 06:45:00 PM,1.7,7.24,,,,,
9,07/12/19 07:00:00 PM,1.7,7.22,,,,,
10,07/12/19 07:15:00 PM,1.7,6.96,,,,,
11,07/12/19 07:30:00 PM,1.7,7.01,,,,,
12,07/12/19 07:45:00 PM,1.7,6.71,,,,,
13,07/12/19 08:00:00 PM,1.7,6.52,,,,,
14,07/12/19 08:15:00 PM,1.7,6.46,,,,,
15,07/12/19 08:30:00 PM,1.7,6.34,,,,,
16,07/12/19 08:45:00 PM,1.7,6.38,,,,,
17,07/12/19 09:00:00 PM,1.7,6.24,,,,,
18,07/12/19 09:15:00 PM,1.7,5.98,,,,,
19,07/12/19 09:30:00 PM,1.7,5.70,,,,,
20,07/12/19 09:45:00 PM,1.7,5.74,,,,,
21,07/12/19 10:00:00 PM,1.7,5.81,,,,,
22,07/12/19 10:15:00 PM,1.7,5.79,,,,,
23,07/12/19 10:30:00 PM,1.7,5.61,,,,,
24,07/12/19 10:45:00 PM,1.7,5.67,,,,,
25,07/12/19 11:00:00 PM,1.7,5.66,,,,,
26,07/12/19 11:15:00 PM,1.7,5.62,,,,,
27,07/12/19 11:30:00 PM,1.7,5.62,,,,,
28,07/12/19 11:45:00 PM,1.7,5.59,,,,,
29,07/13/19 12:00:00 AM,1.7,5.65,,,,,
30,07/13/19 12:15:00 AM,1.7,5.73,,,,,
31,07/13/19 12:30:00 AM,1.7,5.69,,,,,
32,07/13/19 12:45:00 AM,1.7,5.71,,,,,
33,07/13/19 01:00:00 AM,1.7,5.63,,,,,
34,07/13/19 01:15:00 AM,1.7,5.49,,,,,
35,07/13/19 01:30:00 AM,1.7,5.38,,,,,
36,07/13/19 01:45:00 AM,1.7,5.40,,,,,
37,07/13/19 02:00:00 AM,1.7,5.21,,,,,
38,07/13/19 02:15:00 AM,1.7,5.13,,,,,
39,07/13/19 02:30:00 AM,1.7,5.20,,,,,
40,07/13/19 02:45:00 AM,1.7,5.09,,,,,
41,07/13/19 03:00:00 AM,1.7,5.02,,,,,
42,07/13/19 03:15:00 AM,1.7,4.77,,,,,
43,07/13/19 03:30:00 AM,1.7,4.59,,,,,
44,07/13/19 03:45:00 AM,1.7,4.52,,,,,
45,07/13/19 04:00:00 AM,1.7,4.49,,,,,
46,07/13/19 04:15:00 AM,1.7,4.48,,,,,
47,07/13/19 04:30:00 AM,1.7,4.60,,,,,
48,07/13/19 04:45:00 AM,1.7,4.53,,,,,
49,07/13/19 05:00:00 AM,1.7,4.46,,,,,
50,07/13/19 05:15:00 AM,-1.6,4.16,,,,,
51,07/13/19 05:30:00 AM,1.7,4.00,,,,,
52,07/13/19 05:45:00 AM,1.7,3.99,,,,,
53,07/13/19 06:00:00 AM,1.7,3.98,,,,,
54,07/13/19 06:15:00 AM,1.7,4.19,,,,,
55,07/13/19 06:30:00 AM,1.7,4.43,,,,,
56,07/13/19 06:45:00 AM,1.7,4.38,,,,,
57,07/13/19 07:00:00 AM,1.7,4.28,,,,,
58,07/13/19 07:15:00 AM,-1.6,4.44,,,,,
59,07/13/19 07:30:00 AM,1.7,4.56,,,,,
60,07/13/19 07:45:00 AM,1.7,4.65,,,,,
61,07/13/19 08:00:00 AM,1.7,4.80,,,,,
62,07/13/19 08:15:00 AM,1.7,4.91,,,,,
63,07/13/19 08:30:00 AM,1.7,5.00,,,,,
64,07/13/19 08:45:00 AM,1.7,5.17,,,,,
65,07/13/19 09:00:00 AM,1.7,5.36,,,,,
66,07/13/19 09:15:00 AM,1.7,5.55,,,,,
67,07/13/19 09:30:00 AM,1.7,5.58,,,,,
68,07/13/19 09:45:00 AM,1.7,5.79,,,,,
69,07/13/19 10:00:00 AM,1.7,6.07,,,,,
70,07/13/19 10:15:00 AM,1.7,6.10,,,,,
71,07/13/19 10:30:00 AM,1.7,6.12,,,,,
72,07/13/19 10:45:00 AM,1.7,6.36,,,,,
73,07/13/19 11:00:00 AM,1.7,6.92,,,,,
74,07/13/19 11:15:00 AM,1.7,7.29,,,,,
75,07/13/19 11:30:00 AM,1.7,7.22,,,,,
76,07/13/19 11:45:00 AM,1.7,7.06,,,,,
77,07/13/19 12:00:00 PM,1.7,7.37,,,,,
78,07/13/19 12:15:00 PM,1.7,7.83,,,,,
79,07/13/19 12:30:00 PM,1.7,8.02,,,,,
80,07/13/19 12:45:00 PM,1.7,8.23,,,,,
81,07/13/19 01:00:00 PM,1.7,8.04,,,,,
82,07/13/19 01:15:00 PM,1.7,8.44,,,,,
83,07/13/19 01:30:00 PM,1.7,8.42,,,,,
84,07/13/19 01:45:00 PM,1.7,8.30,,,,,
85,07/13/19 02:00:00 PM,1.7,8.56,,,,,
86,07/13/19 02:15:00 PM,1.7,8.89,,,,,
87,07/13/19 02:30:00 PM,26.8,8.57,,,,,
88,07/13/19 02:45:00 PM,1.7,8.40,,,,,
89,07/13/19 03:00:00 PM,1.7,8.68,,,,,
90,07/13/19 03:15:00 PM,1.7,9.17,,,,,
91,07/13/19 03:30:00 PM,1.7,9.28,,,,,
92,07/13/19 03:45:00 PM,1.7,9.41,,,,,
93,07/13/19 04:00:00 PM,1.7,9.34,,,,,
94,07/13/19 04:15:00 PM,1.7,9.09,,,,,
95,07/13/19 04:30:00 PM,1.7,8.93,,,,,
96,07/13/19 04:45:00 PM,1.7,8.73,,,,,
97,07/13/19 05:00:00 PM,1.7,8.23,,,,,
98,07/13/19 05:15:00 PM,1.7,8.08,,,,,
