Plot Title: EC1							
#	"Date Time, GMT-05:00"	"Full Range, ?S/cm (LGR S/N: 20636125, SEN S/N: 20636125)"	"Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)"	Coupler Detached (LGR S/N: 20636125)	Coupler Attached (LGR S/N: 20636125)	Host Connected (LGR S/N: 20636125)	End Of File (LGR S/N: 20636125)
1	7/15/2019 11:15	7	5.4	Logged			
2	7/15/2019 11:30	7	5.53				
3	7/15/2019 11:45	7	5.63				
4	7/15/2019 12:00	7	5.91				
5	7/15/2019 12:15	7	6.24				
6	7/15/2019 12:30	7	6.38				
7	7/15/2019 12:45	7	6.32				
8	7/15/2019 13:00	7	6.14				
9	7/15/2019 13:15	7	6.27				
10	7/15/2019 13:30	7	6.39				
11	7/15/2019 13:45	7	6.64				
12	7/15/2019 14:00	6.6	6.89				
13	7/15/2019 14:15	7	6.8				
14	7/15/2019 14:30	7	7.01				
15	7/15/2019 14:45	7	7.13				
16	7/15/2019 15:00	6.6	7.25				
17	7/15/2019 15:15	7	7.28				
18	7/15/2019 15:30	6.6	7.29				
19	7/15/2019 15:45	7	7.44				
20	7/15/2019 16:00	7	7.53				
21	7/15/2019 16:15	7	7.55				
22	7/15/2019 16:30	7	7.54				
23	7/15/2019 16:45	7	7.62				
24	7/15/2019 17:00	7	7.74				
25	7/15/2019 17:15	7	7.67				
26	7/15/2019 17:30	6.2	7.57				
27	7/15/2019 17:45	7	7.44				
28	7/15/2019 18:00	7	7.34				
29	7/15/2019 18:15	7	7.2				
30	7/15/2019 18:30	7	7.04				
31	7/15/2019 18:45	7	6.87				
32	7/15/2019 19:00	7	6.76				
33	7/15/2019 19:15	7	6.68				
34	7/15/2019 19:30	7	6.56				
35	7/15/2019 19:45	7	6.44				
36	7/15/2019 20:00	7	6.35				
37	7/15/2019 20:15	7	6.2				
38	7/15/2019 20:30	7	6.02				
39	7/15/2019 20:45	7	5.85				
40	7/15/2019 21:00	7	5.7				
41	7/15/2019 21:15	7	5.66				
42	7/15/2019 21:30	6.6	5.55				
43	7/15/2019 21:45	7	5.37				
44	7/15/2019 22:00	7.4	5.22				
45	7/15/2019 22:15	7	5.09				
46	7/15/2019 22:30	7	4.97				
47	7/15/2019 22:45	7	4.89				
48	7/15/2019 23:00	6.6	4.84				
49	7/15/2019 23:15	7	4.81				
50	7/15/2019 23:30	7.8	4.8				
51	7/15/2019 23:45	6.6	4.79				
52	7/16/2019 0:00	7	4.76				
53	7/16/2019 0:15	7.8	4.72				
54	7/16/2019 0:30	6.6	4.67				
55	7/16/2019 0:45	7.8	4.61				
56	7/16/2019 1:00	6.6	4.56				
57	7/16/2019 1:15	7.8	4.49				
58	7/16/2019 1:30	7.8	4.43				
59	7/16/2019 1:45	7.4	4.34				
60	7/16/2019 2:00	7.8	4.3				
61	7/16/2019 2:15	7.4	4.2				
62	7/16/2019 2:30	7.8	4.11				
63	7/16/2019 2:45	3.2	4.06				
64	7/16/2019 3:00	1.4	4				
65	7/16/2019 3:15	3.2	3.93				
66	7/16/2019 3:30	-1.6	3.9				
67	7/16/2019 3:45	5.5	3.82				
68	7/16/2019 4:00	1.4	3.67				
69	7/16/2019 4:15	1.4	3.63				
70	7/16/2019 4:30	0.2	3.47				
71	7/16/2019 4:45	9.3	3.44				
72	7/16/2019 5:00	9.3	3.36				
73	7/16/2019 5:15	27	3.29				
74	7/16/2019 5:30	27	3.24				
75	7/16/2019 5:45	27	3.14				
76	7/16/2019 6:00	27	3.09				
77	7/16/2019 6:15	4	3.05				
78	7/16/2019 6:30	1.7	3.02				
79	7/16/2019 6:45	4	3.02				
80	7/16/2019 7:00	27	3.01				
81	7/16/2019 7:15	4	3.02				
82	7/16/2019 7:30	-1.6	3.06				
83	7/16/2019 7:45	4	3.05				
84	7/16/2019 8:00	4	3.06				
85	7/16/2019 8:15	4	3.08				
86	7/16/2019 8:30	4	3.17				
87	7/16/2019 8:45	4	3.28				
88	7/16/2019 9:00	4	3.58				
89	7/16/2019 9:15	4	4.07				
90	7/16/2019 9:30	-1.6	4.31				
91	7/16/2019 9:45	4	4.42				
92	7/16/2019 10:00	-1.6	4.44				
93	7/16/2019 10:15	-1.6	4.43				
94	7/16/2019 10:30	-1.6	4.38				
95	7/16/2019 10:45	4	4.31				
96	7/16/2019 11:00	4	4.43				
97	7/16/2019 11:15	4	4.69				
98	7/16/2019 11:30	-1.6	5.38				
99	7/16/2019 11:45	4	6.23				
100	7/16/2019 12:00	-1.7	5.95				
101	7/16/2019 12:15	4	5.38				
102	7/16/2019 12:30	4	5.29				
103	7/16/2019 12:45	-1.6	5.16				
104	7/16/2019 12:49				Logged		
105	7/16/2019 12:50					Logged	Logged
