"Plot Title: EC1"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)","Specific Conductance, μS/cm (LGR S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","Coupler Attached (LGR S/N: 20636125)","Host Connected (LGR S/N: 20636125)","Stopped (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
1,07/10/19 11:06:53 AM,8.1,8.80,12.0,,,,,
2,07/10/19 11:07:00 AM,,,,Logged,,,,
3,07/10/19 11:21:53 AM,7.3,8.02,11.0,,,,,
4,07/10/19 11:36:53 AM,6.6,8.73,9.8,,,,,
5,07/10/19 11:51:53 AM,7.0,9.38,10.2,,,,,
6,07/10/19 12:06:53 PM,6.9,9.83,9.9,,,,,
7,07/10/19 12:21:53 PM,6.9,10.38,9.8,,,,,
8,07/10/19 12:36:53 PM,6.9,11.04,9.6,,,,,
9,07/10/19 12:51:53 PM,6.9,11.49,9.5,,,,,
10,07/10/19 01:06:53 PM,6.9,11.79,9.4,,,,,
11,07/10/19 01:21:53 PM,6.5,12.23,8.8,,,,,
12,07/10/19 01:36:53 PM,6.5,12.46,8.7,,,,,
13,07/10/19 01:51:53 PM,6.5,12.61,8.7,,,,,
14,07/10/19 02:06:53 PM,6.5,12.84,8.6,,,,,
15,07/10/19 02:21:53 PM,6.5,13.06,8.6,,,,,
16,07/10/19 02:36:53 PM,5.8,13.17,7.6,,,,,
17,07/10/19 02:51:53 PM,5.8,12.96,7.7,,,,,
18,07/10/19 03:06:53 PM,6.5,12.67,8.7,,,,,
19,07/10/19 03:21:53 PM,5.8,12.47,7.8,,,,,
20,07/10/19 03:36:53 PM,5.8,12.30,7.8,,,,,
21,07/10/19 03:51:53 PM,5.8,12.23,7.8,,,,,
22,07/10/19 04:06:53 PM,5.8,12.15,7.8,,,,,
23,07/10/19 04:21:53 PM,5.8,12.00,7.9,,,,,
24,07/10/19 04:36:53 PM,5.8,11.74,7.9,,,,,
25,07/10/19 04:51:53 PM,5.8,11.49,8.0,,,,,
26,07/10/19 05:06:53 PM,5.8,11.28,8.0,,,,,
27,07/10/19 05:21:53 PM,5.4,11.04,7.5,,,,,
28,07/10/19 05:36:53 PM,5.8,10.73,8.1,,,,,
29,07/10/19 05:51:53 PM,5.8,10.44,8.2,,,,,
30,07/10/19 06:06:53 PM,5.8,10.18,8.2,,,,,
31,07/10/19 06:21:53 PM,6.6,9.93,9.4,,,,,
32,07/10/19 06:36:53 PM,6.6,9.69,9.5,,,,,
33,07/10/19 06:51:53 PM,5.8,9.46,8.4,,,,,
34,07/10/19 07:06:53 PM,6.6,9.24,9.6,,,,,
35,07/10/19 07:21:53 PM,6.6,9.05,9.7,,,,,
36,07/10/19 07:36:53 PM,6.6,8.83,9.7,,,,,
37,07/10/19 07:51:53 PM,6.6,8.63,9.8,,,,,
38,07/10/19 08:06:53 PM,7.0,8.40,10.4,,,,,
39,07/10/19 08:21:53 PM,6.6,8.20,9.9,,,,,
40,07/10/19 08:36:53 PM,7.0,8.03,10.6,,,,,
41,07/10/19 08:51:53 PM,7.0,7.82,10.6,,,,,
42,07/10/19 09:06:53 PM,7.0,7.62,10.7,,,,,
43,07/10/19 09:21:53 PM,7.0,7.42,10.7,,,,,
44,07/10/19 09:36:53 PM,7.0,7.24,10.8,,,,,
45,07/10/19 09:51:53 PM,7.0,7.09,10.8,,,,,
46,07/10/19 10:06:53 PM,7.0,6.95,10.9,,,,,
47,07/10/19 10:21:53 PM,7.0,6.79,10.9,,,,,
48,07/10/19 10:36:53 PM,7.0,6.64,11.0,,,,,
49,07/10/19 10:51:53 PM,7.0,6.49,11.0,,,,,
50,07/10/19 11:06:53 PM,7.0,6.38,11.1,,,,,
51,07/10/19 11:21:53 PM,7.0,6.27,11.1,,,,,
52,07/10/19 11:36:53 PM,7.0,6.19,11.1,,,,,
53,07/10/19 11:51:53 PM,7.0,6.06,11.2,,,,,
54,07/11/19 12:06:53 AM,7.0,5.94,11.2,,,,,
55,07/11/19 12:21:53 AM,7.0,5.83,11.2,,,,,
56,07/11/19 12:36:53 AM,7.0,5.73,11.3,,,,,
57,07/11/19 12:51:53 AM,7.0,5.67,11.3,,,,,
58,07/11/19 01:06:53 AM,7.0,5.65,11.3,,,,,
59,07/11/19 01:21:53 AM,7.0,5.62,11.3,,,,,
60,07/11/19 01:36:53 AM,7.0,5.55,11.3,,,,,
61,07/11/19 01:51:53 AM,7.0,5.50,11.3,,,,,
62,07/11/19 02:06:53 AM,7.0,5.41,11.4,,,,,
63,07/11/19 02:21:53 AM,7.7,5.33,12.5,,,,,
64,07/11/19 02:36:53 AM,7.0,5.32,11.4,,,,,
65,07/11/19 02:51:53 AM,7.0,5.21,11.4,,,,,
66,07/11/19 03:06:53 AM,7.0,5.14,11.5,,,,,
67,07/11/19 03:21:53 AM,7.0,5.06,11.5,,,,,
68,07/11/19 03:36:53 AM,7.0,4.93,11.5,,,,,
69,07/11/19 03:51:53 AM,7.0,4.83,11.6,,,,,
70,07/11/19 04:06:53 AM,7.0,4.80,11.6,,,,,
71,07/11/19 04:21:53 AM,7.0,4.77,11.6,,,,,
72,07/11/19 04:36:53 AM,7.0,4.75,11.6,,,,,
73,07/11/19 04:51:53 AM,7.0,4.73,11.6,,,,,
74,07/11/19 05:06:53 AM,7.0,4.71,11.6,,,,,
75,07/11/19 05:21:53 AM,7.0,4.68,11.6,,,,,
76,07/11/19 05:36:53 AM,7.0,4.60,11.6,,,,,
77,07/11/19 05:51:53 AM,7.0,4.53,11.7,,,,,
78,07/11/19 06:06:53 AM,7.0,4.47,11.7,,,,,
79,07/11/19 06:21:53 AM,7.0,4.44,11.7,,,,,
80,07/11/19 06:36:53 AM,7.0,4.36,11.7,,,,,
81,07/11/19 06:51:53 AM,7.0,4.30,11.7,,,,,
82,07/11/19 07:06:53 AM,7.0,4.24,11.8,,,,,
83,07/11/19 07:21:53 AM,7.0,4.20,11.8,,,,,
84,07/11/19 07:36:53 AM,7.0,4.23,11.8,,,,,
85,07/11/19 07:51:53 AM,7.0,4.42,11.7,,,,,
86,07/11/19 08:06:53 AM,7.0,4.72,11.6,,,,,
87,07/11/19 08:21:53 AM,7.0,5.10,11.5,,,,,
88,07/11/19 08:36:53 AM,7.0,5.54,11.3,,,,,
89,07/11/19 08:51:53 AM,7.0,6.02,11.2,,,,,
90,07/11/19 09:06:53 AM,7.0,6.46,11.0,,,,,
91,07/11/19 09:21:53 AM,7.0,6.73,10.9,,,,,
92,07/11/19 09:36:53 AM,7.0,6.97,10.9,,,,,
93,07/11/19 09:51:53 AM,7.7,7.20,11.9,,,,,
94,07/11/19 10:06:53 AM,7.7,7.69,11.7,,,,,
95,07/11/19 10:21:53 AM,7.0,8.40,10.4,,,,,
96,07/11/19 10:36:53 AM,7.0,9.01,10.3,,,,,
97,07/11/19 10:51:53 AM,6.9,9.71,9.9,,,,,
98,07/11/19 11:06:53 AM,6.9,10.32,9.8,,,,,
99,07/11/19 11:21:53 AM,6.9,11.12,9.6,,,,,
100,07/11/19 11:22:47 AM,,,,,Logged,,,
101,07/11/19 11:22:54 AM,,,,,,Logged,,
102,07/11/19 11:23:00 AM,,,,,,,Logged,Logged
