Plot Title: EC1								
#	"Date Time, GMT-05:00"	"Full Range, ?S/cm (LGR S/N: 20636125, SEN S/N: 20636125)"	"Temp, °F (LGR S/N: 20636125, SEN S/N: 20636125)"	Coupler Detached (LGR S/N: 20636125)	Coupler Attached (LGR S/N: 20636125)	Host Connected (LGR S/N: 20636125)	Stopped (LGR S/N: 20636125)	End Of File (LGR S/N: 20636125)
1	7/11/2019 11:26	9.2	48.92					
2	7/11/2019 11:26			Logged				
3	7/11/2019 11:41	7.7	53.26					
4	7/11/2019 11:56	7.7	53.8					
5	7/11/2019 12:11	7.7	54.9					
6	7/11/2019 12:26	7.7	56.05					
7	7/11/2019 12:41	7.7	56.44					
8	7/11/2019 12:56	7.6	57.56					
9	7/11/2019 13:11	7.6	58.69					
10	7/11/2019 13:26	7.6	59.74					
11	7/11/2019 13:41	7.6	60.4					
12	7/11/2019 13:56	7.6	60.6					
13	7/11/2019 14:11	7.6	60.21					
14	7/11/2019 14:26	7.6	60.13					
15	7/11/2019 14:41	7.6	59.5					
16	7/11/2019 14:56	7.6	58.95					
17	7/11/2019 15:11	7.6	58.1					
18	7/11/2019 15:26	7.6	57.47					
19	7/11/2019 15:41	7.6	56.8					
20	7/11/2019 15:56	7.6	56.79					
21	7/11/2019 16:11	7.7	56.21					
22	7/11/2019 16:26	7.7	55.98					
23	7/11/2019 16:41	7.7	55.72					
24	7/11/2019 16:56	7.7	55.54					
25	7/11/2019 17:11	7.7	55.4					
26	7/11/2019 17:26	7.7	55.04					
27	7/11/2019 17:41	7.7	54.45					
28	7/11/2019 17:56	7.7	54.03					
29	7/11/2019 18:11	7.7	53.6					
30	7/11/2019 18:26	7.7	53.13					
31	7/11/2019 18:41	7.7	52.72					
32	7/11/2019 18:56	7.7	52.39					
33	7/11/2019 19:11	7.7	52.11					
34	7/11/2019 19:26	7.7	51.84					
35	7/11/2019 19:41	7.7	51.64					
36	7/11/2019 19:56	7.7	51.42					
37	7/11/2019 20:11	8.1	51.22					
38	7/11/2019 20:26	8.1	51.01					
39	7/11/2019 20:41	7.7	50.76					
40	7/11/2019 20:56	7.7	50.56					
41	7/11/2019 21:11	7.7	50.34					
42	7/11/2019 21:26	8.1	50.2					
43	7/11/2019 21:41	7.7	50					
44	7/11/2019 21:56	7.7	49.84					
45	7/11/2019 22:11	8.1	49.69					
46	7/11/2019 22:26	7.7	49.51					
47	7/11/2019 22:41	8.1	49.37					
48	7/11/2019 22:56	8.1	49.23					
49	7/11/2019 23:11	7.7	49.1					
50	7/11/2019 23:26	8.1	49.01					
51	7/11/2019 23:41	8.1	48.92					
52	7/11/2019 23:56	8.1	48.72					
53	7/12/2019 0:11	8.1	48.63					
54	7/12/2019 0:26	8.1	48.49					
55	7/12/2019 0:41	8.1	48.38					
56	7/12/2019 0:56	8.1	48.29					
57	7/12/2019 1:11	8.1	48.16					
58	7/12/2019 1:26	8.1	48.04					
59	7/12/2019 1:41	8.1	47.97					
60	7/12/2019 1:56	8.1	47.89					
61	7/12/2019 2:11	8.1	47.75					
62	7/12/2019 2:26	8.1	47.64					
63	7/12/2019 2:41	8.1	47.55					
64	7/12/2019 2:56	8.1	47.48					
65	7/12/2019 3:11	8.1	47.43					
66	7/12/2019 3:26	8.1	47.34					
67	7/12/2019 3:41	8.1	47.26					
68	7/12/2019 3:56	8.1	47.17					
69	7/12/2019 4:11	8.1	47.08					
70	7/12/2019 4:26	8.1	46.96					
71	7/12/2019 4:41	8.1	46.87					
72	7/12/2019 4:56	8.1	46.74					
73	7/12/2019 5:11	8.1	46.62					
74	7/12/2019 5:26	8.1	46.47					
75	7/12/2019 5:41	8.1	46.36					
76	7/12/2019 5:56	8.1	46.24					
77	7/12/2019 6:11	8.1	46.17					
78	7/12/2019 6:26	8.1	46.09					
79	7/12/2019 6:41	8.1	46					
80	7/12/2019 6:56	8.1	45.95					
81	7/12/2019 7:11	8.1	45.95					
82	7/12/2019 7:26	8.1	46					
83	7/12/2019 7:41	8.1	46.02					
84	7/12/2019 7:56	8.1	46.15					
85	7/12/2019 8:11	8.1	46.36					
86	7/12/2019 8:26	8.1	46.54					
87	7/12/2019 8:41	8.1	46.76					
88	7/12/2019 8:56	8.1	46.98					
89	7/12/2019 9:11	8.1	47.12					
90	7/12/2019 9:26	7.7	47.34					
91	7/12/2019 9:41	7.7	47.64					
92	7/12/2019 9:56	8.1	47.97					
93	7/12/2019 10:11	8.1	48.49					
94	7/12/2019 10:26	8.1	48.96					
95	7/12/2019 10:41	8.1	49.89					
96	7/12/2019 10:56	7.7	50.49					
97	7/12/2019 11:11	8.1	50.88					
98	7/12/2019 11:19				Logged			
99	7/12/2019 11:19					Logged		
100	7/12/2019 11:19						Logged	Logged
