"Plot Title: EC1"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)","Specific Conductance, μS/cm (LGR S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","Coupler Attached (LGR S/N: 20636125)","Host Connected (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
1,07/12/19 12:45:00 PM,26.7,11.70,36.5,Logged,,,
2,07/12/19 12:46:00 PM,26.7,11.66,36.5,,,,
3,07/12/19 12:47:00 PM,26.7,11.50,36.7,,,,
4,07/12/19 12:48:00 PM,26.7,11.48,36.7,,,,
5,07/12/19 12:49:00 PM,26.7,11.33,36.8,,,,
6,07/12/19 12:50:00 PM,26.7,11.32,36.8,,,,
7,07/12/19 12:51:00 PM,26.7,11.30,36.8,,,,
8,07/12/19 12:52:00 PM,26.7,11.25,36.9,,,,
9,07/12/19 12:53:00 PM,26.8,11.18,37.1,,,,
10,07/12/19 12:54:00 PM,26.8,11.16,37.1,,,,
11,07/12/19 12:55:00 PM,26.8,11.06,37.2,,,,
12,07/12/19 12:56:00 PM,3.9,10.91,5.4,,,,
13,07/12/19 12:57:00 PM,26.8,10.88,37.4,,,,
14,07/12/19 12:58:00 PM,26.8,10.80,37.5,,,,
15,07/12/19 12:59:00 PM,1.7,10.75,2.4,,,,
16,07/12/19 01:00:00 PM,1.7,10.68,2.4,,,,
17,07/12/19 01:01:00 PM,26.8,10.65,37.6,,,,
18,07/12/19 01:02:00 PM,26.8,10.64,37.6,,,,
19,07/12/19 01:03:00 PM,26.8,10.61,37.7,,,,
20,07/12/19 01:04:00 PM,1.7,10.61,2.4,,,,
21,07/12/19 01:05:00 PM,26.8,10.60,37.7,,,,
22,07/12/19 01:06:00 PM,26.8,10.57,37.7,,,,
23,07/12/19 01:07:00 PM,26.8,10.52,37.8,,,,
24,07/12/19 01:08:00 PM,1.7,10.51,2.4,,,,
25,07/12/19 01:09:00 PM,26.8,10.49,37.8,,,,
