Plot Title: EC1								
#	"Date Time, GMT-05:00"	"Full Range, ?S/cm (LGR S/N: 20636125, SEN S/N: 20636125)"	"Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)"	"Specific Conductance, ?S/cm (LGR S/N: 20636125)"	Coupler Detached (LGR S/N: 20636125)	Coupler Attached (LGR S/N: 20636125)	Host Connected (LGR S/N: 20636125)	End Of File (LGR S/N: 20636125)
1	7/16/2019 13:00	4	6.35	6.3	Logged			
2	7/16/2019 13:15	26.9	6.12	42.8				
3	7/16/2019 13:17					Logged		
4	7/16/2019 13:18						Logged	
5	7/16/2019 13:19				Logged			
6	7/16/2019 13:30	26.9	6.68	42.1				
7	7/16/2019 13:45	1.7	6.48	2.7				
8	7/16/2019 14:00	26.9	6.53	42.3				
9	7/16/2019 14:15	26.9	6.23	42.7				
10	7/16/2019 14:30	4	6.15	6.4				
11	7/16/2019 14:45	1.7	6.26	2.7				
12	7/16/2019 15:00	4	6.69	6.3				
13	7/16/2019 15:15	-1.7	7.04	-2.6				
14	7/16/2019 15:30	-1.7	7.22	-2.6				
15	7/16/2019 15:45	-1.7	7.29	-2.6				
16	7/16/2019 16:00	-1.7	7.48	-2.6				
17	7/16/2019 16:15	-1.7	7.42	-2.6				
18	7/16/2019 16:30	-1.7	7.16	-2.6				
19	7/16/2019 16:45	-1.7	6.91	-2.6				
20	7/16/2019 17:00	4	6.67	6.3				
21	7/16/2019 17:15	-1.7	6.36	-2.7				
22	7/16/2019 17:30	-1.7	6.04	-2.7				
23	7/16/2019 17:45	-1.7	5.99	-2.7				
24	7/16/2019 18:00	-1.6	5.87	-2.6				
25	7/16/2019 18:15	-1.6	5.65	-2.6				
26	7/16/2019 18:30	4	5.49	6.5				
27	7/16/2019 18:45	1.7	5.34	2.8				
28	7/16/2019 19:00	-1.6	5.22	-2.6				
29	7/16/2019 19:15	-1.6	5.2	-2.6				
30	7/16/2019 19:30	1.7	5.14	2.8				
31	7/16/2019 19:45	4	5.17	6.5				
32	7/16/2019 20:00	-1.6	5.14	-2.6				
33	7/16/2019 20:15	26.9	5.17	44				
34	7/16/2019 20:30	1.7	5.32	2.8				
35	7/16/2019 20:45	-1.6	5.36	-2.6				
36	7/16/2019 21:00	-1.6	5.17	-2.6				
37	7/16/2019 21:15	4	5.18	6.5				
38	7/16/2019 21:30	-1.6	5.14	-2.6				
39	7/16/2019 21:45	-1.6	5.09	-2.6				
40	7/16/2019 22:00	-1.6	5.01	-2.6				
41	7/16/2019 22:15	4	5.04	6.6				
42	7/16/2019 22:30	4	5.04	6.6				
43	7/16/2019 22:45	4	5.02	6.6				
44	7/16/2019 23:00	4	5	6.6				
45	7/16/2019 23:15	1.7	4.87	2.8				
46	7/16/2019 23:30	4	4.88	6.6				
47	7/16/2019 23:45	4	4.79	6.6				
48	7/17/2019 0:00	-1.6	4.73	-2.7				
49	7/17/2019 0:15	4	4.68	6.6				
50	7/17/2019 0:30	4	4.68	6.6				
51	7/17/2019 0:45	4	4.71	6.6				
52	7/17/2019 1:00	-1.6	4.75	-2.6				
53	7/17/2019 1:15	4	4.77	6.6				
54	7/17/2019 1:30	4	4.79	6.6				
55	7/17/2019 1:45	-1.6	4.67	-2.7				
56	7/17/2019 2:00	27	4.61	44.9				
57	7/17/2019 2:15	4	4.57	6.7				
58	7/17/2019 2:30	4	4.44	6.7				
59	7/17/2019 2:45	4	4.44	6.7				
60	7/17/2019 3:00	4	4.39	6.7				
61	7/17/2019 3:15	-1.6	4.42	-2.7				
62	7/17/2019 3:30	27	4.34	45.3				
