"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °F (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
1,07/09/19 11:53:03 AM,-1.7,67.91,,,,,
2,07/09/19 11:53:18 AM,,,Logged,,,,
3,07/09/19 12:08:03 PM,-1.6,56.37,,,,,
4,07/09/19 12:23:03 PM,2.1,51.48,,,,,
5,07/09/19 12:38:03 PM,2.1,45.52,,,,,
6,07/09/19 12:53:03 PM,2.1,43.92,,,,,
7,07/09/19 01:01:29 PM,,,,Logged,,,
8,07/09/19 01:01:40 PM,,,,,Logged,,
9,07/09/19 01:02:07 PM,,,Logged,,,,
10,07/09/19 01:08:03 PM,2.1,44.58,,,,,
11,07/09/19 01:23:03 PM,2.1,44.17,,,,,
12,07/09/19 01:38:03 PM,7.0,44.76,,,,,
13,07/09/19 01:53:03 PM,7.0,44.82,,,,,
14,07/09/19 02:08:03 PM,7.0,44.83,,,,,
15,07/09/19 02:23:03 PM,6.7,44.83,,,,,
16,07/09/19 02:38:03 PM,7.0,44.82,,,,,
17,07/09/19 02:53:03 PM,7.0,44.74,,,,,
18,07/09/19 03:08:03 PM,7.0,44.58,,,,,
19,07/09/19 03:23:03 PM,7.0,44.37,,,,,
20,07/09/19 03:38:03 PM,7.0,44.49,,,,,
21,07/09/19 03:53:03 PM,7.4,44.44,,,,,
22,07/09/19 04:08:03 PM,6.7,44.24,,,,,
23,07/09/19 04:23:03 PM,6.7,43.99,,,,,
24,07/09/19 04:38:03 PM,7.4,43.72,,,,,
25,07/09/19 04:53:03 PM,7.4,43.56,,,,,
26,07/09/19 05:08:03 PM,6.7,43.56,,,,,
27,07/09/19 05:23:03 PM,6.7,43.52,,,,,
28,07/09/19 05:38:03 PM,6.7,43.34,,,,,
29,07/09/19 05:53:03 PM,7.4,43.16,,,,,
30,07/09/19 06:08:03 PM,6.7,42.94,,,,,
31,07/09/19 06:23:03 PM,6.7,42.73,,,,,
32,07/09/19 06:38:03 PM,7.4,42.55,,,,,
33,07/09/19 06:53:03 PM,7.4,42.35,,,,,
34,07/09/19 07:08:03 PM,7.4,42.21,,,,,
35,07/09/19 07:23:03 PM,7.4,42.04,,,,,
36,07/09/19 07:38:03 PM,7.4,41.92,,,,,
37,07/09/19 07:53:03 PM,7.4,41.79,,,,,
38,07/09/19 08:08:03 PM,7.4,41.65,,,,,
39,07/09/19 08:23:03 PM,6.7,41.50,,,,,
40,07/09/19 08:38:03 PM,7.4,41.38,,,,,
41,07/09/19 08:53:03 PM,6.7,41.22,,,,,
42,07/09/19 09:08:03 PM,7.4,41.13,,,,,
43,07/09/19 09:23:03 PM,7.4,41.02,,,,,
44,07/09/19 09:38:03 PM,6.7,40.91,,,,,
45,07/09/19 09:53:03 PM,6.7,40.82,,,,,
46,07/09/19 10:08:03 PM,6.7,40.75,,,,,
47,07/09/19 10:23:03 PM,6.7,40.68,,,,,
48,07/09/19 10:38:03 PM,6.7,40.55,,,,,
49,07/09/19 10:53:03 PM,6.7,40.44,,,,,
50,07/09/19 11:08:03 PM,6.7,40.33,,,,,
51,07/09/19 11:23:03 PM,7.1,40.24,,,,,
52,07/09/19 11:38:03 PM,7.1,40.17,,,,,
53,07/09/19 11:53:03 PM,7.4,40.10,,,,,
54,07/10/19 12:08:03 AM,7.4,40.03,,,,,
55,07/10/19 12:23:03 AM,7.4,39.96,,,,,
56,07/10/19 12:38:03 AM,7.1,39.87,,,,,
57,07/10/19 12:53:03 AM,7.4,39.74,,,,,
58,07/10/19 01:08:03 AM,7.1,39.72,,,,,
59,07/10/19 01:23:03 AM,7.4,39.70,,,,,
60,07/10/19 01:38:03 AM,7.1,39.67,,,,,
61,07/10/19 01:53:03 AM,7.1,39.63,,,,,
62,07/10/19 02:08:03 AM,7.4,39.58,,,,,
63,07/10/19 02:23:03 AM,6.7,39.56,,,,,
64,07/10/19 02:38:03 AM,7.4,39.51,,,,,
65,07/10/19 02:53:03 AM,7.4,39.49,,,,,
66,07/10/19 03:08:03 AM,7.1,39.43,,,,,
67,07/10/19 03:23:03 AM,7.1,39.34,,,,,
68,07/10/19 03:38:03 AM,7.4,39.33,,,,,
69,07/10/19 03:53:03 AM,7.4,39.25,,,,,
70,07/10/19 04:08:03 AM,7.4,39.18,,,,,
71,07/10/19 04:23:03 AM,7.4,39.11,,,,,
72,07/10/19 04:38:03 AM,7.4,39.04,,,,,
73,07/10/19 04:53:03 AM,7.4,38.91,,,,,
74,07/10/19 05:08:03 AM,7.1,38.84,,,,,
75,07/10/19 05:23:03 AM,7.1,38.73,,,,,
76,07/10/19 05:38:03 AM,7.4,38.66,,,,,
77,07/10/19 05:53:03 AM,7.4,38.52,,,,,
78,07/10/19 06:08:03 AM,7.4,38.39,,,,,
79,07/10/19 06:23:03 AM,7.4,38.23,,,,,
80,07/10/19 06:38:03 AM,7.4,38.12,,,,,
81,07/10/19 06:53:03 AM,7.4,37.98,,,,,
82,07/10/19 07:08:03 AM,7.4,37.87,,,,,
83,07/10/19 07:23:03 AM,7.4,37.78,,,,,
84,07/10/19 07:38:03 AM,7.4,37.71,,,,,
85,07/10/19 07:53:03 AM,7.4,37.85,,,,,
86,07/10/19 08:08:03 AM,7.4,38.30,,,,,
87,07/10/19 08:23:03 AM,7.4,38.80,,,,,
88,07/10/19 08:38:03 AM,7.4,39.36,,,,,
89,07/10/19 08:53:03 AM,7.1,40.01,,,,,
90,07/10/19 09:08:03 AM,7.1,40.78,,,,,
91,07/10/19 09:23:03 AM,7.1,41.22,,,,,
92,07/10/19 09:38:03 AM,6.7,41.90,,,,,
93,07/10/19 09:53:03 AM,7.0,42.21,,,,,
94,07/10/19 10:08:03 AM,7.0,42.48,,,,,
95,07/10/19 10:23:03 AM,7.0,43.09,,,,,
96,07/10/19 10:38:03 AM,7.0,43.52,,,,,
97,07/10/19 10:53:03 AM,7.0,43.77,,,,,
98,07/10/19 11:08:03 AM,7.0,45.00,,,,,
99,07/10/19 11:23:03 AM,7.0,46.33,,,,,
100,07/10/19 11:28:36 AM,,,,Logged,,,
101,07/10/19 11:28:51 AM,,,,,Logged,,
102,07/10/19 11:28:58 AM,,,,,,Logged,Logged
