Plot Title: EC Logger 2								
#	"Date Time, GMT-05:00"	"Full Range, ?S/cm (LGR S/N: 20636127, SEN S/N: 20636127)"	"Temp, °F (LGR S/N: 20636127, SEN S/N: 20636127)"	Coupler Detached (LGR S/N: 20636127)	Coupler Attached (LGR S/N: 20636127)	Host Connected (LGR S/N: 20636127)	Stopped (LGR S/N: 20636127)	End Of File (LGR S/N: 20636127)
1	7/11/2019 11:52	7.4	52.97					
2	7/11/2019 11:52			Logged				
3	7/11/2019 12:07	7.7	54.41					
4	7/11/2019 12:22	7	55.49					
5	7/11/2019 12:37	7.7	56.16					
6	7/11/2019 12:52	7.7	56.98					
7	7/11/2019 13:07	6.9	58.03					
8	7/11/2019 13:22	7.7	59.16					
9	7/11/2019 13:37	7.7	59.92					
10	7/11/2019 13:52	7.7	60.3					
11	7/11/2019 14:07	7.7	60.33					
12	7/11/2019 14:22	7.7	60.22					
13	7/11/2019 14:37	7.7	59.54					
14	7/11/2019 14:52	7.7	58.91					
15	7/11/2019 15:07	7.7	58.23					
16	7/11/2019 15:22	7.7	57.52					
17	7/11/2019 15:37	7.7	56.84					
18	7/11/2019 15:52	7.7	56.52					
19	7/11/2019 16:07	7.7	56.23					
20	7/11/2019 16:22	7.7	55.76					
21	7/11/2019 16:37	7.7	55.42					
22	7/11/2019 16:52	7.7	55.27					
23	7/11/2019 17:07	7.7	55.26					
24	7/11/2019 17:22	7.7	54.9					
25	7/11/2019 17:37	7.7	54.43					
26	7/11/2019 17:52	7.7	53.92					
27	7/11/2019 18:07	7.7	53.51					
28	7/11/2019 18:22	7.7	53.06					
29	7/11/2019 18:37	7.7	52.57					
30	7/11/2019 18:52	7.7	52.25					
31	7/11/2019 19:07	7.7	51.94					
32	7/11/2019 19:22	7.7	51.67					
33	7/11/2019 19:37	7.7	51.42					
34	7/11/2019 19:52	7.7	51.22					
35	7/11/2019 20:07	7.7	51.03					
36	7/11/2019 20:22	7.7	50.83					
37	7/11/2019 20:37	8.1	50.59					
38	7/11/2019 20:52	7.7	50.36					
39	7/11/2019 21:07	8.1	50.16					
40	7/11/2019 21:22	8.1	49.98					
41	7/11/2019 21:37	8.1	49.82					
42	7/11/2019 21:52	7.7	49.62					
43	7/11/2019 22:07	7.7	49.48					
44	7/11/2019 22:22	7.8	49.3					
45	7/11/2019 22:37	7.8	49.15					
46	7/11/2019 22:52	7.8	48.97					
47	7/11/2019 23:07	8.1	48.85					
48	7/11/2019 23:22	7.8	48.78					
49	7/11/2019 23:37	8.1	48.67					
50	7/11/2019 23:52	8.1	48.54					
51	7/12/2019 0:07	8.1	48.4					
52	7/12/2019 0:22	8.1	48.27					
53	7/12/2019 0:37	8.1	48.15					
54	7/12/2019 0:52	8.1	48.06					
55	7/12/2019 1:07	7.8	47.97					
56	7/12/2019 1:22	8.1	47.82					
57	7/12/2019 1:37	8.1	47.73					
58	7/12/2019 1:52	8.1	47.64					
59	7/12/2019 2:07	8.1	47.52					
60	7/12/2019 2:22	8.1	47.43					
61	7/12/2019 2:37	8.1	47.32					
62	7/12/2019 2:52	8.1	47.23					
63	7/12/2019 3:07	8.1	47.14					
64	7/12/2019 3:22	8.1	47.08					
65	7/12/2019 3:37	8.1	47.01					
66	7/12/2019 3:52	8.1	46.92					
67	7/12/2019 4:07	7.8	46.85					
68	7/12/2019 4:22	7.8	46.74					
69	7/12/2019 4:37	8.1	46.62					
70	7/12/2019 4:52	7.8	46.53					
71	7/12/2019 5:07	8.1	46.4					
72	7/12/2019 5:22	8.1	46.26					
73	7/12/2019 5:37	8.1	46.15					
74	7/12/2019 5:52	7.8	46.04					
75	7/12/2019 6:07	8.1	45.95					
76	7/12/2019 6:22	8.1	45.86					
77	7/12/2019 6:37	8.1	45.79					
78	7/12/2019 6:52	8.2	45.73					
79	7/12/2019 7:07	8.2	45.73					
80	7/12/2019 7:22	8.2	45.73					
81	7/12/2019 7:37	8.1	45.79					
82	7/12/2019 7:52	8.1	45.84					
83	7/12/2019 8:07	8.1	46.02					
84	7/12/2019 8:22	8.1	46.26					
85	7/12/2019 8:37	8.1	46.42					
86	7/12/2019 8:52	8.1	46.63					
87	7/12/2019 9:07	8.1	46.85					
88	7/12/2019 9:22	8.1	47.05					
89	7/12/2019 9:37	8.1	47.35					
90	7/12/2019 9:52	8.1	47.61					
91	7/12/2019 10:07	8.1	48.09					
92	7/12/2019 10:22	8.1	48.56					
93	7/12/2019 10:37	8.1	49.26					
94	7/12/2019 10:52	8.1	50.02					
95	7/12/2019 11:07	8.1	50.58					
96	7/12/2019 11:22	8.1	51.13					
97	7/12/2019 11:37	8.1	51.89					
98	7/12/2019 11:52	8.1	51.93					
99	7/12/2019 12:07	8.5	52.83					
100	7/12/2019 12:22	8.5	53.24					
101	7/12/2019 12:27				Logged			
102	7/12/2019 12:27					Logged		
103	7/12/2019 12:27						Logged	Logged
