"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)","Specific Conductance, μS/cm (LGR S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
1,07/12/19 12:45:00 PM,7.7,12.42,10.3,Logged,,,,
2,07/12/19 12:46:00 PM,7.7,12.47,10.3,,,,,
3,07/12/19 12:47:00 PM,7.7,12.53,10.3,,,,,
4,07/12/19 12:48:00 PM,8.1,12.53,10.8,,,,,
5,07/12/19 12:49:00 PM,8.1,12.54,10.8,,,,,
6,07/12/19 12:50:00 PM,7.7,12.57,10.3,,,,,
7,07/12/19 12:51:00 PM,8.1,12.61,10.8,,,,,
8,07/12/19 12:52:00 PM,7.7,12.61,10.3,,,,,
9,07/12/19 12:53:00 PM,8.1,12.63,10.8,,,,,
10,07/12/19 12:54:00 PM,8.1,12.66,10.8,,,,,
11,07/12/19 12:55:00 PM,7.7,12.67,10.3,,,,,
12,07/12/19 12:56:00 PM,7.7,12.68,10.3,,,,,
13,07/12/19 12:57:00 PM,8.1,12.67,10.8,,,,,
14,07/12/19 12:58:00 PM,8.1,12.67,10.8,,,,,
15,07/12/19 12:59:00 PM,8.1,12.66,10.8,,,,,
16,07/12/19 01:00:00 PM,7.7,12.66,10.3,,,,,
17,07/12/19 01:01:00 PM,8.1,12.65,10.8,,,,,
18,07/12/19 01:02:00 PM,8.1,12.65,10.8,,,,,
19,07/12/19 01:03:00 PM,8.1,12.63,10.8,,,,,
20,07/12/19 01:04:00 PM,8.1,12.65,10.8,,,,,
21,07/12/19 01:05:00 PM,8.1,12.65,10.8,,,,,
22,07/12/19 01:06:00 PM,8.1,12.65,10.8,,,,,
23,07/12/19 01:07:00 PM,8.5,12.67,11.3,,,,,
24,07/12/19 01:08:00 PM,8.5,12.68,11.3,,,,,
25,07/12/19 01:09:00 PM,8.5,12.68,11.3,,,,,
26,07/12/19 01:10:00 PM,8.1,12.68,10.8,,,,,
27,07/12/19 01:11:00 PM,8.5,12.70,11.3,,,,,
28,07/12/19 01:12:00 PM,8.5,12.71,11.3,,,,,
29,07/12/19 01:13:00 PM,8.1,12.72,10.8,,,,,
30,07/12/19 01:14:00 PM,8.5,12.72,11.3,,,,,
31,07/12/19 01:15:00 PM,8.5,12.75,11.3,,,,,
32,07/12/19 01:16:00 PM,8.5,12.74,11.3,,,,,
33,07/12/19 01:17:00 PM,8.1,12.74,10.8,,,,,
34,07/12/19 01:18:00 PM,8.5,12.75,11.3,,,,,
35,07/12/19 01:19:00 PM,8.5,12.75,11.3,,,,,
36,07/12/19 01:20:00 PM,8.5,12.75,11.3,,,,,
37,07/12/19 01:21:00 PM,8.1,12.76,10.8,,,,,
38,07/12/19 01:22:00 PM,8.1,12.78,10.8,,,,,
39,07/12/19 01:23:00 PM,8.5,12.76,11.3,,,,,
40,07/12/19 01:24:00 PM,8.1,12.76,10.8,,,,,
41,07/12/19 01:25:00 PM,8.1,12.76,10.8,,,,,
42,07/12/19 01:26:00 PM,8.1,12.76,10.8,,,,,
43,07/12/19 01:27:00 PM,8.5,12.75,11.3,,,,,
44,07/12/19 01:28:00 PM,8.1,12.75,10.8,,,,,
45,07/12/19 01:29:00 PM,7.7,12.74,10.2,,,,,
46,07/12/19 01:30:00 PM,8.1,12.74,10.8,,,,,
47,07/12/19 01:31:00 PM,8.1,12.74,10.8,,,,,
48,07/12/19 01:32:00 PM,8.1,12.75,10.8,,,,,
49,07/12/19 01:33:00 PM,8.1,12.74,10.8,,,,,
50,07/12/19 01:34:00 PM,8.1,12.76,10.8,,,,,
51,07/12/19 01:35:00 PM,8.1,12.78,10.8,,,,,
52,07/12/19 01:36:00 PM,8.1,12.82,10.7,,,,,
53,07/12/19 01:37:00 PM,8.1,12.84,10.7,,,,,
54,07/12/19 01:38:00 PM,8.1,12.86,10.7,,,,,
55,07/12/19 01:39:00 PM,8.5,12.90,11.3,,,,,
56,07/12/19 01:40:00 PM,8.1,12.93,10.7,,,,,
57,07/12/19 01:41:00 PM,8.1,12.95,10.7,,,,,
58,07/12/19 01:42:00 PM,8.5,12.97,11.2,,,,,
59,07/12/19 01:43:00 PM,8.5,13.00,11.2,,,,,
60,07/12/19 01:44:00 PM,8.1,13.01,10.7,,,,,
61,07/12/19 01:45:00 PM,8.1,13.03,10.7,,,,,
62,07/12/19 01:46:00 PM,8.5,13.04,11.2,,,,,
63,07/12/19 01:47:00 PM,8.1,13.05,10.7,,,,,
64,07/12/19 01:48:00 PM,8.1,13.07,10.7,,,,,
65,07/12/19 01:49:00 PM,8.1,13.09,10.7,,,,,
66,07/12/19 01:50:00 PM,8.1,13.09,10.7,,,,,
67,07/12/19 01:51:00 PM,8.1,13.12,10.7,,,,,
68,07/12/19 01:52:00 PM,8.1,13.15,10.7,,,,,
69,07/12/19 01:53:00 PM,15.9,13.18,20.9,,,,,
70,07/12/19 01:54:00 PM,156.3,13.20,205.4,,,,,
71,07/12/19 01:55:00 PM,326.0,13.21,428.2,,,,,
72,07/12/19 01:56:00 PM,246.6,13.24,323.7,,,,,
73,07/12/19 01:57:00 PM,158.6,13.25,208.1,,,,,
74,07/12/19 01:58:00 PM,101.4,13.26,133.0,,,,,
75,07/12/19 01:59:00 PM,56.7,13.29,74.3,,,,,
76,07/12/19 02:00:00 PM,35.4,13.29,46.4,,,,,
77,07/12/19 02:01:00 PM,26.8,13.30,35.1,,,,,
78,07/12/19 02:02:00 PM,20.8,13.32,27.2,,,,,
79,07/12/19 02:03:00 PM,15.6,13.33,20.4,,,,,
80,07/12/19 02:04:00 PM,12.6,13.33,16.5,,,,,
81,07/12/19 02:05:00 PM,10.7,13.33,14.0,,,,,
82,07/12/19 02:06:00 PM,10.3,13.36,13.5,,,,,
83,07/12/19 02:07:00 PM,9.9,13.37,13.0,,,,,
84,07/12/19 02:08:00 PM,9.2,13.38,12.0,,,,,
85,07/12/19 02:09:00 PM,9.2,13.39,12.0,,,,,
86,07/12/19 02:10:00 PM,8.8,13.39,11.5,,,,,
87,07/12/19 02:11:00 PM,8.8,13.38,11.5,,,,,
88,07/12/19 02:12:00 PM,8.8,13.38,11.5,,,,,
89,07/12/19 02:13:00 PM,8.8,13.39,11.5,,,,,
90,07/12/19 02:14:00 PM,8.5,13.38,11.1,,,,,
91,07/12/19 02:15:00 PM,8.5,13.38,11.1,,,,,
92,07/12/19 02:16:00 PM,8.5,13.37,11.1,,,,,
93,07/12/19 02:17:00 PM,8.5,13.36,11.1,,,,,
94,07/12/19 02:18:00 PM,8.8,13.34,11.5,,,,,
95,07/12/19 02:19:00 PM,8.8,13.33,11.5,,,,,
96,07/12/19 02:20:00 PM,8.8,13.34,11.5,,,,,
97,07/12/19 02:21:00 PM,8.5,13.36,11.1,,,,,
98,07/12/19 02:22:00 PM,8.5,13.36,11.1,,,,,
99,07/12/19 02:23:00 PM,8.5,13.36,11.1,,,,,
100,07/12/19 02:24:00 PM,8.5,13.37,11.1,,,,,
101,07/12/19 02:25:00 PM,8.8,13.38,11.5,,,,,
102,07/12/19 02:26:00 PM,8.5,13.39,11.1,,,,,
103,07/12/19 02:27:00 PM,8.5,13.41,11.1,,,,,
104,07/12/19 02:28:00 PM,8.5,13.41,11.1,,,,,
105,07/12/19 02:29:00 PM,8.5,13.42,11.1,,,,,
106,07/12/19 02:30:00 PM,8.5,13.42,11.1,,,,,
107,07/12/19 02:31:00 PM,8.5,13.42,11.1,,,,,
108,07/12/19 02:32:00 PM,8.5,13.41,11.1,,,,,
109,07/12/19 02:33:00 PM,8.5,13.41,11.1,,,,,
110,07/12/19 02:34:00 PM,8.5,13.39,11.1,,,,,
111,07/12/19 02:35:00 PM,8.8,13.39,11.5,,,,,
112,07/12/19 02:36:00 PM,8.5,13.41,11.1,,,,,
113,07/12/19 02:37:00 PM,8.5,13.41,11.1,,,,,
114,07/12/19 02:38:00 PM,8.5,13.42,11.1,,,,,
115,07/12/19 02:39:00 PM,8.5,13.43,11.1,,,,,
116,07/12/19 02:40:00 PM,8.8,13.45,11.5,,,,,
117,07/12/19 02:41:00 PM,8.5,13.45,11.1,,,,,
118,07/12/19 02:42:00 PM,8.5,13.46,11.1,,,,,
119,07/12/19 02:43:00 PM,8.5,13.49,11.1,,,,,
120,07/12/19 02:44:00 PM,8.5,13.49,11.1,,,,,
121,07/12/19 02:45:00 PM,8.5,13.51,11.1,,,,,
122,07/12/19 02:46:00 PM,8.8,13.53,11.5,,,,,
123,07/12/19 02:47:00 PM,8.1,13.57,10.5,,,,,
124,07/12/19 02:48:00 PM,8.5,13.57,11.1,,,,,
125,07/12/19 02:49:00 PM,8.1,13.59,10.5,,,,,
126,07/12/19 02:50:00 PM,8.5,13.61,11.1,,,,,
127,07/12/19 02:51:00 PM,8.5,13.62,11.1,,,,,
128,07/12/19 02:52:00 PM,8.4,13.64,10.9,,,,,
129,07/12/19 02:53:00 PM,8.4,13.66,10.9,,,,,
130,07/12/19 02:54:00 PM,8.8,13.70,11.4,,,,,
131,07/12/19 02:55:00 PM,8.4,13.74,10.9,,,,,
132,07/12/19 02:56:00 PM,8.4,13.76,10.9,,,,,
133,07/12/19 02:57:00 PM,8.4,13.82,10.9,,,,,
134,07/12/19 02:58:00 PM,8.4,13.84,10.9,,,,,
135,07/12/19 02:59:00 PM,8.4,13.88,10.8,,,,,
136,07/12/19 03:00:00 PM,8.4,13.89,10.8,,,,,
137,07/12/19 03:01:00 PM,8.4,13.91,10.8,,,,,
138,07/12/19 03:02:00 PM,8.8,13.92,11.4,,,,,
139,07/12/19 03:03:00 PM,8.8,13.93,11.4,,,,,
140,07/12/19 03:04:00 PM,8.4,13.96,10.8,,,,,
141,07/12/19 03:05:00 PM,8.4,13.99,10.8,,,,,
142,07/12/19 03:06:00 PM,8.4,14.00,10.8,,,,,
143,07/12/19 03:07:00 PM,8.4,14.00,10.8,,,,,
144,07/12/19 03:08:00 PM,8.4,14.00,10.8,,,,,
