"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)","Specific Conductance, μS/cm (LGR S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
1,07/12/19 05:00:00 PM,8.1,12.91,10.7,Logged,,,,
2,07/12/19 05:15:00 PM,7.7,12.74,10.2,,,,,
3,07/12/19 05:30:00 PM,7.7,12.58,10.3,,,,,
4,07/12/19 05:45:00 PM,8.1,12.29,10.9,,,,,
5,07/12/19 06:00:00 PM,7.7,12.03,10.4,,,,,
6,07/12/19 06:15:00 PM,7.7,11.79,10.5,,,,,
7,07/12/19 06:30:00 PM,8.1,11.54,11.1,,,,,
8,07/12/19 06:45:00 PM,8.1,11.32,11.2,,,,,
9,07/12/19 07:00:00 PM,8.1,11.12,11.2,,,,,
10,07/12/19 07:15:00 PM,8.1,10.92,11.3,,,,,
11,07/12/19 07:30:00 PM,8.1,10.78,11.3,,,,,
12,07/12/19 07:45:00 PM,8.1,10.61,11.4,,,,,
13,07/12/19 08:00:00 PM,8.1,10.47,11.4,,,,,
14,07/12/19 08:15:00 PM,8.1,10.33,11.5,,,,,
15,07/12/19 08:30:00 PM,8.1,10.21,11.5,,,,,
16,07/12/19 08:45:00 PM,8.5,10.09,12.1,,,,,
17,07/12/19 09:00:00 PM,8.5,10.00,12.1,,,,,
18,07/12/19 09:15:00 PM,8.5,9.87,12.2,,,,,
19,07/12/19 09:30:00 PM,8.5,9.75,12.2,,,,,
20,07/12/19 09:45:00 PM,8.5,9.65,12.3,,,,,
21,07/12/19 10:00:00 PM,8.5,9.57,12.3,,,,,
22,07/12/19 10:15:00 PM,8.5,9.47,12.3,,,,,
23,07/12/19 10:30:00 PM,8.9,9.38,12.9,,,,,
24,07/12/19 10:45:00 PM,8.5,9.32,12.4,,,,,
25,07/12/19 11:00:00 PM,8.5,9.24,12.4,,,,,
26,07/12/19 11:15:00 PM,8.5,9.19,12.4,,,,,
27,07/12/19 11:30:00 PM,8.5,9.13,12.4,,,,,
28,07/12/19 11:45:00 PM,8.5,9.07,12.5,,,,,
29,07/13/19 12:00:00 AM,8.5,9.01,12.5,,,,,
30,07/13/19 12:15:00 AM,8.5,8.96,12.5,,,,,
31,07/13/19 12:30:00 AM,8.1,8.90,11.9,,,,,
32,07/13/19 12:45:00 AM,8.5,8.84,12.5,,,,,
33,07/13/19 01:00:00 AM,8.5,8.80,12.5,,,,,
34,07/13/19 01:15:00 AM,8.5,8.75,12.6,,,,,
35,07/13/19 01:30:00 AM,8.5,8.69,12.6,,,,,
36,07/13/19 01:45:00 AM,8.5,8.63,12.6,,,,,
37,07/13/19 02:00:00 AM,8.5,8.58,12.6,,,,,
38,07/13/19 02:15:00 AM,8.5,8.54,12.6,,,,,
39,07/13/19 02:30:00 AM,8.5,8.49,12.7,,,,,
40,07/13/19 02:45:00 AM,8.5,8.44,12.7,,,,,
41,07/13/19 03:00:00 AM,8.1,8.37,12.1,,,,,
42,07/13/19 03:15:00 AM,8.5,8.22,12.7,,,,,
43,07/13/19 03:30:00 AM,8.5,8.19,12.8,,,,,
44,07/13/19 03:45:00 AM,8.5,8.12,12.8,,,,,
45,07/13/19 04:00:00 AM,8.5,8.08,12.8,,,,,
46,07/13/19 04:15:00 AM,8.5,8.00,12.8,,,,,
47,07/13/19 04:30:00 AM,8.5,7.96,12.8,,,,,
48,07/13/19 04:45:00 AM,8.5,7.92,12.9,,,,,
49,07/13/19 05:00:00 AM,8.5,7.86,12.9,,,,,
50,07/13/19 05:15:00 AM,8.5,7.78,12.9,,,,,
51,07/13/19 05:30:00 AM,8.5,7.67,12.9,,,,,
52,07/13/19 05:45:00 AM,8.2,7.57,12.5,,,,,
53,07/13/19 06:00:00 AM,8.5,7.49,13.0,,,,,
54,07/13/19 06:15:00 AM,8.9,7.47,13.6,,,,,
55,07/13/19 06:30:00 AM,8.9,7.47,13.6,,,,,
56,07/13/19 06:45:00 AM,8.2,7.45,12.6,,,,,
57,07/13/19 07:00:00 AM,8.5,7.40,13.0,,,,,
58,07/13/19 07:15:00 AM,8.2,7.38,12.6,,,,,
59,07/13/19 07:30:00 AM,8.2,7.38,12.6,,,,,
60,07/13/19 07:45:00 AM,8.2,7.40,12.6,,,,,
61,07/13/19 08:00:00 AM,8.2,7.44,12.6,,,,,
62,07/13/19 08:15:00 AM,8.2,7.46,12.6,,,,,
63,07/13/19 08:30:00 AM,8.2,7.53,12.5,,,,,
64,07/13/19 08:45:00 AM,8.2,7.59,12.5,,,,,
65,07/13/19 09:00:00 AM,8.1,7.71,12.3,,,,,
66,07/13/19 09:15:00 AM,8.1,7.84,12.3,,,,,
67,07/13/19 09:30:00 AM,8.1,7.91,12.3,,,,,
68,07/13/19 09:45:00 AM,8.1,8.08,12.2,,,,,
69,07/13/19 10:00:00 AM,8.1,8.24,12.1,,,,,
70,07/13/19 10:15:00 AM,8.1,8.32,12.1,,,,,
71,07/13/19 10:30:00 AM,8.1,8.40,12.1,,,,,
72,07/13/19 10:45:00 AM,8.1,8.51,12.0,,,,,
73,07/13/19 11:00:00 AM,8.1,8.79,12.0,,,,,
74,07/13/19 11:15:00 AM,8.1,9.16,11.8,,,,,
75,07/13/19 11:30:00 AM,8.1,9.29,11.8,,,,,
76,07/13/19 11:45:00 AM,8.1,9.34,11.8,,,,,
77,07/13/19 12:00:00 PM,8.1,9.58,11.7,,,,,
78,07/13/19 12:15:00 PM,8.1,9.87,11.6,,,,,
79,07/13/19 12:30:00 PM,8.1,10.05,11.6,,,,,
80,07/13/19 12:45:00 PM,8.1,10.29,11.5,,,,,
81,07/13/19 01:00:00 PM,8.1,10.37,11.5,,,,,
82,07/13/19 01:15:00 PM,8.1,10.58,11.4,,,,,
83,07/13/19 01:30:00 PM,8.1,10.67,11.4,,,,,
84,07/13/19 01:45:00 PM,8.1,10.83,11.3,,,,,
85,07/13/19 02:00:00 PM,8.1,11.12,11.2,,,,,
86,07/13/19 02:15:00 PM,8.1,11.36,11.2,,,,,
87,07/13/19 02:30:00 PM,8.9,11.33,12.3,,,,,
88,07/13/19 02:45:00 PM,8.1,11.26,11.2,,,,,
89,07/13/19 03:00:00 PM,8.1,11.40,11.1,,,,,
90,07/13/19 03:15:00 PM,8.8,11.78,12.0,,,,,
91,07/13/19 03:30:00 PM,8.1,11.95,11.0,,,,,
92,07/13/19 03:45:00 PM,8.1,12.20,10.9,,,,,
93,07/13/19 04:00:00 PM,8.8,12.21,11.9,,,,,
94,07/13/19 04:15:00 PM,8.8,12.15,11.9,,,,,
95,07/13/19 04:30:00 PM,8.1,12.04,11.0,,,,,
96,07/13/19 04:45:00 PM,8.1,11.84,11.0,,,,,
97,07/13/19 05:00:00 PM,8.1,11.58,11.1,,,,,
98,07/13/19 05:15:00 PM,8.1,11.40,11.1,,,,,
99,07/13/19 05:30:00 PM,8.9,11.20,12.3,,,,,
100,07/13/19 05:45:00 PM,8.1,10.99,11.3,,,,,
101,07/13/19 06:00:00 PM,8.1,10.70,11.4,,,,,
102,07/13/19 06:15:00 PM,8.1,10.49,11.4,,,,,
103,07/13/19 06:30:00 PM,8.9,10.26,12.6,,,,,
104,07/13/19 06:45:00 PM,8.1,10.09,11.5,,,,,
105,07/13/19 07:00:00 PM,8.1,9.95,11.6,,,,,
106,07/13/19 07:15:00 PM,8.1,9.80,11.6,,,,,
107,07/13/19 07:30:00 PM,8.1,9.67,11.7,,,,,
108,07/13/19 07:45:00 PM,8.1,9.55,11.7,,,,,
109,07/13/19 08:00:00 PM,8.9,9.42,12.9,,,,,
110,07/13/19 08:15:00 PM,8.9,9.30,13.0,,,,,
111,07/13/19 08:30:00 PM,8.9,9.21,13.0,,,,,
112,07/13/19 08:45:00 PM,8.9,9.12,13.0,,,,,
113,07/13/19 09:00:00 PM,8.9,9.01,13.1,,,,,
114,07/13/19 09:15:00 PM,8.1,8.94,11.9,,,,,
115,07/13/19 09:30:00 PM,8.9,8.86,13.1,,,,,
116,07/13/19 09:45:00 PM,8.1,8.78,12.0,,,,,
117,07/13/19 10:00:00 PM,8.9,8.71,13.2,,,,,
118,07/13/19 10:15:00 PM,8.1,8.65,12.0,,,,,
119,07/13/19 10:30:00 PM,8.1,8.58,12.0,,,,,
120,07/13/19 10:45:00 PM,8.1,8.51,12.0,,,,,
121,07/13/19 11:00:00 PM,8.1,8.45,12.1,,,,,
122,07/13/19 11:15:00 PM,8.1,8.38,12.1,,,,,
123,07/13/19 11:30:00 PM,8.1,8.34,12.1,,,,,
124,07/13/19 11:45:00 PM,8.1,8.22,12.1,,,,,
125,07/14/19 12:00:00 AM,8.1,8.17,12.2,,,,,
126,07/14/19 12:15:00 AM,8.1,8.08,12.2,,,,,
127,07/14/19 12:30:00 AM,8.1,8.00,12.2,,,,,
128,07/14/19 12:45:00 AM,8.9,7.90,13.5,,,,,
129,07/14/19 01:00:00 AM,8.9,7.79,13.5,,,,,
130,07/14/19 01:15:00 AM,8.9,7.72,13.5,,,,,
131,07/14/19 01:30:00 AM,8.2,7.65,12.5,,,,,
132,07/14/19 01:45:00 AM,8.9,7.61,13.6,,,,,
133,07/14/19 02:00:00 AM,8.2,7.55,12.5,,,,,
134,07/14/19 02:15:00 AM,8.2,7.53,12.5,,,,,
135,07/14/19 02:30:00 AM,8.2,7.50,12.5,,,,,
136,07/14/19 02:45:00 AM,8.2,7.46,12.6,,,,,
137,07/14/19 03:00:00 AM,8.2,7.44,12.6,,,,,
138,07/14/19 03:15:00 AM,8.2,7.41,12.6,,,,,
139,07/14/19 03:30:00 AM,8.2,7.37,12.6,,,,,
140,07/14/19 03:45:00 AM,8.2,7.30,12.6,,,,,
141,07/14/19 04:00:00 AM,8.9,7.26,13.7,,,,,
142,07/14/19 04:15:00 AM,8.2,7.21,12.6,,,,,
143,07/14/19 04:30:00 AM,8.9,7.15,13.8,,,,,
144,07/14/19 04:45:00 AM,8.9,7.09,13.8,,,,,
145,07/14/19 05:00:00 AM,8.9,7.01,13.8,,,,,
146,07/14/19 05:15:00 AM,8.2,6.96,12.7,,,,,
147,07/14/19 05:30:00 AM,8.9,6.92,13.8,,,,,
148,07/14/19 05:45:00 AM,8.2,6.87,12.8,,,,,
149,07/14/19 06:00:00 AM,8.2,6.80,12.8,,,,,
150,07/14/19 06:15:00 AM,8.9,6.75,13.9,,,,,
151,07/14/19 06:30:00 AM,8.9,6.69,13.9,,,,,
152,07/14/19 06:45:00 AM,8.2,6.66,12.8,,,,,
153,07/14/19 07:00:00 AM,8.2,6.63,12.9,,,,,
154,07/14/19 07:15:00 AM,8.2,6.62,12.9,,,,,
155,07/14/19 07:30:00 AM,8.2,6.66,12.8,,,,,
156,07/14/19 07:45:00 AM,8.2,6.66,12.8,,,,,
157,07/14/19 08:00:00 AM,8.2,6.55,12.9,,,,,
158,07/14/19 08:15:00 AM,8.2,6.47,12.9,,,,,
159,07/14/19 08:30:00 AM,8.2,6.50,12.9,,,,,
160,07/14/19 08:45:00 AM,8.2,6.44,12.9,,,,,
161,07/14/19 09:00:00 AM,8.2,6.32,13.0,,,,,
162,07/14/19 09:15:00 AM,8.2,6.13,13.0,,,,,
163,07/14/19 09:30:00 AM,8.2,6.09,13.1,,,,,
164,07/14/19 09:45:00 AM,8.2,6.26,13.0,,,,,
165,07/14/19 10:00:00 AM,8.2,6.36,13.0,,,,,
166,07/14/19 10:15:00 AM,8.2,6.28,13.0,,,,,
167,07/14/19 10:30:00 AM,7.8,6.38,12.3,,,,,
168,07/14/19 10:45:00 AM,7.8,6.61,12.2,,,,,
169,07/14/19 11:00:00 AM,7.8,6.70,12.2,,,,,
170,07/14/19 11:15:00 AM,7.8,6.79,12.2,,,,,
171,07/14/19 11:30:00 AM,7.8,6.82,12.2,,,,,
172,07/14/19 11:45:00 AM,7.8,6.75,12.2,,,,,
173,07/14/19 12:00:00 PM,7.8,7.00,12.1,,,,,
174,07/14/19 12:15:00 PM,7.8,7.13,12.1,,,,,
175,07/14/19 12:30:00 PM,7.0,7.20,10.8,,,,,
176,07/14/19 12:45:00 PM,7.8,7.30,12.0,,,,,
177,07/14/19 01:00:00 PM,7.0,7.29,10.8,,,,,
178,07/14/19 01:15:00 PM,7.0,7.22,10.8,,,,,
179,07/14/19 01:30:00 PM,7.0,7.25,10.8,,,,,
180,07/14/19 01:45:00 PM,7.0,7.22,10.8,,,,,
181,07/14/19 02:00:00 PM,7.0,7.19,10.8,,,,,
182,07/14/19 02:15:00 PM,7.0,7.13,10.8,,,,,
183,07/14/19 02:30:00 PM,7.0,7.13,10.8,,,,,
184,07/14/19 02:45:00 PM,7.0,7.09,10.8,,,,,
185,07/14/19 03:00:00 PM,7.0,7.16,10.8,,,,,
186,07/14/19 03:15:00 PM,7.0,7.20,10.8,,,,,
187,07/14/19 03:30:00 PM,7.0,7.15,10.8,,,,,
188,07/14/19 03:45:00 PM,7.0,7.08,10.8,,,,,
189,07/14/19 04:00:00 PM,7.0,7.05,10.8,,,,,
190,07/14/19 04:15:00 PM,7.0,6.97,10.9,,,,,
191,07/14/19 04:30:00 PM,7.8,6.94,12.1,,,,,
192,07/14/19 04:45:00 PM,7.0,6.90,10.9,,,,,
193,07/14/19 05:00:00 PM,7.0,6.83,10.9,,,,,
194,07/14/19 05:15:00 PM,7.0,6.76,10.9,,,,,
195,07/14/19 05:30:00 PM,7.8,6.70,12.2,,,,,
196,07/14/19 05:45:00 PM,7.0,6.61,11.0,,,,,
197,07/14/19 06:00:00 PM,7.0,6.45,11.0,,,,,
198,07/14/19 06:15:00 PM,7.0,6.36,11.1,,,,,
199,07/14/19 06:30:00 PM,7.0,6.32,11.1,,,,,
200,07/14/19 06:45:00 PM,7.0,6.21,11.1,,,,,
201,07/14/19 07:00:00 PM,7.0,6.16,11.1,,,,,
202,07/14/19 07:15:00 PM,7.0,6.08,11.2,,,,,
203,07/14/19 07:30:00 PM,7.0,6.00,11.2,,,,,
204,07/14/19 07:45:00 PM,7.0,5.92,11.2,,,,,
205,07/14/19 08:00:00 PM,7.0,5.88,11.2,,,,,
206,07/14/19 08:15:00 PM,7.0,5.83,11.2,,,,,
207,07/14/19 08:30:00 PM,7.8,5.80,12.5,,,,,
208,07/14/19 08:45:00 PM,7.8,5.76,12.5,,,,,
209,07/14/19 09:00:00 PM,7.0,5.71,11.3,,,,,
210,07/14/19 09:15:00 PM,7.8,5.66,12.6,,,,,
211,07/14/19 09:30:00 PM,7.8,5.61,12.6,,,,,
212,07/14/19 09:45:00 PM,7.0,5.58,11.3,,,,,
213,07/14/19 10:00:00 PM,7.8,5.53,12.6,,,,,
214,07/14/19 10:15:00 PM,7.8,5.49,12.6,,,,,
215,07/14/19 10:30:00 PM,7.0,5.46,11.4,,,,,
216,07/14/19 10:45:00 PM,7.0,5.38,11.4,,,,,
217,07/14/19 11:00:00 PM,7.0,5.34,11.4,,,,,
218,07/14/19 11:15:00 PM,7.0,5.33,11.4,,,,,
219,07/14/19 11:30:00 PM,7.0,5.30,11.4,,,,,
220,07/14/19 11:45:00 PM,7.0,5.26,11.4,,,,,
221,07/15/19 12:00:00 AM,7.0,5.24,11.4,,,,,
222,07/15/19 12:15:00 AM,7.0,5.20,11.4,,,,,
223,07/15/19 12:30:00 AM,7.8,5.16,12.8,,,,,
224,07/15/19 12:45:00 AM,7.1,5.12,11.6,,,,,
225,07/15/19 01:00:00 AM,7.1,5.03,11.7,,,,,
226,07/15/19 01:15:00 AM,7.1,4.95,11.7,,,,,
227,07/15/19 01:30:00 AM,7.8,4.94,12.8,,,,,
228,07/15/19 01:45:00 AM,7.1,4.92,11.7,,,,,
229,07/15/19 02:00:00 AM,7.1,4.91,11.7,,,,,
230,07/15/19 02:15:00 AM,7.1,4.83,11.7,,,,,
