"Plot Title: EC 3"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636126, SEN S/N: 20636126, LBL: Conductivity)","Temp, °F (LGR S/N: 20636126, SEN S/N: 20636126)","Coupler Detached (LGR S/N: 20636126)","Coupler Attached (LGR S/N: 20636126)","Host Connected (LGR S/N: 20636126)","Stopped (LGR S/N: 20636126)","End Of File (LGR S/N: 20636126)"
1,07/10/19 12:26:08 PM,2.9,50.11,,,,,
2,07/10/19 12:26:16 PM,,,Logged,,,,
3,07/10/19 12:41:08 PM,6.7,50.58,,,,,
4,07/10/19 12:56:08 PM,6.7,51.49,,,,,
5,07/10/19 01:11:08 PM,6.3,52.11,,,,,
6,07/10/19 01:26:08 PM,6.6,52.70,,,,,
7,07/10/19 01:41:08 PM,7.0,53.33,,,,,
8,07/10/19 01:56:08 PM,6.6,53.60,,,,,
9,07/10/19 02:11:08 PM,7.0,53.96,,,,,
10,07/10/19 02:26:08 PM,7.0,54.32,,,,,
11,07/10/19 02:41:08 PM,6.3,54.61,,,,,
12,07/10/19 02:56:08 PM,7.0,54.68,,,,,
13,07/10/19 03:11:08 PM,6.6,54.45,,,,,
14,07/10/19 03:26:08 PM,6.6,54.01,,,,,
15,07/10/19 03:41:08 PM,6.6,53.64,,,,,
16,07/10/19 03:56:08 PM,6.3,53.33,,,,,
17,07/10/19 04:11:08 PM,6.6,53.20,,,,,
18,07/10/19 04:26:08 PM,6.6,53.08,,,,,
19,07/10/19 04:41:08 PM,7.0,52.84,,,,,
20,07/10/19 04:56:08 PM,6.6,52.43,,,,,
21,07/10/19 05:11:08 PM,6.7,52.05,,,,,
22,07/10/19 05:26:08 PM,6.7,51.69,,,,,
23,07/10/19 05:41:08 PM,6.7,51.26,,,,,
24,07/10/19 05:56:08 PM,7.0,50.79,,,,,
25,07/10/19 06:11:08 PM,6.7,50.31,,,,,
26,07/10/19 06:26:08 PM,6.7,49.87,,,,,
27,07/10/19 06:41:08 PM,6.7,49.46,,,,,
28,07/10/19 06:56:08 PM,6.7,49.03,,,,,
29,07/10/19 07:11:08 PM,6.7,48.65,,,,,
30,07/10/19 07:26:08 PM,7.1,48.29,,,,,
31,07/10/19 07:41:08 PM,7.1,47.93,,,,,
32,07/10/19 07:56:08 PM,6.7,47.57,,,,,
33,07/10/19 08:11:08 PM,6.7,47.25,,,,,
34,07/10/19 08:26:08 PM,6.7,46.90,,,,,
35,07/10/19 08:41:08 PM,7.1,46.54,,,,,
36,07/10/19 08:56:08 PM,7.1,46.22,,,,,
37,07/10/19 09:11:08 PM,6.7,45.88,,,,,
38,07/10/19 09:26:08 PM,7.1,45.52,,,,,
39,07/10/19 09:41:08 PM,6.7,45.21,,,,,
40,07/10/19 09:56:08 PM,6.7,44.87,,,,,
41,07/10/19 10:11:08 PM,6.7,44.64,,,,,
42,07/10/19 10:26:08 PM,6.7,44.37,,,,,
43,07/10/19 10:41:08 PM,6.7,44.13,,,,,
44,07/10/19 10:56:08 PM,7.1,43.86,,,,,
45,07/10/19 11:11:08 PM,7.1,43.65,,,,,
46,07/10/19 11:26:08 PM,7.1,43.41,,,,,
47,07/10/19 11:41:08 PM,6.7,43.21,,,,,
48,07/10/19 11:56:08 PM,6.7,43.03,,,,,
49,07/11/19 12:11:08 AM,6.7,42.89,,,,,
50,07/11/19 12:26:08 AM,6.7,42.64,,,,,
51,07/11/19 12:41:08 AM,6.7,42.48,,,,,
52,07/11/19 12:56:08 AM,7.1,42.31,,,,,
53,07/11/19 01:11:08 AM,6.7,42.24,,,,,
54,07/11/19 01:26:08 AM,7.1,42.17,,,,,
55,07/11/19 01:41:08 AM,7.1,42.10,,,,,
56,07/11/19 01:56:08 AM,7.1,41.99,,,,,
57,07/11/19 02:11:08 AM,6.7,41.88,,,,,
58,07/11/19 02:26:08 AM,7.1,41.74,,,,,
59,07/11/19 02:41:08 AM,6.7,41.61,,,,,
60,07/11/19 02:56:08 AM,7.1,41.54,,,,,
61,07/11/19 03:11:08 AM,7.1,41.43,,,,,
62,07/11/19 03:26:08 AM,6.7,41.31,,,,,
63,07/11/19 03:41:08 AM,6.7,41.16,,,,,
64,07/11/19 03:56:08 AM,6.7,40.96,,,,,
65,07/11/19 04:11:08 AM,6.7,40.82,,,,,
66,07/11/19 04:26:08 AM,6.7,40.73,,,,,
67,07/11/19 04:41:08 AM,7.1,40.68,,,,,
68,07/11/19 04:56:08 AM,7.1,40.64,,,,,
69,07/11/19 05:11:08 AM,7.1,40.59,,,,,
70,07/11/19 05:26:08 AM,6.7,40.53,,,,,
71,07/11/19 05:41:08 AM,7.1,40.51,,,,,
72,07/11/19 05:56:08 AM,6.7,40.37,,,,,
73,07/11/19 06:11:08 AM,7.1,40.28,,,,,
74,07/11/19 06:26:08 AM,7.1,40.17,,,,,
75,07/11/19 06:41:08 AM,7.1,40.10,,,,,
76,07/11/19 06:56:08 AM,7.1,39.99,,,,,
77,07/11/19 07:11:08 AM,7.1,39.87,,,,,
78,07/11/19 07:26:08 AM,6.7,39.78,,,,,
79,07/11/19 07:41:08 AM,7.5,39.70,,,,,
80,07/11/19 07:56:08 AM,6.7,39.67,,,,,
81,07/11/19 08:11:08 AM,6.7,39.92,,,,,
82,07/11/19 08:26:08 AM,7.1,40.32,,,,,
83,07/11/19 08:41:08 AM,7.1,40.93,,,,,
84,07/11/19 08:56:08 AM,7.1,41.54,,,,,
85,07/11/19 09:11:08 AM,7.1,42.33,,,,,
86,07/11/19 09:26:08 AM,6.3,43.05,,,,,
87,07/11/19 09:41:08 AM,7.1,43.61,,,,,
88,07/11/19 09:56:08 AM,7.1,44.11,,,,,
89,07/11/19 10:11:08 AM,7.1,44.56,,,,,
90,07/11/19 10:26:08 AM,7.1,45.25,,,,,
91,07/11/19 10:41:08 AM,7.1,46.29,,,,,
92,07/11/19 10:56:08 AM,7.1,47.41,,,,,
93,07/11/19 11:11:08 AM,7.1,48.51,,,,,
94,07/11/19 11:26:08 AM,7.0,49.60,,,,,
95,07/11/19 11:41:08 AM,7.0,50.74,,,,,
96,07/11/19 11:56:08 AM,7.0,51.57,,,,,
97,07/11/19 12:11:08 PM,7.0,52.48,,,,,
98,07/11/19 12:26:08 PM,7.0,53.37,,,,,
99,07/11/19 12:41:08 PM,7.0,54.25,,,,,
100,07/11/19 12:41:52 PM,,,,Logged,,,
101,07/11/19 12:41:58 PM,,,,,Logged,,
102,07/11/19 12:42:07 PM,,,,,,Logged,Logged
