"Plot Title: EC 3"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636126, SEN S/N: 20636126, LBL: Conductivity)","Temp, °C (LGR S/N: 20636126, SEN S/N: 20636126)","Specific Conductance, μS/cm (LGR S/N: 20636126)","Coupler Detached (LGR S/N: 20636126)","Coupler Attached (LGR S/N: 20636126)","Host Connected (LGR S/N: 20636126)","Stopped (LGR S/N: 20636126)","End Of File (LGR S/N: 20636126)"
1,07/12/19 01:00:00 PM,7.4,11.55,10.1,Logged,,,,
2,07/12/19 01:01:00 PM,7.4,11.57,10.1,,,,,
3,07/12/19 01:02:00 PM,7.4,11.61,10.1,,,,,
4,07/12/19 01:03:00 PM,7.4,11.62,10.1,,,,,
5,07/12/19 01:04:00 PM,7.4,11.65,10.1,,,,,
6,07/12/19 01:05:00 PM,7.4,11.66,10.1,,,,,
7,07/12/19 01:06:00 PM,7.4,11.69,10.1,,,,,
8,07/12/19 01:07:00 PM,7.4,11.70,10.1,,,,,
9,07/12/19 01:08:00 PM,7.4,11.73,10.1,,,,,
10,07/12/19 01:09:00 PM,7.4,11.75,10.1,,,,,
11,07/12/19 01:10:00 PM,7.4,11.75,10.1,,,,,
12,07/12/19 01:11:00 PM,7.4,11.78,10.1,,,,,
13,07/12/19 01:12:00 PM,7.4,11.81,10.1,,,,,
14,07/12/19 01:13:00 PM,7.4,11.82,10.1,,,,,
15,07/12/19 01:14:00 PM,7.4,11.85,10.1,,,,,
16,07/12/19 01:15:00 PM,7.4,11.86,10.1,,,,,
17,07/12/19 01:16:00 PM,7.4,11.87,10.1,,,,,
18,07/12/19 01:17:00 PM,7.0,11.90,9.5,,,,,
19,07/12/19 01:18:00 PM,7.4,11.91,10.1,,,,,
20,07/12/19 01:19:00 PM,7.4,11.93,10.0,,,,,
21,07/12/19 01:20:00 PM,7.4,11.95,10.0,,,,,
22,07/12/19 01:21:00 PM,7.4,11.97,10.0,,,,,
23,07/12/19 01:22:00 PM,7.4,11.98,10.0,,,,,
24,07/12/19 01:23:00 PM,7.4,11.98,10.0,,,,,
25,07/12/19 01:24:00 PM,7.4,12.00,10.0,,,,,
26,07/12/19 01:25:00 PM,7.4,12.00,10.0,,,,,
27,07/12/19 01:26:00 PM,7.4,12.02,10.0,,,,,
28,07/12/19 01:27:00 PM,7.4,12.02,10.0,,,,,
29,07/12/19 01:28:00 PM,7.4,12.03,10.0,,,,,
30,07/12/19 01:29:00 PM,7.4,12.03,10.0,,,,,
31,07/12/19 01:30:00 PM,7.4,12.03,10.0,,,,,
