"Plot Title: EC 3"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636126, SEN S/N: 20636126, LBL: Conductivity)","Temp, °C (LGR S/N: 20636126, SEN S/N: 20636126)","Coupler Detached (LGR S/N: 20636126)","Coupler Attached (LGR S/N: 20636126)","Host Connected (LGR S/N: 20636126)","Stopped (LGR S/N: 20636126)","End Of File (LGR S/N: 20636126)"
1,07/12/19 01:00:00 PM,7.4,11.55,Logged,,,,
2,07/12/19 01:01:00 PM,7.4,11.57,,,,,
3,07/12/19 01:02:00 PM,7.4,11.61,,,,,
4,07/12/19 01:03:00 PM,7.4,11.62,,,,,
5,07/12/19 01:04:00 PM,7.4,11.65,,,,,
6,07/12/19 01:05:00 PM,7.4,11.66,,,,,
7,07/12/19 01:06:00 PM,7.4,11.69,,,,,
8,07/12/19 01:07:00 PM,7.4,11.70,,,,,
9,07/12/19 01:08:00 PM,7.4,11.73,,,,,
10,07/12/19 01:09:00 PM,7.4,11.75,,,,,
11,07/12/19 01:10:00 PM,7.4,11.75,,,,,
12,07/12/19 01:11:00 PM,7.4,11.78,,,,,
13,07/12/19 01:12:00 PM,7.4,11.81,,,,,
14,07/12/19 01:13:00 PM,7.4,11.82,,,,,
15,07/12/19 01:14:00 PM,7.4,11.85,,,,,
16,07/12/19 01:15:00 PM,7.4,11.86,,,,,
17,07/12/19 01:16:00 PM,7.4,11.87,,,,,
18,07/12/19 01:17:00 PM,7.0,11.90,,,,,
19,07/12/19 01:18:00 PM,7.4,11.91,,,,,
20,07/12/19 01:19:00 PM,7.4,11.93,,,,,
21,07/12/19 01:20:00 PM,7.4,11.95,,,,,
22,07/12/19 01:21:00 PM,7.4,11.97,,,,,
23,07/12/19 01:22:00 PM,7.4,11.98,,,,,
24,07/12/19 01:23:00 PM,7.4,11.98,,,,,
25,07/12/19 01:24:00 PM,7.4,12.00,,,,,
26,07/12/19 01:25:00 PM,7.4,12.00,,,,,
27,07/12/19 01:26:00 PM,7.4,12.02,,,,,
28,07/12/19 01:27:00 PM,7.4,12.02,,,,,
29,07/12/19 01:28:00 PM,7.4,12.03,,,,,
30,07/12/19 01:29:00 PM,7.4,12.03,,,,,
31,07/12/19 01:30:00 PM,7.4,12.03,,,,,
32,07/12/19 01:31:00 PM,7.4,12.06,,,,,
33,07/12/19 01:32:00 PM,7.4,12.06,,,,,
34,07/12/19 01:33:00 PM,7.4,12.07,,,,,
35,07/12/19 01:34:00 PM,7.4,12.08,,,,,
36,07/12/19 01:35:00 PM,7.4,12.08,,,,,
37,07/12/19 01:36:00 PM,7.4,12.08,,,,,
38,07/12/19 01:37:00 PM,7.4,12.10,,,,,
39,07/12/19 01:38:00 PM,7.4,12.11,,,,,
40,07/12/19 01:39:00 PM,7.4,12.12,,,,,
41,07/12/19 01:40:00 PM,7.4,12.12,,,,,
42,07/12/19 01:41:00 PM,7.4,12.14,,,,,
43,07/12/19 01:42:00 PM,7.4,12.16,,,,,
44,07/12/19 01:43:00 PM,7.4,12.16,,,,,
45,07/12/19 01:44:00 PM,7.4,12.16,,,,,
46,07/12/19 01:45:00 PM,7.4,12.19,,,,,
47,07/12/19 01:46:00 PM,7.4,12.19,,,,,
48,07/12/19 01:47:00 PM,7.4,12.20,,,,,
49,07/12/19 01:48:00 PM,7.4,12.20,,,,,
50,07/12/19 01:49:00 PM,7.4,12.22,,,,,
51,07/12/19 01:50:00 PM,7.4,12.22,,,,,
52,07/12/19 01:51:00 PM,7.4,12.23,,,,,
53,07/12/19 01:52:00 PM,7.4,12.23,,,,,
54,07/12/19 01:53:00 PM,7.4,12.24,,,,,
55,07/12/19 01:54:00 PM,7.4,12.24,,,,,
56,07/12/19 01:55:00 PM,7.4,12.24,,,,,
57,07/12/19 01:56:00 PM,7.4,12.26,,,,,
58,07/12/19 01:57:00 PM,7.4,12.26,,,,,
59,07/12/19 01:58:00 PM,7.4,12.26,,,,,
60,07/12/19 01:59:00 PM,7.0,12.27,,,,,
61,07/12/19 02:00:00 PM,7.4,12.27,,,,,
62,07/12/19 02:01:00 PM,7.4,12.27,,,,,
63,07/12/19 02:02:00 PM,7.4,12.28,,,,,
64,07/12/19 02:03:00 PM,7.4,12.28,,,,,
65,07/12/19 02:04:00 PM,7.4,12.31,,,,,
66,07/12/19 02:05:00 PM,7.4,12.32,,,,,
67,07/12/19 02:06:00 PM,7.4,12.34,,,,,
68,07/12/19 02:07:00 PM,7.4,12.34,,,,,
69,07/12/19 02:08:00 PM,7.4,12.35,,,,,
70,07/12/19 02:09:00 PM,7.4,12.38,,,,,
71,07/12/19 02:10:00 PM,7.4,12.38,,,,,
72,07/12/19 02:11:00 PM,7.8,12.38,,,,,
73,07/12/19 02:12:00 PM,7.8,12.40,,,,,
74,07/12/19 02:13:00 PM,9.3,12.42,,,,,
75,07/12/19 02:14:00 PM,15.7,12.43,,,,,
76,07/12/19 02:15:00 PM,21.3,12.44,,,,,
77,07/12/19 02:16:00 PM,28.1,12.46,,,,,
78,07/12/19 02:17:00 PM,33.7,12.47,,,,,
79,07/12/19 02:18:00 PM,45.7,12.48,,,,,
80,07/12/19 02:19:00 PM,54.0,12.50,,,,,
81,07/12/19 02:20:00 PM,63.4,12.51,,,,,
82,07/12/19 02:21:00 PM,71.7,12.52,,,,,
83,07/12/19 02:22:00 PM,75.9,12.54,,,,,
84,07/12/19 02:23:00 PM,78.1,12.56,,,,,
85,07/12/19 02:24:00 PM,77.4,12.56,,,,,
86,07/12/19 02:25:00 PM,76.2,12.58,,,,,
87,07/12/19 02:26:00 PM,73.6,12.59,,,,,
88,07/12/19 02:27:00 PM,70.2,12.60,,,,,
89,07/12/19 02:28:00 PM,64.6,12.62,,,,,
90,07/12/19 02:29:00 PM,55.1,12.63,,,,,
91,07/12/19 02:30:00 PM,49.1,12.64,,,,,
92,07/12/19 02:31:00 PM,43.5,12.64,,,,,
93,07/12/19 02:32:00 PM,40.8,12.67,,,,,
94,07/12/19 02:33:00 PM,37.8,12.67,,,,,
95,07/12/19 02:34:00 PM,32.6,12.67,,,,,
96,07/12/19 02:35:00 PM,29.9,12.68,,,,,
97,07/12/19 02:36:00 PM,25.8,12.68,,,,,
98,07/12/19 02:37:00 PM,22.4,12.70,,,,,
99,07/12/19 02:38:00 PM,19.8,12.70,,,,,
100,07/12/19 02:39:00 PM,18.7,12.71,,,,,
101,07/12/19 02:40:00 PM,16.8,12.71,,,,,
102,07/12/19 02:41:00 PM,13.8,12.71,,,,,
103,07/12/19 02:42:00 PM,13.4,12.72,,,,,
104,07/12/19 02:43:00 PM,12.6,12.71,,,,,
105,07/12/19 02:44:00 PM,12.3,12.72,,,,,
106,07/12/19 02:45:00 PM,11.9,12.72,,,,,
107,07/12/19 02:46:00 PM,11.5,12.74,,,,,
108,07/12/19 02:47:00 PM,10.8,12.74,,,,,
109,07/12/19 02:48:00 PM,10.0,12.72,,,,,
110,07/12/19 02:49:00 PM,10.0,12.74,,,,,
111,07/12/19 02:50:00 PM,9.3,12.74,,,,,
112,07/12/19 02:51:00 PM,9.3,12.75,,,,,
113,07/12/19 02:52:00 PM,8.5,12.75,,,,,
114,07/12/19 02:53:00 PM,8.5,12.75,,,,,
115,07/12/19 02:54:00 PM,8.5,12.76,,,,,
116,07/12/19 02:55:00 PM,8.1,12.76,,,,,
117,07/12/19 02:56:00 PM,8.1,12.76,,,,,
118,07/12/19 02:57:00 PM,8.1,12.76,,,,,
119,07/12/19 02:58:00 PM,8.1,12.78,,,,,
120,07/12/19 02:59:00 PM,8.1,12.79,,,,,
121,07/12/19 03:00:00 PM,8.1,12.78,,,,,
122,07/12/19 03:01:00 PM,8.1,12.79,,,,,
123,07/12/19 03:02:00 PM,8.1,12.79,,,,,
124,07/12/19 03:03:00 PM,8.1,12.80,,,,,
125,07/12/19 03:04:00 PM,8.1,12.82,,,,,
126,07/12/19 03:05:00 PM,7.8,12.80,,,,,
127,07/12/19 03:06:00 PM,7.8,12.82,,,,,
128,07/12/19 03:07:00 PM,7.8,12.83,,,,,
129,07/12/19 03:08:00 PM,8.1,12.83,,,,,
130,07/12/19 03:09:00 PM,7.8,12.84,,,,,
131,07/12/19 03:10:00 PM,8.1,12.84,,,,,
132,07/12/19 03:11:00 PM,7.8,12.86,,,,,
133,07/12/19 03:12:00 PM,7.8,12.86,,,,,
134,07/12/19 03:13:00 PM,8.1,12.87,,,,,
135,07/12/19 03:14:00 PM,7.8,12.88,,,,,
136,07/12/19 03:15:00 PM,7.8,12.91,,,,,
137,07/12/19 03:16:00 PM,7.8,12.91,,,,,
138,07/12/19 03:17:00 PM,7.4,12.92,,,,,
139,07/12/19 03:18:00 PM,7.4,12.92,,,,,
140,07/12/19 03:19:00 PM,7.8,12.95,,,,,
141,07/12/19 03:20:00 PM,8.1,12.96,,,,,
142,07/12/19 03:21:00 PM,7.4,12.96,,,,,
143,07/12/19 03:22:00 PM,7.8,12.99,,,,,
144,07/12/19 03:23:00 PM,7.4,13.00,,,,,
145,07/12/19 03:24:00 PM,8.1,13.02,,,,,
146,07/12/19 03:25:00 PM,7.8,13.03,,,,,
147,07/12/19 03:26:00 PM,7.4,13.03,,,,,
148,07/12/19 03:27:00 PM,7.4,13.06,,,,,
149,07/12/19 03:28:00 PM,7.4,13.08,,,,,
150,07/12/19 03:29:00 PM,7.4,13.08,,,,,
151,07/12/19 03:30:00 PM,7.4,13.11,,,,,
152,07/12/19 03:31:00 PM,7.8,13.11,,,,,
153,07/12/19 03:32:00 PM,7.8,13.12,,,,,
154,07/12/19 03:33:00 PM,7.4,13.15,,,,,
155,07/12/19 03:34:00 PM,7.4,13.15,,,,,
156,07/12/19 03:35:00 PM,7.4,13.16,,,,,
157,07/12/19 03:36:00 PM,7.4,13.16,,,,,
158,07/12/19 03:37:00 PM,7.4,13.18,,,,,
159,07/12/19 03:38:00 PM,7.4,13.19,,,,,
160,07/12/19 03:39:00 PM,7.4,13.18,,,,,
161,07/12/19 03:40:00 PM,7.8,13.18,,,,,
162,07/12/19 03:41:00 PM,7.4,13.18,,,,,
163,07/12/19 03:42:00 PM,7.4,13.18,,,,,
164,07/12/19 03:43:00 PM,7.4,13.18,,,,,
165,07/12/19 03:44:00 PM,7.4,13.18,,,,,
166,07/12/19 03:45:00 PM,7.4,13.18,,,,,
167,07/12/19 03:46:00 PM,7.8,13.16,,,,,
168,07/12/19 03:47:00 PM,7.4,13.16,,,,,
169,07/12/19 03:48:00 PM,7.4,13.16,,,,,
170,07/12/19 03:49:00 PM,7.8,13.16,,,,,
