"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °F (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
1,07/11/19 11:52:18 AM,7.4,52.97,,,,,
2,07/11/19 11:52:25 AM,,,Logged,,,,
3,07/11/19 12:07:18 PM,7.7,54.41,,,,,
4,07/11/19 12:22:18 PM,7.0,55.49,,,,,
5,07/11/19 12:37:18 PM,7.7,56.16,,,,,
6,07/11/19 12:52:18 PM,7.7,56.98,,,,,
7,07/11/19 01:07:18 PM,6.9,58.03,,,,,
8,07/11/19 01:22:18 PM,7.7,59.16,,,,,
9,07/11/19 01:37:18 PM,7.7,59.92,,,,,
10,07/11/19 01:52:18 PM,7.7,60.30,,,,,
11,07/11/19 02:07:18 PM,7.7,60.33,,,,,
12,07/11/19 02:22:18 PM,7.7,60.22,,,,,
13,07/11/19 02:37:18 PM,7.7,59.54,,,,,
14,07/11/19 02:52:18 PM,7.7,58.91,,,,,
15,07/11/19 03:07:18 PM,7.7,58.23,,,,,
16,07/11/19 03:22:18 PM,7.7,57.52,,,,,
17,07/11/19 03:37:18 PM,7.7,56.84,,,,,
18,07/11/19 03:52:18 PM,7.7,56.52,,,,,
19,07/11/19 04:07:18 PM,7.7,56.23,,,,,
20,07/11/19 04:22:18 PM,7.7,55.76,,,,,
21,07/11/19 04:37:18 PM,7.7,55.42,,,,,
22,07/11/19 04:52:18 PM,7.7,55.27,,,,,
23,07/11/19 05:07:18 PM,7.7,55.26,,,,,
24,07/11/19 05:22:18 PM,7.7,54.90,,,,,
25,07/11/19 05:37:18 PM,7.7,54.43,,,,,
26,07/11/19 05:52:18 PM,7.7,53.92,,,,,
27,07/11/19 06:07:18 PM,7.7,53.51,,,,,
28,07/11/19 06:22:18 PM,7.7,53.06,,,,,
29,07/11/19 06:37:18 PM,7.7,52.57,,,,,
30,07/11/19 06:52:18 PM,7.7,52.25,,,,,
31,07/11/19 07:07:18 PM,7.7,51.94,,,,,
32,07/11/19 07:22:18 PM,7.7,51.67,,,,,
33,07/11/19 07:37:18 PM,7.7,51.42,,,,,
34,07/11/19 07:52:18 PM,7.7,51.22,,,,,
35,07/11/19 08:07:18 PM,7.7,51.03,,,,,
36,07/11/19 08:22:18 PM,7.7,50.83,,,,,
37,07/11/19 08:37:18 PM,8.1,50.59,,,,,
38,07/11/19 08:52:18 PM,7.7,50.36,,,,,
39,07/11/19 09:07:18 PM,8.1,50.16,,,,,
40,07/11/19 09:22:18 PM,8.1,49.98,,,,,
41,07/11/19 09:37:18 PM,8.1,49.82,,,,,
42,07/11/19 09:52:18 PM,7.7,49.62,,,,,
43,07/11/19 10:07:18 PM,7.7,49.48,,,,,
44,07/11/19 10:22:18 PM,7.8,49.30,,,,,
45,07/11/19 10:37:18 PM,7.8,49.15,,,,,
46,07/11/19 10:52:18 PM,7.8,48.97,,,,,
47,07/11/19 11:07:18 PM,8.1,48.85,,,,,
48,07/11/19 11:22:18 PM,7.8,48.78,,,,,
49,07/11/19 11:37:18 PM,8.1,48.67,,,,,
50,07/11/19 11:52:18 PM,8.1,48.54,,,,,
51,07/12/19 12:07:18 AM,8.1,48.40,,,,,
52,07/12/19 12:22:18 AM,8.1,48.27,,,,,
53,07/12/19 12:37:18 AM,8.1,48.15,,,,,
54,07/12/19 12:52:18 AM,8.1,48.06,,,,,
55,07/12/19 01:07:18 AM,7.8,47.97,,,,,
56,07/12/19 01:22:18 AM,8.1,47.82,,,,,
57,07/12/19 01:37:18 AM,8.1,47.73,,,,,
58,07/12/19 01:52:18 AM,8.1,47.64,,,,,
59,07/12/19 02:07:18 AM,8.1,47.52,,,,,
60,07/12/19 02:22:18 AM,8.1,47.43,,,,,
61,07/12/19 02:37:18 AM,8.1,47.32,,,,,
62,07/12/19 02:52:18 AM,8.1,47.23,,,,,
63,07/12/19 03:07:18 AM,8.1,47.14,,,,,
64,07/12/19 03:22:18 AM,8.1,47.08,,,,,
65,07/12/19 03:37:18 AM,8.1,47.01,,,,,
66,07/12/19 03:52:18 AM,8.1,46.92,,,,,
67,07/12/19 04:07:18 AM,7.8,46.85,,,,,
