"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
1,07/15/19 11:29:21 AM,9.3,5.76,,,,,
2,07/15/19 11:29:22 AM,7.4,5.76,,,,,
3,07/15/19 11:29:23 AM,7.4,5.79,,,,,
4,07/15/19 11:29:24 AM,7.4,5.79,,,,,
5,07/15/19 11:29:25 AM,7.4,5.78,,,,,
6,07/15/19 11:29:26 AM,7.4,5.78,,,,,
7,07/15/19 11:29:27 AM,1.4,5.78,,,,,
8,07/15/19 11:29:28 AM,7.4,5.79,,,,,
9,07/15/19 11:29:29 AM,9.3,5.83,,,,,
10,07/15/19 11:29:30 AM,0.3,5.86,Logged,,,,
11,07/15/19 11:29:31 AM,9.3,5.88,,,,,
12,07/15/19 11:29:32 AM,9.3,5.94,,,,,
13,07/15/19 11:29:33 AM,7.4,5.95,,,,,
14,07/15/19 11:29:34 AM,0.3,5.97,,,,,
15,07/15/19 11:29:35 AM,7.4,6.00,,,,,
16,07/15/19 11:29:36 AM,9.3,6.03,,,,,
17,07/15/19 11:29:37 AM,7.4,6.01,,,,,
18,07/15/19 11:29:38 AM,9.3,6.04,,,,,
19,07/15/19 11:29:39 AM,9.3,6.07,,,,,
20,07/15/19 11:29:40 AM,9.3,6.07,,,,,
21,07/15/19 11:29:41 AM,9.3,6.07,,,,,
22,07/15/19 11:29:42 AM,9.3,6.05,,,,,
23,07/15/19 11:29:43 AM,7.4,6.07,,,,,
24,07/15/19 11:29:44 AM,7.8,5.70,,,,,
25,07/15/19 11:29:45 AM,7.0,5.53,,,,,
26,07/15/19 11:29:46 AM,7.4,5.54,,,,,
27,07/15/19 11:29:47 AM,7.4,5.53,,,,,
28,07/15/19 11:29:48 AM,7.4,5.54,,,,,
29,07/15/19 11:29:49 AM,7.4,5.55,,,,,
30,07/15/19 11:29:50 AM,7.4,5.51,,,,,
31,07/15/19 11:29:51 AM,7.4,5.50,,,,,
32,07/15/19 11:29:52 AM,7.4,5.50,,,,,
33,07/15/19 11:29:53 AM,7.4,5.51,,,,,
34,07/15/19 11:29:54 AM,7.4,5.51,,,,,
35,07/15/19 11:29:55 AM,7.4,5.49,,,,,
36,07/15/19 11:29:56 AM,7.4,5.50,,,,,
37,07/15/19 11:29:57 AM,7.4,5.45,,,,,
38,07/15/19 11:29:58 AM,7.4,5.47,,,,,
39,07/15/19 11:29:59 AM,7.4,5.47,,,,,
40,07/15/19 11:30:00 AM,6.7,5.47,,,,,
41,07/15/19 11:30:01 AM,6.7,5.49,,,,,
42,07/15/19 11:30:02 AM,7.4,5.50,,,,,
43,07/15/19 11:30:03 AM,7.4,5.47,,,,,
44,07/15/19 11:30:04 AM,6.7,5.50,,,,,
45,07/15/19 11:30:05 AM,7.4,5.47,,,,,
46,07/15/19 11:30:06 AM,7.4,5.47,,,,,
47,07/15/19 11:30:07 AM,7.4,5.47,,,,,
48,07/15/19 11:30:08 AM,7.4,5.46,,,,,
49,07/15/19 11:30:09 AM,7.4,5.49,,,,,
50,07/15/19 11:30:10 AM,7.4,5.46,,,,,
51,07/15/19 11:30:11 AM,6.7,5.49,,,,,
52,07/15/19 11:30:12 AM,6.7,5.47,,,,,
53,07/15/19 11:30:13 AM,7.4,5.49,,,,,
54,07/15/19 11:30:14 AM,7.4,5.49,,,,,
55,07/15/19 11:30:15 AM,7.4,5.49,,,,,
56,07/15/19 11:30:16 AM,7.4,5.46,,,,,
57,07/15/19 11:30:17 AM,7.4,5.46,,,,,
58,07/15/19 11:30:18 AM,7.4,5.49,,,,,
59,07/15/19 11:30:19 AM,7.4,5.49,,,,,
60,07/15/19 11:30:20 AM,7.4,5.47,,,,,
61,07/15/19 11:30:21 AM,7.8,5.47,,,,,
62,07/15/19 11:30:22 AM,7.4,5.49,,,,,
63,07/15/19 11:30:23 AM,7.4,5.47,,,,,
