Plot Title: EC Logger 2								
#	"Date Time, GMT-05:00"	"Full Range, ?S/cm (LGR S/N: 20636127, SEN S/N: 20636127)"	"Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)"	Coupler Detached (LGR S/N: 20636127)	Coupler Attached (LGR S/N: 20636127)	Host Connected (LGR S/N: 20636127)	Stopped (LGR S/N: 20636127)	End Of File (LGR S/N: 20636127)
1	7/12/2019 17:00	8.1	12.91	Logged				
2	7/12/2019 17:15	7.7	12.74					
3	7/12/2019 17:30	7.7	12.58					
4	7/12/2019 17:45	8.1	12.29					
5	7/12/2019 18:00	7.7	12.03					
6	7/12/2019 18:15	7.7	11.79					
7	7/12/2019 18:30	8.1	11.54					
8	7/12/2019 18:45	8.1	11.32					
9	7/12/2019 19:00	8.1	11.12					
10	7/12/2019 19:15	8.1	10.92					
11	7/12/2019 19:30	8.1	10.78					
12	7/12/2019 19:45	8.1	10.61					
13	7/12/2019 20:00	8.1	10.47					
14	7/12/2019 20:15	8.1	10.33					
15	7/12/2019 20:30	8.1	10.21					
16	7/12/2019 20:45	8.5	10.09					
17	7/12/2019 21:00	8.5	10					
18	7/12/2019 21:15	8.5	9.87					
19	7/12/2019 21:30	8.5	9.75					
20	7/12/2019 21:45	8.5	9.65					
21	7/12/2019 22:00	8.5	9.57					
22	7/12/2019 22:15	8.5	9.47					
23	7/12/2019 22:30	8.9	9.38					
24	7/12/2019 22:45	8.5	9.32					
25	7/12/2019 23:00	8.5	9.24					
26	7/12/2019 23:15	8.5	9.19					
27	7/12/2019 23:30	8.5	9.13					
28	7/12/2019 23:45	8.5	9.07					
29	7/13/2019 0:00	8.5	9.01					
30	7/13/2019 0:15	8.5	8.96					
31	7/13/2019 0:30	8.1	8.9					
32	7/13/2019 0:45	8.5	8.84					
33	7/13/2019 1:00	8.5	8.8					
34	7/13/2019 1:15	8.5	8.75					
35	7/13/2019 1:30	8.5	8.69					
36	7/13/2019 1:45	8.5	8.63					
37	7/13/2019 2:00	8.5	8.58					
38	7/13/2019 2:15	8.5	8.54					
39	7/13/2019 2:30	8.5	8.49					
40	7/13/2019 2:45	8.5	8.44					
41	7/13/2019 3:00	8.1	8.37					
42	7/13/2019 3:15	8.5	8.22					
43	7/13/2019 3:30	8.5	8.19					
44	7/13/2019 3:45	8.5	8.12					
45	7/13/2019 4:00	8.5	8.08					
46	7/13/2019 4:15	8.5	8					
47	7/13/2019 4:30	8.5	7.96					
48	7/13/2019 4:45	8.5	7.92					
49	7/13/2019 5:00	8.5	7.86					
50	7/13/2019 5:15	8.5	7.78					
51	7/13/2019 5:30	8.5	7.67					
52	7/13/2019 5:45	8.2	7.57					
53	7/13/2019 6:00	8.5	7.49					
54	7/13/2019 6:15	8.9	7.47					
55	7/13/2019 6:30	8.9	7.47					
56	7/13/2019 6:45	8.2	7.45					
57	7/13/2019 7:00	8.5	7.4					
58	7/13/2019 7:15	8.2	7.38					
59	7/13/2019 7:30	8.2	7.38					
60	7/13/2019 7:45	8.2	7.4					
61	7/13/2019 8:00	8.2	7.44					
62	7/13/2019 8:15	8.2	7.46					
63	7/13/2019 8:30	8.2	7.53					
64	7/13/2019 8:45	8.2	7.59					
65	7/13/2019 9:00	8.1	7.71					
66	7/13/2019 9:15	8.1	7.84					
67	7/13/2019 9:30	8.1	7.91					
68	7/13/2019 9:45	8.1	8.08					
69	7/13/2019 10:00	8.1	8.24					
70	7/13/2019 10:15	8.1	8.32					
71	7/13/2019 10:30	8.1	8.4					
72	7/13/2019 10:45	8.1	8.51					
73	7/13/2019 11:00	8.1	8.79					
74	7/13/2019 11:15	8.1	9.16					
75	7/13/2019 11:30	8.1	9.29					
76	7/13/2019 11:45	8.1	9.34					
77	7/13/2019 12:00	8.1	9.58					
78	7/13/2019 12:15	8.1	9.87					
79	7/13/2019 12:30	8.1	10.05					
80	7/13/2019 12:45	8.1	10.29					
81	7/13/2019 13:00	8.1	10.37					
82	7/13/2019 13:15	8.1	10.58					
