"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
1,07/15/19 01:45:00 PM,7.0,6.61,Logged,,,
2,07/15/19 02:00:00 PM,7.0,6.88,,,,
3,07/15/19 02:15:00 PM,7.0,6.76,,,,
4,07/15/19 02:30:00 PM,7.0,6.97,,,,
5,07/15/19 02:45:00 PM,7.0,7.12,,,,
6,07/15/19 03:00:00 PM,7.0,7.24,,,,
7,07/15/19 03:15:00 PM,7.0,7.26,,,,
8,07/15/19 03:30:00 PM,7.0,7.28,,,,
9,07/15/19 03:45:00 PM,7.0,7.45,,,,
10,07/15/19 04:00:00 PM,7.0,7.54,,,,
11,07/15/19 04:15:00 PM,7.0,7.55,,,,
12,07/15/19 04:30:00 PM,7.0,7.53,,,,
13,07/15/19 04:45:00 PM,7.0,7.61,,,,
14,07/15/19 05:00:00 PM,7.0,7.72,,,,
15,07/15/19 05:15:00 PM,6.6,7.69,,,,
16,07/15/19 05:30:00 PM,6.6,7.55,,,,
17,07/15/19 05:45:00 PM,7.0,7.42,,,,
18,07/15/19 06:00:00 PM,7.8,7.33,,,,
19,07/15/19 06:15:00 PM,7.0,7.20,,,,
20,07/15/19 06:30:00 PM,6.7,7.05,,,,
21,07/15/19 06:45:00 PM,6.7,6.88,,,,
22,07/15/19 07:00:00 PM,7.0,6.74,,,,
23,07/15/19 07:15:00 PM,7.4,6.66,,,,
24,07/15/19 07:30:00 PM,7.8,6.58,,,,
25,07/15/19 07:45:00 PM,7.4,6.44,,,,
26,07/15/19 08:00:00 PM,6.7,6.36,,,,
27,07/15/19 08:15:00 PM,7.4,6.24,,,,
28,07/15/19 08:30:00 PM,6.7,6.07,,,,
29,07/15/19 08:45:00 PM,6.7,5.87,,,,
30,07/15/19 09:00:00 PM,7.4,5.72,,,,
31,07/15/19 09:15:00 PM,6.7,5.63,,,,
32,07/15/19 09:30:00 PM,7.4,5.54,,,,
33,07/15/19 09:45:00 PM,7.4,5.41,,,,
34,07/15/19 10:00:00 PM,7.4,5.25,,,,
35,07/15/19 10:15:00 PM,6.7,5.11,,,,
36,07/15/19 10:30:00 PM,7.4,4.98,,,,
37,07/15/19 10:45:00 PM,7.4,4.86,,,,
