"Plot Title: EC1"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °F (LGR S/N: 20636125, SEN S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","Coupler Attached (LGR S/N: 20636125)","Host Connected (LGR S/N: 20636125)","Stopped (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
1,07/16/19 01:00:00 PM,4.0,43.43,Logged,,,,
2,07/16/19 01:15:00 PM,26.9,43.02,,,,,
3,07/16/19 01:17:41 PM,,,,Logged,,,
4,07/16/19 01:18:04 PM,,,,,Logged,,
5,07/16/19 01:19:55 PM,,,Logged,,,,
6,07/16/19 01:30:00 PM,26.9,44.02,,,,,
7,07/16/19 01:45:00 PM,1.7,43.66,,,,,
8,07/16/19 02:00:00 PM,26.9,43.75,,,,,
9,07/16/19 02:15:00 PM,26.9,43.21,,,,,
10,07/16/19 02:30:00 PM,4.0,43.07,,,,,
11,07/16/19 02:45:00 PM,1.7,43.27,,,,,
12,07/16/19 03:00:00 PM,4.0,44.04,,,,,
13,07/16/19 03:15:00 PM,-1.7,44.67,,,,,
14,07/16/19 03:30:00 PM,-1.7,45.00,,,,,
15,07/16/19 03:45:00 PM,-1.7,45.12,,,,,
16,07/16/19 04:00:00 PM,-1.7,45.46,,,,,
17,07/16/19 04:15:00 PM,-1.7,45.36,,,,,
18,07/16/19 04:30:00 PM,-1.7,44.89,,,,,
19,07/16/19 04:45:00 PM,-1.7,44.44,,,,,
20,07/16/19 05:00:00 PM,4.0,44.01,,,,,
21,07/16/19 05:15:00 PM,-1.7,43.45,,,,,
22,07/16/19 05:30:00 PM,-1.7,42.87,,,,,
23,07/16/19 05:45:00 PM,-1.7,42.78,,,,,
24,07/16/19 06:00:00 PM,-1.6,42.57,,,,,
25,07/16/19 06:15:00 PM,-1.6,42.17,,,,,
26,07/16/19 06:30:00 PM,4.0,41.88,,,,,
27,07/16/19 06:45:00 PM,1.7,41.61,,,,,
28,07/16/19 07:00:00 PM,-1.6,41.40,,,,,
29,07/16/19 07:15:00 PM,-1.6,41.36,,,,,
30,07/16/19 07:30:00 PM,1.7,41.25,,,,,
31,07/16/19 07:45:00 PM,4.0,41.31,,,,,
32,07/16/19 08:00:00 PM,-1.6,41.25,,,,,
33,07/16/19 08:15:00 PM,26.9,41.31,,,,,
34,07/16/19 08:30:00 PM,1.7,41.58,,,,,
35,07/16/19 08:45:00 PM,-1.6,41.65,,,,,
36,07/16/19 09:00:00 PM,-1.6,41.31,,,,,
37,07/16/19 09:15:00 PM,4.0,41.32,,,,,
38,07/16/19 09:30:00 PM,-1.6,41.25,,,,,
39,07/16/19 09:45:00 PM,-1.6,41.16,,,,,
40,07/16/19 10:00:00 PM,-1.6,41.02,,,,,
41,07/16/19 10:15:00 PM,4.0,41.07,,,,,
42,07/16/19 10:30:00 PM,4.0,41.07,,,,,
43,07/16/19 10:45:00 PM,4.0,41.04,,,,,
44,07/16/19 11:00:00 PM,4.0,41.00,,,,,
45,07/16/19 11:15:00 PM,1.7,40.77,,,,,
46,07/16/19 11:30:00 PM,4.0,40.78,,,,,
47,07/16/19 11:45:00 PM,4.0,40.62,,,,,
48,07/17/19 12:00:00 AM,-1.6,40.51,,,,,
49,07/17/19 12:15:00 AM,4.0,40.42,,,,,
50,07/17/19 12:30:00 AM,4.0,40.42,,,,,
51,07/17/19 12:45:00 AM,4.0,40.48,,,,,
52,07/17/19 01:00:00 AM,-1.6,40.55,,,,,
53,07/17/19 01:15:00 AM,4.0,40.59,,,,,
54,07/17/19 01:30:00 AM,4.0,40.62,,,,,
55,07/17/19 01:45:00 AM,-1.6,40.41,,,,,
