"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °F (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","Coupler Attached (LGR S/N: 20636127)","Host Connected (LGR S/N: 20636127)","Stopped (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
1,07/15/19 01:45:00 PM,7.0,43.90,Logged,,,,
2,07/15/19 02:00:00 PM,7.0,44.38,,,,,
3,07/15/19 02:15:00 PM,7.0,44.17,,,,,
4,07/15/19 02:30:00 PM,7.0,44.55,,,,,
5,07/15/19 02:45:00 PM,7.0,44.82,,,,,
6,07/15/19 03:00:00 PM,7.0,45.03,,,,,
7,07/15/19 03:15:00 PM,7.0,45.07,,,,,
8,07/15/19 03:30:00 PM,7.0,45.10,,,,,
9,07/15/19 03:45:00 PM,7.0,45.41,,,,,
10,07/15/19 04:00:00 PM,7.0,45.57,,,,,
11,07/15/19 04:15:00 PM,7.0,45.59,,,,,
12,07/15/19 04:30:00 PM,7.0,45.55,,,,,
13,07/15/19 04:45:00 PM,7.0,45.70,,,,,
14,07/15/19 05:00:00 PM,7.0,45.90,,,,,
15,07/15/19 05:15:00 PM,6.6,45.84,,,,,
16,07/15/19 05:30:00 PM,6.6,45.59,,,,,
17,07/15/19 05:45:00 PM,7.0,45.36,,,,,
18,07/15/19 06:00:00 PM,7.8,45.19,,,,,
19,07/15/19 06:15:00 PM,7.0,44.96,,,,,
20,07/15/19 06:30:00 PM,6.7,44.69,,,,,
21,07/15/19 06:45:00 PM,6.7,44.38,,,,,
22,07/15/19 07:00:00 PM,7.0,44.13,,,,,
23,07/15/19 07:15:00 PM,7.4,43.99,,,,,
24,07/15/19 07:30:00 PM,7.8,43.84,,,,,
25,07/15/19 07:45:00 PM,7.4,43.59,,,,,
26,07/15/19 08:00:00 PM,6.7,43.45,,,,,
27,07/15/19 08:15:00 PM,7.4,43.23,,,,,
28,07/15/19 08:30:00 PM,6.7,42.93,,,,,
29,07/15/19 08:45:00 PM,6.7,42.57,,,,,
