"Month","Day","Year","Time","Flux","Temperature (C)","CO2 Soil (ppm) ","CO2 Soil STD (ppm)","CO2 ATM (ppm)","CO2 ATM STD (ppm)","Mode"
05,31,19,14:28:53,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1
05,31,19,14:30:00,   2.63,  26.1,  266.81,  17.695,  124.10,   7.793,0
05,31,19,14:35:00,   3.15,  29.6,  315.90,  15.736,  145.07,   8.216,0
05,31,19,14:40:00,   2.93,  31.9,  319.88,  13.840,  160.98,  12.071,0
05,31,19,14:45:00,   3.01,  33.5,  340.11,  13.593,  177.25,  10.834,0
05,31,19,14:50:00,   3.04,  34.9,  352.84,  12.656,  188.19,   9.304,0
05,31,19,14:55:00,   3.11,  36.1,  358.72,  12.920,  190.14,  12.309,0
05,31,19,15:00:00,   2.97,  37.0,  351.79,  15.638,  190.90,  13.220,0
05,31,19,15:05:00,   3.04,  37.7,  357.51,  15.552,  192.59,  13.048,0
05,31,19,15:10:00,   3.05,  38.2,  393.74,  10.564,  228.77,  16.852,0
05,31,19,15:15:00,   3.04,  38.7,  384.50,  12.877,  220.00,  16.892,0
05,31,19,15:20:00,   3.24,  39.1,  375.30,  11.884,  199.82,  18.196,0
05,31,19,15:25:00,   3.18,  39.5,  368.80,   7.109,  196.67,  15.875,0
05,31,19,15:30:00,   3.36,  40.0,  381.62,  13.559,  199.89,  15.947,0
05,31,19,15:35:00,   3.42,  40.4,  381.85,  11.609,  196.57,  10.146,0
05,31,19,15:40:00,   3.29,  40.9,  368.45,  14.946,  190.20,  14.213,0
05,31,19,15:45:00,   3.20,  41.4,  366.33,  15.165,  193.04,  13.451,0
05,31,19,15:50:00,   3.59,  41.8,  415.85,  10.681,  221.46,  11.953,0
05,31,19,15:55:00,   3.11,  42.2,  367.20,  11.071,  198.63,  16.352,0
05,31,19,16:00:00,   2.80,  42.6,  336.01,  11.622,  184.17,  12.123,0
05,31,19,16:05:00,   2.46,  43.2,  379.97,   6.400,  246.47,   6.460,0
05,31,19,16:10:00,   2.93,  44.0,  378.89,  12.747,  220.43,  17.644,0
05,31,19,16:29:15,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1
05,31,19,16:33:43,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1
05,31,19,16:35:00,   0.04,  38.9,  169.18,   3.122,  167.24,   2.834,0
05,31,19,16:40:00,   0.12,  39.5,  175.09,   2.938,  168.71,   1.659,0
05,31,19,16:45:00,   0.04,  39.3,  176.71,   3.013,  174.65,   4.359,0
05,31,19,16:50:00,  -0.02,  39.0,  175.62,   4.067,  176.53,   4.947,0
05,31,19,16:55:00,  -0.02,  38.5,  172.30,   3.509,  173.13,   5.021,0
05,31,19,17:00:00,   0.06,  38.0,  170.13,   4.288,  167.11,   3.222,0
05,31,19,17:05:00,   0.03,  37.6,  166.36,   5.050,  164.82,   4.557,0
05,31,19,17:10:00,   0.00,  37.2,  169.07,   1.723,  168.94,   1.224,0
05,31,19,17:15:00,  -0.04,  36.8,  168.01,   3.807,  169.95,   3.327,0
05,31,19,17:20:00,   0.05,  36.5,  169.13,   2.892,  166.32,   1.320,0
05,31,19,17:25:00,   0.03,  36.1,  169.18,   4.167,  167.40,   3.530,0
05,31,19,17:30:00,  -0.00,  35.9,  166.77,   0.963,  167.01,   2.129,0
05,31,19,17:35:00,  -0.11,  35.6,  164.60,   4.193,  170.64,   1.043,0
05,31,19,17:40:00,   0.00,  35.4,  168.62,   1.582,  168.58,   3.061,0
05,31,19,17:45:00,   0.01,  35.2,  169.81,   3.976,  169.42,   3.507,0
05,31,19,17:50:00,  -0.09,  35.0,  169.34,   3.568,  174.19,   1.785,0
05,31,19,17:55:00,   0.05,  34.9,  172.04,   2.934,  169.25,   1.825,0
05,31,19,18:00:00,   0.03,  34.7,  173.24,   1.219,  171.82,   3.395,0
05,31,19,18:05:00,  -0.04,  34.6,  169.86,   2.744,  172.09,   3.160,0
05,31,19,18:10:00,  -0.06,  34.5,  170.73,   3.785,  174.16,   3.163,0
05,31,19,18:15:00,   0.04,  34.4,  173.41,   4.478,  171.21,   2.706,0
05,31,19,18:20:00,   0.03,  34.3,  174.80,   1.519,  173.00,   2.347,0
05,31,19,18:25:00,   0.04,  34.2,  176.91,   4.025,  174.82,   2.729,0
05,31,19,18:30:00,   0.09,  34.2,  177.25,   2.726,  172.56,   2.538,0
05,31,19,18:35:00,  -0.01,  34.1,  178.15,   5.018,  178.46,   2.455,0
05,31,19,18:40:00,   0.01,  34.0,  175.75,   2.290,  175.44,   3.825,0
05,31,19,18:45:00,   0.01,  34.0,  175.10,   2.529,  174.74,   1.038,0
05,31,19,18:50:00,  -0.08,  33.9,  176.23,   2.473,  180.55,   2.477,0
05,31,19,18:55:00,   0.04,  33.9,  178.44,   3.544,  176.42,   2.650,0
05,31,19,19:00:00,   0.04,  33.9,  180.71,   3.325,  178.62,   3.922,0
05,31,19,19:05:00,  -0.06,  33.8,  179.86,   1.425,  183.33,   1.355,0
05,31,19,19:10:00,   0.01,  33.8,  182.16,   2.689,  181.66,   3.931,0
05,31,19,19:15:00,  -0.01,  33.7,  187.15,   1.574,  187.51,   2.743,0
05,31,19,19:20:00,   0.00,  33.7,  187.74,   3.188,  187.63,   0.813,0
05,31,19,19:25:00,   0.04,  33.6,  188.72,   3.126,  186.69,   3.868,0
05,31,19,19:30:00,   0.02,  33.6,  184.93,   4.351,  183.78,   4.140,0
05,31,19,19:35:00,   0.03,  33.5,  186.25,   4.885,  184.83,   3.182,0
05,31,19,19:40:00,  -0.05,  33.4,  184.04,   3.698,  186.49,   1.568,0
05,31,19,19:45:00,   0.02,  33.3,  187.74,   1.874,  186.64,   3.548,0
05,31,19,19:50:00,  -0.02,  33.2,  186.56,   2.825,  187.81,   3.961,0
05,31,19,19:55:00,  -0.03,  33.2,  186.30,   3.448,  187.69,   1.986,0
05,31,19,20:00:00,  -0.04,  33.1,  187.88,   4.341,  190.01,   3.115,0
05,31,19,20:05:00,   0.07,  33.0,  189.92,   4.188,  186.27,   2.743,0
05,31,19,20:10:00,   0.02,  33.0,  188.75,   3.616,  187.80,   3.209,0
05,31,19,20:15:00,   0.02,  32.9,  190.30,   2.061,  189.41,   2.049,0
05,31,19,20:20:00,   0.05,  32.8,  188.63,   1.538,  186.19,   3.681,0
05,31,19,20:25:00,   0.00,  32.8,  190.66,   1.149,  190.50,   3.139,0
05,31,19,20:30:00,   0.01,  32.7,  190.19,   3.433,  189.58,   4.188,0
05,31,19,20:35:00,  -0.04,  32.6,  190.29,   3.101,  192.47,   3.706,0
05,31,19,20:40:00,   0.05,  32.5,  192.24,   3.278,  189.37,   2.037,0
05,31,19,20:45:00,  -0.05,  32.5,  190.61,   2.487,  193.08,   2.561,0
05,31,19,20:50:00,   0.03,  32.4,  192.61,   2.580,  191.25,   5.612,0
05,31,19,20:55:00,  -0.09,  32.4,  187.73,   1.420,  192.45,   3.639,0
05,31,19,21:00:00,   0.05,  32.3,  191.80,   2.598,  188.84,   3.406,0
05,31,19,21:05:00,   0.05,  32.2,  190.27,   3.228,  187.40,   3.855,0
05,31,19,21:10:00,   0.01,  32.2,  189.82,   2.491,  189.31,   4.095,0
05,31,19,21:15:00,  -0.10,  32.1,  187.59,   2.086,  192.96,   1.562,0
05,31,19,21:20:00,  -0.03,  32.0,  190.73,   5.250,  192.36,   4.713,0
05,31,19,21:25:00,   0.06,  32.0,  192.90,   4.356,  189.62,   2.770,0
05,31,19,21:30:00,  -0.07,  32.0,  191.09,   2.957,  194.91,   2.464,0
05,31,19,21:35:00,  -0.01,  31.9,  191.79,   1.031,  192.38,   1.471,0
05,31,19,21:40:00,  -0.03,  31.9,  193.81,   3.264,  195.34,   2.849,0
05,31,19,21:45:00,   0.00,  31.9,  198.66,   1.595,  198.40,   1.766,0
05,31,19,21:50:00,   0.04,  31.9,  198.56,   1.760,  196.54,   2.631,0
05,31,19,21:55:00,  -0.00,  31.9,  200.34,   3.640,  200.52,   3.255,0
05,31,19,22:00:00,  -0.01,  31.9,  197.23,   2.761,  197.89,   2.728,0
05,31,19,22:05:00,  -0.03,  31.8,  198.02,   2.170,  199.54,   1.682,0
05,31,19,22:10:00,  -0.02,  31.8,  201.33,   1.447,  202.46,   1.977,0
05,31,19,22:15:00,   0.02,  31.8,  202.09,   2.530,  201.24,   3.221,0
05,31,19,22:20:00,  -0.00,  31.8,  201.98,   0.667,  202.11,   4.490,0
05,31,19,22:25:00,  -0.03,  31.8,  201.76,   1.387,  203.17,   3.824,0
05,31,19,22:30:00,   0.00,  31.8,  203.05,   2.292,  203.02,   1.560,0
05,31,19,22:35:00,  -0.02,  31.8,  200.17,   2.870,  201.49,   1.860,0
05,31,19,22:40:00,  -0.01,  31.8,  203.06,   3.285,  203.45,   2.902,0
05,31,19,22:45:00,  -0.04,  31.8,  202.53,   2.820,  204.71,   3.327,0
05,31,19,22:50:00,   0.01,  31.7,  205.58,   3.049,  204.77,   1.814,0
05,31,19,22:55:00,   0.06,  31.7,  206.91,   4.777,  203.40,   2.934,0
