,eos2,eos1
11:35:00,2.54,1.93
11:40:00,2.78,1.92
11:45:00,2.78,1.8
11:50:00,2.89,1.9
11:55:00,2.77,2.02
12:00:00,2.3,1.68
12:05:00,2.61,1.75
12:10:00,2.5,1.67
12:15:00,2.58,1.73
12:20:00,2.44,1.76
12:25:00,2.46,1.69
12:30:00,2.66,1.84
12:35:00,2.48,1.67
12:40:00,2.38,1.73
12:50:00,2.37,1.91
12:55:00,2.34,1.75
13:00:00,2.3,1.78
13:05:00,2.08,1.8
13:15:00,1.98,1.72
13:20:00,2.04,1.72
13:25:00,2.29,1.72
13:30:00,1.95,1.68
13:40:00,2.21,1.87
13:45:00,2.08,1.62
13:50:00,2.05,1.59
13:55:00,2.16,1.84
14:05:00,2.12,1.85
14:10:00,1.78,1.45
14:15:00,2.08,1.5
14:20:00,2.22,1.58
14:30:00,2.02,1.61
14:35:00,1.76,1.44
14:40:00,1.81,1.37
14:45:00,1.91,1.63
14:55:00,1.84,1.69
