,"CO2, ppm"
7/16/19 14:00,1320
7/16/19 14:10,1220
7/16/19 14:15,1240
7/16/19 14:30,1300
7/16/19 14:45,1120
7/16/19 15:00,1130
7/16/19 15:15,1290
7/16/19 15:30,1240
7/16/19 15:45,1250
7/16/19 16:00,1210
7/16/19 16:15,1150
7/16/19 16:30,1130
7/16/19 16:45,1110
7/16/19 17:00,1000
7/16/19 17:15,1200
7/16/19 17:30,1020
7/16/19 17:45,1050
7/16/19 18:00,1270
7/16/19 18:15,1290
7/16/19 18:30,1230
7/16/19 18:45,1670
7/16/19 19:00,1650
7/16/19 19:15,1450
7/16/19 19:30,1620
7/16/19 19:45,1590
7/16/19 20:00,1650
