"Point","Time,"C02, ppm"
Syn 1,11:35,450
Syn 2,11:43,440
Syn 3,11:48,470
Syn 4,11:54,490
Syn 5,12:00,510
Syn 6,12:06,470
Syn 7,12:13,500
Syn 8,12:21,530
Syn 9,12:28,520
Syn 10,12:34,480
Syn 11,12:42,510
Syn 12,12:58,550
Syn 13,13:15,490
Syn 14,13:20,540
Syn 15,13:27,510
Syn 16,13:32,470
Syn 17,13:38,430
Syn 18,13:46,580
WF,13:42,490
Syn 19,13:46,850
Syn 20,14:27,990
Syn 21,14:36,930
Syn 22,14:43,1150
Syn 23,14:50,1270
Syn 24,14:57,1320
Syn 25,15:06,1150
Syn 26,15:12,1210
Syn 27,15:19,1470
Syn 28,15:25,1350
Syn 29,15:32,1560
Syn 30,15:38,1450
Syn 31,15:45,1420
Syn 32,15:55,1470
Syn 33,16:02,1510
Syn 34,16:10,1370
Syn 35,16:16,1480
