,,"CO2, ppm"
Syn 1,11:02,510
Syn 2,11:05,480
Syn 3,11:13,530
Syn 4,11:20,530
Syn 5,11:40,670
Syn 6,11:45,520
Syn 7,11:52,540
Syn 8,11:58,590
Syn 9,12:03,570
Syn 10,12:11,490
Syn 11,12:16,570
Syn 12,12:22,510
Syn 13,12:32,490
Syn 14,12:39,470
Syn 15,12:47,540
Syn 16,12:54,380
Syn 17,1:01,450
Syn 18,1:05,620
WF,1:18,1100
Syn 19,1:12,740
Syn 20,1:22,1240
Syn 21,1:26,1390
Syn 22,1:34,1440
Syn 23,1:40,1890
Syn 24,1:44,2100
Syn 25,1:49,2250
Syn 26,1:58,2340
Syn 27,2:01,2240
Syn 28,2:03,2450
Syn 29,2:10,2380
Syn 30,2:16,2300
