,"CO2, ppm"
7/6/2019 11:28:55 ,350
7/6/2019 11:28:56 ,350
7/6/2019 11:28:57 ,360
7/6/2019 11:28:58 ,370
7/6/2019 11:28:59 ,380
7/6/2019 11:29:00 ,390
7/6/2019 11:29:01 ,390
7/6/2019 11:29:02 ,400
7/6/2019 11:29:03 ,410
7/6/2019 11:29:04 ,420
7/6/2019 11:29:05 ,430
7/6/2019 11:29:06 ,440
7/6/2019 11:29:07 ,460
7/6/2019 11:29:08 ,470
7/6/2019 11:29:09 ,490
7/6/2019 11:29:10 ,500
7/6/2019 11:29:11 ,510
7/6/2019 11:29:12 ,530
7/6/2019 11:29:13 ,540
7/6/2019 11:29:14 ,550
7/6/2019 11:29:15 ,560
7/6/2019 11:29:16 ,560
7/6/2019 11:29:17 ,560
7/6/2019 11:29:18 ,560
7/6/2019 11:29:19 ,560
7/6/2019 11:29:20 ,560
7/6/2019 11:29:21 ,560
7/6/2019 11:29:22 ,550
7/6/2019 11:29:23 ,550
7/6/2019 11:29:24 ,550
7/6/2019 11:29:25 ,540
7/6/2019 11:29:26 ,540
7/6/2019 11:29:27 ,540
7/6/2019 11:29:28 ,530
7/6/2019 11:29:29 ,530
7/6/2019 11:29:30 ,530
7/6/2019 11:29:31 ,530
7/6/2019 11:29:32 ,530
7/6/2019 11:29:33 ,530
7/6/2019 11:29:34 ,540
7/6/2019 11:29:35 ,540
7/6/2019 11:29:36 ,540
7/6/2019 11:29:37 ,550
7/6/2019 11:29:38 ,550
7/6/2019 11:29:39 ,560
7/6/2019 11:29:40 ,570
7/6/2019 11:29:41 ,580
7/6/2019 11:29:42 ,580
7/6/2019 11:29:43 ,590
7/6/2019 11:29:44 ,600
7/6/2019 11:29:45 ,610
7/6/2019 11:29:46 ,620
7/6/2019 11:29:47 ,630
7/6/2019 11:29:48 ,640
7/6/2019 11:29:49 ,650
7/6/2019 11:29:50 ,660
7/6/2019 11:29:51 ,670
7/6/2019 11:29:52 ,670
7/6/2019 11:29:53 ,680
7/6/2019 11:29:54 ,690
7/6/2019 11:29:55 ,700
7/6/2019 11:29:56 ,700
7/6/2019 11:29:57 ,700
7/6/2019 11:29:58 ,710
7/6/2019 11:29:59 ,720
7/6/2019 11:30:00 ,720
7/6/2019 11:30:01 ,730
7/6/2019 11:30:02 ,740
7/6/2019 11:30:03 ,750
7/6/2019 11:30:04 ,760
7/6/2019 11:30:05 ,770
7/6/2019 11:30:06 ,780
7/6/2019 11:30:07 ,780
7/6/2019 11:30:08 ,790
7/6/2019 11:30:09 ,800
7/6/2019 11:30:10 ,810
7/6/2019 11:30:11 ,820
7/6/2019 11:30:12 ,830
7/6/2019 11:30:13 ,830
7/6/2019 11:30:14 ,840
7/6/2019 11:30:15 ,850
7/6/2019 11:30:16 ,860
7/6/2019 11:30:17 ,870
7/6/2019 11:30:18 ,880
7/6/2019 11:30:19 ,880
7/6/2019 11:30:20 ,880
7/6/2019 11:30:21 ,890
7/6/2019 11:30:22 ,890
7/6/2019 11:30:23 ,890
7/6/2019 11:30:24 ,890
7/6/2019 11:30:25 ,880
7/6/2019 11:30:26 ,880
7/6/2019 11:30:27 ,870
7/6/2019 11:30:28 ,870
7/6/2019 11:30:29 ,860
7/6/2019 11:30:30 ,850
7/6/2019 11:30:31 ,850
7/6/2019 11:30:32 ,840
7/6/2019 11:30:33 ,840
7/6/2019 11:30:34 ,830
7/6/2019 11:30:35 ,820
7/6/2019 11:30:36 ,810
7/6/2019 11:30:37 ,800
7/6/2019 11:30:38 ,790
7/6/2019 11:30:39 ,780
7/6/2019 11:30:40 ,780
7/6/2019 11:30:41 ,790
7/6/2019 11:30:42 ,790
7/6/2019 11:30:43 ,800
7/6/2019 11:30:44 ,810
7/6/2019 11:30:45 ,820
7/6/2019 11:30:46 ,840
7/6/2019 11:30:47 ,850
7/6/2019 11:30:48 ,870
7/6/2019 11:30:49 ,890
7/6/2019 11:30:50 ,890
7/6/2019 11:30:51 ,900
7/6/2019 11:30:52 ,910
7/6/2019 11:30:53 ,920
