,ele,time,name,geometry,
1,4234.255859,2019/07/06 15:07:49+00,WP1PUDDLE1,c(-78.199215, -0.321509)
2,4233.869141,2019/07/06 15:22:53+00,WP1PUD2,c(-78.199452, -0.321675)
4,4232.262207,2019/07/06 15:29:02+00,WP1PUD3,c(-78.199505, -0.321633)
5,4230.994141,2019/07/06 15:51:17+00,WP1PUD4,c(-78.199705, -0.321904)
6,4228.082031,2019/07/06 15:59:28+00,WP1C2,c(-78.199767, -0.321954)
7,4232.081055,2019/07/06 16:00:37+00,WP1C1,c(-78.199707, -0.321907)
8,4230.874023,2019/07/06 16:02:26+00,WP1C3,c(-78.199587, -0.321851)
9,4232.994141,2019/07/06 16:05:35+00,WP1PUD5,c(-78.199554, -0.321841)
10,4169.858887,2019/07/06 16:40:24+00,LAKE3,c(-78.200891, -0.324269)
12,4103.069824,2019/07/06 17:10:23+00,OUTWETC1,c(-78.20047, -0.328186)
14,4102.611816,2019/07/06 17:51:14+00,STRT1C1,c(-78.200429, -0.328167)
15,4102.910156,2019/07/06 17:52:23+00,C1.1,c(-78.200481, -0.328216)
16,4103.331055,2019/07/06 17:52:50+00,C1.2,c(-78.200516, -0.32825)
17,4104.185059,2019/07/06 17:53:12+00,C1.3,c(-78.200544, -0.328284)
18,4102.972168,2019/07/06 17:53:29+00,C1.4,c(-78.200546, -0.328313)
19,4103.154785,2019/07/06 17:53:49+00,C1.5,c(-78.200565, -0.328355)
20,4105.035156,2019/07/06 17:54:19+00,C1.6,c(-78.200587, -0.3284)
21,4104.754883,2019/07/06 17:54:39+00,C1.7,c(-78.200579, -0.328431)
22,4105.041992,2019/07/06 17:55:02+00,C1.8,c(-78.200587, -0.328449)
23,4102.930664,2019/07/06 17:56:37+00,C1.9,c(-78.200592, -0.328493)
24,4103.74707,2019/07/06 17:57:32+00,C1.10,c(-78.200609, -0.328538)
25,4103.131348,2019/07/06 17:57:53+00,C1.11,c(-78.200582, -0.32857)
26,4103.183594,2019/07/06 17:58:15+00,C1.12,c(-78.200589, -0.328596)
27,4103.940918,2019/07/06 17:58:45+00,C1.13,c(-78.200598, -0.328626)
28,4101.292969,2019/07/06 17:59:16+00,C1.14,c(-78.200587, -0.328684)
29,4100.516602,2019/07/06 17:59:56+00,C1.15,c(-78.200589, -0.328761)
30,4100.813965,2019/07/06 18:00:03+00,C1.16,c(-78.200581, -0.32876)
31,4099.584961,2019/07/06 18:00:29+00,C1.17,c(-78.200586, -0.328814)
32,4098.88623,2019/07/06 18:00:42+00,C1.18,c(-78.200592, -0.328849)
33,4097.833008,2019/07/06 18:01:31+00,C1.19,c(-78.2006, -0.328888)
34,4095.134033,2019/07/06 18:02:27+00,C1.20,c(-78.200614, -0.328912)
35,4096.843262,2019/07/06 18:03:14+00,C1.21,c(-78.200617, -0.328965)
36,4096.233887,2019/07/06 18:03:47+00,C1.22,c(-78.20067, -0.329017)
37,4097.151855,2019/07/06 18:06:48+00,WTRFALLTOP,c(-78.200701, -0.329075)
38,4097.693848,2019/07/06 18:12:26+00,C1.24,c(-78.200709, -0.329104)
39,4094.378174,2019/07/06 18:13:40+00,C1.25,c(-78.200723, -0.329152)
40,4091.121094,2019/07/06 18:14:48+00,C1.26,c(-78.200733, -0.329189)
41,4090.508301,2019/07/06 18:15:16+00,C1.27,c(-78.200761, -0.329219)
42,4089.581543,2019/07/06 18:16:12+00,C1.28,c(-78.200805, -0.329254)
43,4088.421875,2019/07/06 18:16:54+00,C1.29,c(-78.200838, -0.329253)
44,4085.802979,2019/07/06 18:17:39+00,C1.30,c(-78.200853, -0.329299)
45,4086.52832,2019/07/06 18:18:27+00,C1.31,c(-78.200893, -0.329329)
46,4086.164062,2019/07/06 18:19:53+00,C1.32,c(-78.200939, -0.329375)
47,4086.182129,2019/07/06 18:20:43+00,C1.33,c(-78.200965, -0.329399)
48,4083.577637,2019/07/06 18:21:42+00,C1.34,c(-78.200979, -0.329445)
49,4086.172607,2019/07/06 18:23:02+00,C1.35,c(-78.201001, -0.329466)
50,4082.473389,2019/07/06 18:24:12+00,C1.36,c(-78.201039, -0.32952)
51,4082.224365,2019/07/06 18:25:08+00,C1.37,c(-78.201081, -0.329592)
52,4081.078369,2019/07/06 18:26:25+00,C1.38,c(-78.201158, -0.32969)
53,4081.356689,2019/07/06 18:27:28+00,STREND,c(-78.201235, -0.329764)
