"","ele","time","magvar","geoidheight","name","cmt","desc","src","link1_href","link1_text","link1_type","link2_href","link2_text","link2_type","sym","type","fix","sat","hdop","vdop","pdop","ageofdgpsdata","dgpsid","geometry"
"1",4234.255859,"2019/07/06 15:07:49+00",NA,NA,"WP1PUDDLE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.199215, -0.321509)
"2",4233.869141,"2019/07/06 15:22:53+00",NA,NA,"WP1PUD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.199452, -0.321675)
"3",4230.918457,"2019/07/06 15:28:47+00",NA,NA,"004",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.199502, -0.321633)
"4",4232.262207,"2019/07/06 15:29:02+00",NA,NA,"WP1PUD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.199505, -0.321633)
"5",4230.994141,"2019/07/06 15:51:17+00",NA,NA,"WP1PUD4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.199705, -0.321904)
"6",4228.082031,"2019/07/06 15:59:28+00",NA,NA,"WP1C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.199767, -0.321954)
"7",4232.081055,"2019/07/06 16:00:37+00",NA,NA,"WP1C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.199707, -0.321907)
"8",4230.874023,"2019/07/06 16:02:26+00",NA,NA,"WP1C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.199587, -0.321851)
"9",4232.994141,"2019/07/06 16:05:35+00",NA,NA,"WP1PUD5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.199554, -0.321841)
"10",4169.858887,"2019/07/06 16:40:24+00",NA,NA,"LAKE3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200891, -0.324269)
"11",4170.273438,"2019/07/06 16:43:17+00",NA,NA,"005",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200896, -0.324273)
"12",4103.069824,"2019/07/06 17:10:23+00",NA,NA,"OUTWETC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.20047, -0.328186)
"13",4102.714844,"2019/07/06 17:51:00+00",NA,NA,"006",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200428, -0.328171)
"14",4102.611816,"2019/07/06 17:51:14+00",NA,NA,"STRT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200429, -0.328167)
"15",4102.910156,"2019/07/06 17:52:23+00",NA,NA,"007",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200481, -0.328216)
"16",4103.331055,"2019/07/06 17:52:50+00",NA,NA,"008",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200516, -0.32825)
"17",4104.185059,"2019/07/06 17:53:12+00",NA,NA,"009",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200544, -0.328284)
"18",4102.972168,"2019/07/06 17:53:29+00",NA,NA,"010",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200546, -0.328313)
"19",4103.154785,"2019/07/06 17:53:49+00",NA,NA,"011",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200565, -0.328355)
"20",4105.035156,"2019/07/06 17:54:19+00",NA,NA,"012",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200587, -0.3284)
"21",4104.754883,"2019/07/06 17:54:39+00",NA,NA,"013",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200579, -0.328431)
"22",4105.041992,"2019/07/06 17:55:02+00",NA,NA,"014",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200587, -0.328449)
"23",4102.930664,"2019/07/06 17:56:37+00",NA,NA,"015",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200592, -0.328493)
"24",4103.74707,"2019/07/06 17:57:32+00",NA,NA,"016",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200609, -0.328538)
"25",4103.131348,"2019/07/06 17:57:53+00",NA,NA,"017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200582, -0.32857)
"26",4103.183594,"2019/07/06 17:58:15+00",NA,NA,"018",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200589, -0.328596)
"27",4103.940918,"2019/07/06 17:58:45+00",NA,NA,"019",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200598, -0.328626)
"28",4101.292969,"2019/07/06 17:59:16+00",NA,NA,"020",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200587, -0.328684)
"29",4100.516602,"2019/07/06 17:59:56+00",NA,NA,"021",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200589, -0.328761)
"30",4100.813965,"2019/07/06 18:00:03+00",NA,NA,"022",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200581, -0.32876)
"31",4099.584961,"2019/07/06 18:00:29+00",NA,NA,"023",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,c(-78.200586, -0.328814)
