Serial_number:
2020421
Project ID:

Location:

LEVEL
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/10/2019,11:57:00 am,0,0.1068,10.132
7/10/2019,12:12:00 pm,0,0.0723,8.100
7/10/2019,12:27:00 pm,0,0.0703,8.231
7/10/2019,12:42:00 pm,0,0.0645,9.050
7/10/2019,12:57:00 pm,0,0.0801,9.743
7/10/2019,01:12:00 pm,0,0.0580,9.046
7/10/2019,01:27:00 pm,0,0.0417,9.308
7/10/2019,01:42:00 pm,0,0.0459,10.837
7/10/2019,01:57:00 pm,0,0.2622,11.693
7/10/2019,02:12:00 pm,0,0.2801,11.930
7/10/2019,02:27:00 pm,0,0.2690,12.111
7/10/2019,02:42:00 pm,0,0.2566,12.238
7/10/2019,02:57:00 pm,0,0.2528,12.040
7/10/2019,03:12:00 pm,0,0.2790,11.804
7/10/2019,03:27:00 pm,0,0.2453,11.583
7/10/2019,03:42:00 pm,0,0.2241,11.368
7/10/2019,03:57:00 pm,0,0.2456,11.249
7/10/2019,04:12:00 pm,0,0.2448,11.215
7/10/2019,04:27:00 pm,0,0.2045,11.054
7/10/2019,04:42:00 pm,0,0.2211,10.843
7/10/2019,04:57:00 pm,0,0.2016,10.571
7/10/2019,05:12:00 pm,0,0.1944,10.375
7/10/2019,05:27:00 pm,0,0.1770,10.129
7/10/2019,05:42:00 pm,0,0.2110,9.861
7/10/2019,05:57:00 pm,0,0.1915,9.554
7/10/2019,06:12:00 pm,0,0.1762,9.280
7/10/2019,06:27:00 pm,0,0.1815,9.020
7/10/2019,06:42:00 pm,0,0.1819,8.777
7/10/2019,06:57:00 pm,0,0.1569,8.536
7/10/2019,07:12:00 pm,0,0.1754,8.305
7/10/2019,07:27:00 pm,0,0.1819,8.092
7/10/2019,07:42:00 pm,0,0.1275,7.897
7/10/2019,07:57:00 pm,0,0.1243,7.701
7/10/2019,08:12:00 pm,0,0.1008,7.491
7/10/2019,08:27:00 pm,0,0.1522,7.272
7/10/2019,08:42:00 pm,0,0.1417,7.120
7/10/2019,08:57:00 pm,0,0.1119,6.914
7/10/2019,09:12:00 pm,0,0.0999,6.699
7/10/2019,09:27:00 pm,0,0.1055,6.526
7/10/2019,09:42:00 pm,0,0.0922,6.346
7/10/2019,09:57:00 pm,0,0.0691,6.169
7/10/2019,10:12:00 pm,0,0.0637,6.001
7/10/2019,10:27:00 pm,0,0.0837,5.882
7/10/2019,10:42:00 pm,0,0.0617,5.754
7/10/2019,10:57:00 pm,0,0.0618,5.607
7/10/2019,11:12:00 pm,0,0.0633,5.493
7/10/2019,11:27:00 pm,0,0.0806,5.386
7/10/2019,11:42:00 pm,0,0.0625,5.294
7/10/2019,11:57:00 pm,0,0.0300,5.195
7/11/2019,12:12:00 am,0,0.0501,5.059
7/11/2019,12:27:00 am,0,0.0361,4.957
7/11/2019,12:42:00 am,0,0.0556,4.864
7/11/2019,12:57:00 am,0,0.0589,4.814
7/11/2019,01:12:00 am,0,0.0204,4.763
7/11/2019,01:27:00 am,0,0.0328,4.716
7/11/2019,01:42:00 am,0,0.0198,4.655
7/11/2019,01:57:00 am,0,0.0290,4.598
7/11/2019,02:12:00 am,0,0.0154,4.496
7/11/2019,02:27:00 am,0,0.0274,4.401
7/11/2019,02:42:00 am,0,0.0386,4.374
7/11/2019,02:57:00 am,0,0.0404,4.291
7/11/2019,03:12:00 am,0,0.0272,4.215
7/11/2019,03:27:00 am,0,0.0224,4.147
7/11/2019,03:42:00 am,0,0.0240,4.025
7/11/2019,03:57:00 am,0,0.0207,3.947
7/11/2019,04:12:00 am,0,0.0422,3.925
7/11/2019,04:27:00 am,0,0.0260,3.885
7/11/2019,04:42:00 am,0,0.0151,3.862
7/11/2019,04:57:00 am,0,0.0358,3.837
7/11/2019,05:12:00 am,0,0.0502,3.810
7/11/2019,05:27:00 am,0,0.0332,3.802
7/11/2019,05:42:00 am,0,0.0417,3.749
7/11/2019,05:57:00 am,0,0.0544,3.665
7/11/2019,06:12:00 am,0,0.0070,3.624
7/11/2019,06:27:00 am,0,0.0377,3.562
7/11/2019,06:42:00 am,0,0.0151,3.504
7/11/2019,06:57:00 am,0,0.0525,3.450
7/11/2019,07:12:00 am,0,0.0524,3.407
7/11/2019,07:27:00 am,0,0.0416,3.352
7/11/2019,07:42:00 am,0,0.0540,3.360
7/11/2019,07:57:00 am,0,0.0321,3.513
7/11/2019,08:12:00 am,0,0.0344,3.790
7/11/2019,08:27:00 am,0,0.0197,4.150
7/11/2019,08:42:00 am,0,0.0388,4.554
7/11/2019,08:57:00 am,0,0.0226,4.996
7/11/2019,09:12:00 am,0,0.0418,5.434
7/11/2019,09:27:00 am,0,0.0469,5.725
7/11/2019,09:42:00 am,0,0.0545,5.980
7/11/2019,09:57:00 am,0,0.0274,6.230
7/11/2019,10:12:00 am,0,0.0185,6.614
7/11/2019,10:27:00 am,0,0.0242,7.263
7/11/2019,10:42:00 am,0,0.0128,7.858
7/11/2019,10:57:00 am,0,0.0196,8.471
7/11/2019,11:12:00 am,0,0.0468,9.064
7/11/2019,11:27:00 am,0,0.0244,9.673
7/11/2019,11:42:00 am,0,0.0372,10.075
7/11/2019,11:57:00 am,0,0.0202,10.421
