Serial_number:,,,,,
2107266,,,,,
Project ID:,,,,,
,,,,,
Location:,,,,,
,,,,,
LEVEL,,,,,
UNIT: kPa,,,,,
TEMPERATURE,,,,,
UNIT: °C,,,,,
Date,Time,ms,LEVEL,TEMPERATURE,mH20
7/12/2019,12:00:00 PM,0,62.4589,14.445,6.369210657
7/12/2019,12:15:00 PM,0,62.4537,9.196,6.36868039
7/12/2019,12:30:00 PM,0,62.4312,7.776,6.366385965
7/12/2019,12:45:00 PM,0,62.4272,7.179,6.365978067
7/12/2019,1:00:00 PM,0,62.4094,6.879,6.364162923
7/12/2019,1:15:00 PM,0,62.4052,6.719,6.36373463
7/12/2019,1:30:00 PM,0,62.3852,6.626,6.361695141
7/12/2019,1:45:00 PM,0,62.3634,6.582,6.359472099
7/12/2019,2:00:00 PM,0,62.3492,6.558,6.358024062
7/12/2019,2:15:00 PM,0,62.3541,6.539,6.358523737
7/12/2019,2:30:00 PM,0,62.3493,6.527,6.358034259
7/12/2019,2:45:00 PM,0,62.3299,6.523,6.356055955
7/12/2019,3:00:00 PM,0,62.3266,6.53,6.35571944
7/12/2019,3:15:00 PM,0,62.3161,6.524,6.354648708
7/12/2019,3:30:00 PM,0,62.3047,6.523,6.3534862
7/12/2019,3:45:00 PM,0,62.2973,6.516,6.352731589
7/12/2019,4:00:00 PM,0,62.2976,6.508,6.352762181
7/12/2019,4:15:00 PM,0,62.2973,6.509,6.352731589
7/12/2019,4:30:00 PM,0,62.2931,6.506,6.352303296
7/12/2019,4:45:00 PM,0,62.2939,6.503,6.352384876
7/12/2019,5:00:00 PM,0,62.3012,6.496,6.353129289
7/12/2019,5:15:00 PM,0,62.3065,6.496,6.353669754
7/12/2019,5:30:00 PM,0,62.3216,6.495,6.355209568
7/12/2019,5:45:00 PM,0,62.3222,6.487,6.355270752
7/12/2019,6:00:00 PM,0,62.3312,6.483,6.356188522
7/12/2019,6:15:00 PM,0,62.3413,6.48,6.357218464
7/12/2019,6:30:00 PM,0,62.3474,6.478,6.357840508
7/12/2019,6:45:00 PM,0,62.35,6.478,6.358105641
7/12/2019,7:00:00 PM,0,62.3513,6.479,6.358238208
7/12/2019,7:15:00 PM,0,62.3621,6.479,6.359339532
7/12/2019,7:30:00 PM,0,62.3722,6.481,6.360369474
7/12/2019,7:45:00 PM,0,62.3739,6.484,6.36054283
7/12/2019,8:00:00 PM,0,62.3839,6.486,6.361562575
7/12/2019,8:15:00 PM,0,62.3852,6.49,6.361695141
7/12/2019,8:30:00 PM,0,62.3958,6.492,6.36277607
7/12/2019,8:45:00 PM,0,62.4031,6.494,6.363520484
7/12/2019,9:00:00 PM,0,62.4098,6.498,6.364203712
7/12/2019,9:15:00 PM,0,62.427,6.501,6.365957672
7/12/2019,9:30:00 PM,0,62.4312,6.503,6.366385965
7/12/2019,9:45:00 PM,0,62.4377,6.505,6.367048799
7/12/2019,10:00:00 PM,0,62.4452,6.511,6.367813607
7/12/2019,10:15:00 PM,0,62.4415,6.514,6.367436302
7/12/2019,10:30:00 PM,0,62.449,6.517,6.36820111
7/12/2019,10:45:00 PM,0,62.4474,6.521,6.368037951
7/12/2019,11:00:00 PM,0,62.4448,6.526,6.367772817
7/12/2019,11:15:00 PM,0,62.4462,6.531,6.367915581
7/12/2019,11:30:00 PM,0,62.4482,6.535,6.36811953
7/12/2019,11:45:00 PM,0,62.434,6.539,6.366671493
7/13/2019,12:00:00 AM,0,62.424,6.543,6.365651749
7/13/2019,12:15:00 AM,0,62.4059,6.548,6.363806012
7/13/2019,12:30:00 AM,0,62.3786,6.555,6.36102211
7/13/2019,12:45:00 AM,0,62.3781,6.558,6.360971123
7/13/2019,1:00:00 AM,0,62.3623,6.56,6.359359927
7/13/2019,1:15:00 AM,0,62.3619,6.562,6.359319137
7/13/2019,1:30:00 AM,0,62.3489,6.563,6.35799347
7/13/2019,1:45:00 AM,0,62.3338,6.562,6.356453656
7/13/2019,2:00:00 AM,0,62.3293,6.563,6.355994771
7/13/2019,2:15:00 AM,0,62.3244,6.565,6.355495096
7/13/2019,2:30:00 AM,0,62.3272,6.565,6.355780624
7/13/2019,2:45:00 AM,0,62.3163,6.558,6.354669103
7/13/2019,3:00:00 AM,0,62.2992,6.558,6.35292534
7/13/2019,3:15:00 AM,0,62.3012,6.545,6.353129289
7/13/2019,3:30:00 AM,0,62.2899,6.537,6.351976978
7/13/2019,3:45:00 AM,0,62.2739,6.537,6.350345387
7/13/2019,4:00:00 AM,0,62.2726,6.537,6.350212821
7/13/2019,4:15:00 AM,0,62.2847,6.535,6.351446711
7/13/2019,4:30:00 AM,0,62.2923,6.531,6.352221717
7/13/2019,4:45:00 AM,0,62.3047,6.527,6.3534862
7/13/2019,5:00:00 AM,0,62.3012,6.523,6.353129289
7/13/2019,5:15:00 AM,0,62.3099,6.517,6.354016467
7/13/2019,5:30:00 AM,0,62.3217,6.506,6.355219765
