Serial_number:
2020421
Project ID:

Location:

LEVEL
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/12/2019,12:30:00 pm,0,1.8022,11.169
7/12/2019,12:45:00 pm,0,1.8629,11.537
7/12/2019,01:00:00 pm,0,1.9152,11.942
7/12/2019,01:15:00 pm,0,1.8805,12.033
7/12/2019,01:30:00 pm,0,1.9161,12.125
7/12/2019,01:45:00 pm,0,1.9337,12.197
7/12/2019,02:00:00 pm,0,1.9691,12.486
7/12/2019,02:15:00 pm,0,2.0009,12.700
7/12/2019,02:30:00 pm,0,1.9949,12.713
7/12/2019,02:45:00 pm,0,2.0158,12.776
7/12/2019,03:00:00 pm,0,2.0120,12.966
7/12/2019,03:15:00 pm,0,1.9358,13.307
7/12/2019,03:30:00 pm,0,1.9164,13.200
7/12/2019,03:45:00 pm,0,1.9036,13.254
7/12/2019,04:00:00 pm,0,1.9143,13.090
7/12/2019,04:15:00 pm,0,1.8735,12.927
7/12/2019,04:30:00 pm,0,1.8493,12.821
7/12/2019,04:45:00 pm,0,1.8402,12.672
7/12/2019,05:00:00 pm,0,1.8230,12.491
7/12/2019,05:15:00 pm,0,1.8113,12.253
7/12/2019,05:30:00 pm,0,1.7959,12.119
7/12/2019,05:45:00 pm,0,1.7820,11.906
7/12/2019,06:00:00 pm,0,1.7312,11.642
7/12/2019,06:15:00 pm,0,1.6931,11.398
7/12/2019,06:30:00 pm,0,1.7030,11.176
7/12/2019,06:45:00 pm,0,1.6892,10.927
7/12/2019,07:00:00 pm,0,1.6790,10.725
7/12/2019,07:15:00 pm,0,1.6758,10.541
7/12/2019,07:30:00 pm,0,1.6785,10.354
7/12/2019,07:45:00 pm,0,1.6819,10.201
7/12/2019,08:00:00 pm,0,1.6614,10.051
7/12/2019,08:15:00 pm,0,1.6685,9.916
7/12/2019,08:30:00 pm,0,1.6550,9.797
7/12/2019,08:45:00 pm,0,1.6545,9.672
7/12/2019,09:00:00 pm,0,1.6418,9.569
7/12/2019,09:15:00 pm,0,1.6405,9.455
7/12/2019,09:30:00 pm,0,1.6302,9.338
7/12/2019,09:45:00 pm,0,1.6041,9.218
7/12/2019,10:00:00 pm,0,1.6259,9.126
7/12/2019,10:15:00 pm,0,1.6189,9.053
7/12/2019,10:30:00 pm,0,1.6009,8.962
7/12/2019,10:45:00 pm,0,1.6155,8.872
7/12/2019,11:00:00 pm,0,1.6035,8.815
7/12/2019,11:15:00 pm,0,1.5913,8.752
7/12/2019,11:30:00 pm,0,1.6155,8.688
7/12/2019,11:45:00 pm,0,1.6064,8.625
7/13/2019,12:00:00 am,0,1.6189,8.564
7/13/2019,12:15:00 am,0,1.6194,8.524
7/13/2019,12:30:00 am,0,1.6396,8.463
7/13/2019,12:45:00 am,0,1.6278,8.410
7/13/2019,01:00:00 am,0,1.6479,8.357
7/13/2019,01:15:00 am,0,1.6372,8.307
7/13/2019,01:30:00 am,0,1.6409,8.255
7/13/2019,01:45:00 am,0,1.6456,8.196
7/13/2019,02:00:00 am,0,1.6380,8.148
7/13/2019,02:15:00 am,0,1.6262,8.096
7/13/2019,02:30:00 am,0,1.6084,8.057
7/13/2019,02:45:00 am,0,1.6183,8.004
7/13/2019,03:00:00 am,0,1.6291,7.951
7/13/2019,03:15:00 am,0,1.6669,7.870
7/13/2019,03:30:00 am,0,1.6518,7.752
7/13/2019,03:45:00 am,0,1.6532,7.704
7/13/2019,04:00:00 am,0,1.6446,7.649
7/13/2019,04:15:00 am,0,1.6571,7.591
7/13/2019,04:30:00 am,0,1.6435,7.540
7/13/2019,04:45:00 am,0,1.6457,7.493
7/13/2019,05:00:00 am,0,1.6968,7.438
7/13/2019,05:15:00 am,0,1.7083,7.376
7/13/2019,05:30:00 am,0,1.6938,7.280
7/13/2019,05:45:00 am,0,1.7068,7.183
7/13/2019,06:00:00 am,0,1.7189,7.079
7/13/2019,06:15:00 am,0,1.7227,7.048
7/13/2019,06:30:00 am,0,1.7460,7.038
7/13/2019,06:45:00 am,0,1.7128,7.018
7/13/2019,07:00:00 am,0,1.7531,6.987
7/13/2019,07:15:00 am,0,1.7830,6.953
7/13/2019,07:30:00 am,0,1.7745,6.940
7/13/2019,07:45:00 am,0,1.7666,6.933
7/13/2019,08:00:00 am,0,1.7568,6.969
7/13/2019,08:15:00 am,0,1.7884,6.993
7/13/2019,08:30:00 am,0,1.8197,7.045
7/13/2019,08:45:00 am,0,1.8140,7.096
7/13/2019,09:00:00 am,0,1.7972,7.193
7/13/2019,09:15:00 am,0,1.8239,7.307
7/13/2019,09:30:00 am,0,1.7830,7.396
7/13/2019,09:45:00 am,0,1.8459,7.524
7/13/2019,10:00:00 am,0,1.8090,7.685
7/13/2019,10:15:00 am,0,1.8678,7.811
7/13/2019,10:30:00 am,0,1.8631,7.880
7/13/2019,10:45:00 am,0,1.8759,7.981
7/13/2019,11:00:00 am,0,1.8576,8.159
7/13/2019,11:15:00 am,0,1.8191,8.536
7/13/2019,11:30:00 am,0,1.9342,8.723
7/13/2019,11:45:00 am,0,1.8775,8.797
7/13/2019,12:00:00 pm,0,1.8310,8.928
7/13/2019,12:15:00 pm,0,1.8457,9.237
7/13/2019,12:30:00 pm,0,1.8442,9.394
7/13/2019,12:45:00 pm,0,1.9025,9.647
7/13/2019,01:00:00 pm,0,1.8711,9.805
7/13/2019,01:15:00 pm,0,1.9130,9.915
7/13/2019,01:30:00 pm,0,1.8888,10.076
7/13/2019,01:45:00 pm,0,1.8517,10.178
7/13/2019,02:00:00 pm,0,1.9484,10.515
7/13/2019,02:15:00 pm,0,1.9190,10.698
7/13/2019,02:30:00 pm,0,1.7656,10.793
