Serial_number:
2020436
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/12/2019,11:45:00 am,0,-0.0041,9.380
7/12/2019,12:00:00 pm,0,-0.0052,8.766
7/12/2019,12:15:00 pm,0,-0.0053,8.624
7/12/2019,12:30:00 pm,0,-0.0036,9.033
7/12/2019,12:45:00 pm,0,0.1678,11.336
7/12/2019,01:00:00 pm,0,0.1674,12.025
7/12/2019,01:15:00 pm,0,0.1691,12.121
7/12/2019,01:30:00 pm,0,0.1699,12.122
7/12/2019,01:45:00 pm,0,0.1710,12.436
7/12/2019,02:00:00 pm,0,0.1699,12.687
7/12/2019,02:15:00 pm,0,0.1697,12.729
7/12/2019,02:30:00 pm,0,0.1699,12.804
7/12/2019,02:45:00 pm,0,0.1712,12.959
7/12/2019,03:00:00 pm,0,0.1689,13.331
7/12/2019,03:15:00 pm,0,0.1685,13.271
7/12/2019,03:30:00 pm,0,0.1698,13.323
7/12/2019,03:45:00 pm,0,0.1680,13.188
7/12/2019,04:00:00 pm,0,0.1658,13.014
7/12/2019,04:15:00 pm,0,0.1656,12.919
7/12/2019,04:30:00 pm,0,0.1646,12.739
7/12/2019,04:45:00 pm,0,0.1626,12.601
7/12/2019,05:00:00 pm,0,0.1605,12.334
7/12/2019,05:15:00 pm,0,0.1583,12.177
7/12/2019,05:30:00 pm,0,0.1548,11.996
7/12/2019,05:45:00 pm,0,0.1525,11.704
7/12/2019,06:00:00 pm,0,0.1524,11.456
7/12/2019,06:15:00 pm,0,0.1522,11.231
7/12/2019,06:30:00 pm,0,0.1517,10.977
7/12/2019,06:45:00 pm,0,0.1539,10.752
7/12/2019,07:00:00 pm,0,0.1537,10.573
7/12/2019,07:15:00 pm,0,0.1529,10.375
7/12/2019,07:30:00 pm,0,0.1525,10.223
7/12/2019,07:45:00 pm,0,0.1524,10.066
7/12/2019,08:00:00 pm,0,0.1519,9.926
7/12/2019,08:15:00 pm,0,0.1522,9.800
7/12/2019,08:30:00 pm,0,0.1509,9.676
7/12/2019,08:45:00 pm,0,0.1508,9.567
7/12/2019,09:00:00 pm,0,0.1511,9.469
7/12/2019,09:15:00 pm,0,0.1500,9.337
7/12/2019,09:30:00 pm,0,0.1498,9.214
7/12/2019,09:45:00 pm,0,0.1498,9.122
7/12/2019,10:00:00 pm,0,0.1497,9.046
7/12/2019,10:15:00 pm,0,0.1495,8.960
7/12/2019,10:30:00 pm,0,0.1486,8.856
7/12/2019,10:45:00 pm,0,0.1487,8.793
7/12/2019,11:00:00 pm,0,0.1488,8.727
7/12/2019,11:15:00 pm,0,0.1484,8.669
7/12/2019,11:30:00 pm,0,0.1487,8.607
7/12/2019,11:45:00 pm,0,0.1490,8.540
7/13/2019,12:00:00 am,0,0.1496,8.491
7/13/2019,12:15:00 am,0,0.1508,8.438
7/13/2019,12:30:00 am,0,0.1513,8.380
7/13/2019,12:45:00 am,0,0.1514,8.323
7/13/2019,01:00:00 am,0,0.1513,8.277
7/13/2019,01:15:00 am,0,0.1506,8.233
7/13/2019,01:30:00 am,0,0.1511,8.173
7/13/2019,01:45:00 am,0,0.1512,8.121
7/13/2019,02:00:00 am,0,0.1507,8.066
7/13/2019,02:15:00 am,0,0.1506,8.030
7/13/2019,02:30:00 am,0,0.1497,7.978
7/13/2019,02:45:00 am,0,0.1495,7.921
7/13/2019,03:00:00 am,0,0.1497,7.863
7/13/2019,03:15:00 am,0,0.1491,7.720
7/13/2019,03:30:00 am,0,0.1493,7.678
7/13/2019,03:45:00 am,0,0.1496,7.615
7/13/2019,04:00:00 am,0,0.1499,7.563
7/13/2019,04:15:00 am,0,0.1484,7.496
7/13/2019,04:30:00 am,0,0.1488,7.460
7/13/2019,04:45:00 am,0,0.1483,7.408
7/13/2019,05:00:00 am,0,0.1489,7.347
7/13/2019,05:15:00 am,0,0.1494,7.260
7/13/2019,05:30:00 am,0,0.1492,7.167
7/13/2019,05:45:00 am,0,0.1493,7.074
7/13/2019,06:00:00 am,0,0.1499,6.992
7/13/2019,06:15:00 am,0,0.1510,6.983
7/13/2019,06:30:00 am,0,0.1509,6.972
7/13/2019,06:45:00 am,0,0.1501,6.940
7/13/2019,07:00:00 am,0,0.1510,6.898
7/13/2019,07:15:00 am,0,0.1517,6.884
7/13/2019,07:30:00 am,0,0.1523,6.869
7/13/2019,07:45:00 am,0,0.1537,6.892
7/13/2019,08:00:00 am,0,0.1540,6.920
7/13/2019,08:15:00 am,0,0.1547,6.967
7/13/2019,08:30:00 am,0,0.1553,7.016
7/13/2019,08:45:00 am,0,0.1565,7.095
7/13/2019,09:00:00 am,0,0.1582,7.202
7/13/2019,09:15:00 am,0,0.1590,7.312
7/13/2019,09:30:00 am,0,0.1600,7.409
7/13/2019,09:45:00 am,0,0.1618,7.560
7/13/2019,10:00:00 am,0,0.1634,7.727
7/13/2019,10:15:00 am,0,0.1640,7.781
7/13/2019,10:30:00 am,0,0.1658,7.879
7/13/2019,10:45:00 am,0,0.1683,8.001
7/13/2019,11:00:00 am,0,0.1723,8.289
7/13/2019,11:15:00 am,0,0.1764,8.629
7/13/2019,11:30:00 am,0,0.1770,8.737
7/13/2019,11:45:00 am,0,0.1780,8.790
7/13/2019,12:00:00 pm,0,0.1781,9.058
