Serial_number:
2020421
Project ID:

Location:

LEVEL
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/10/2019,11:57:00 am,0,62.6540,10.132
7/10/2019,12:12:00 pm,0,62.6302,8.100
7/10/2019,12:27:00 pm,0,62.6008,8.231
7/10/2019,12:42:00 pm,0,62.6019,9.050
7/10/2019,12:57:00 pm,0,62.6039,9.743
7/10/2019,01:12:00 pm,0,62.5816,9.046
7/10/2019,01:27:00 pm,0,62.5613,9.308
7/10/2019,01:42:00 pm,0,62.5490,10.837
7/10/2019,01:57:00 pm,0,62.7281,11.693
7/10/2019,02:12:00 pm,0,62.7437,11.930
7/10/2019,02:27:00 pm,0,62.7153,12.111
7/10/2019,02:42:00 pm,0,62.6926,12.238
7/10/2019,02:57:00 pm,0,62.6496,12.040
7/10/2019,03:12:00 pm,0,62.6895,11.804
7/10/2019,03:27:00 pm,0,62.6586,11.583
7/10/2019,03:42:00 pm,0,62.6592,11.368
7/10/2019,03:57:00 pm,0,62.6551,11.249
7/10/2019,04:12:00 pm,0,62.6330,11.215
7/10/2019,04:27:00 pm,0,62.6139,11.054
7/10/2019,04:42:00 pm,0,62.5899,10.843
7/10/2019,04:57:00 pm,0,62.6047,10.571
7/10/2019,05:12:00 pm,0,62.5819,10.375
7/10/2019,05:27:00 pm,0,62.5764,10.129
7/10/2019,05:42:00 pm,0,62.5915,9.861
7/10/2019,05:57:00 pm,0,62.5920,9.554
7/10/2019,06:12:00 pm,0,62.5660,9.280
7/10/2019,06:27:00 pm,0,62.5881,9.020
7/10/2019,06:42:00 pm,0,62.5924,8.777
7/10/2019,06:57:00 pm,0,62.5755,8.536
7/10/2019,07:12:00 pm,0,62.5729,8.305
7/10/2019,07:27:00 pm,0,62.5853,8.092
7/10/2019,07:42:00 pm,0,62.5753,7.897
7/10/2019,07:57:00 pm,0,62.5804,7.701
7/10/2019,08:12:00 pm,0,62.5691,7.491
7/10/2019,08:27:00 pm,0,62.5941,7.272
7/10/2019,08:42:00 pm,0,62.5948,7.120
7/10/2019,08:57:00 pm,0,62.5911,6.914
7/10/2019,09:12:00 pm,0,62.5773,6.699
7/10/2019,09:27:00 pm,0,62.5894,6.526
7/10/2019,09:42:00 pm,0,62.5654,6.346
7/10/2019,09:57:00 pm,0,62.5682,6.169
7/10/2019,10:12:00 pm,0,62.5578,6.001
7/10/2019,10:27:00 pm,0,62.5562,5.882
7/10/2019,10:42:00 pm,0,62.5517,5.754
7/10/2019,10:57:00 pm,0,62.5380,5.607
7/10/2019,11:12:00 pm,0,62.5311,5.493
7/10/2019,11:27:00 pm,0,62.5376,5.386
7/10/2019,11:42:00 pm,0,62.5310,5.294
7/10/2019,11:57:00 pm,0,62.5239,5.195
7/11/2019,12:12:00 am,0,62.5198,5.059
7/11/2019,12:27:00 am,0,62.5105,4.957
7/11/2019,12:42:00 am,0,62.4919,4.864
7/11/2019,12:57:00 am,0,62.5009,4.814
7/11/2019,01:12:00 am,0,62.4658,4.763
7/11/2019,01:27:00 am,0,62.4499,4.716
7/11/2019,01:42:00 am,0,62.4411,4.655
7/11/2019,01:57:00 am,0,62.4320,4.598
7/11/2019,02:12:00 am,0,62.4059,4.496
7/11/2019,02:27:00 am,0,62.3956,4.401
7/11/2019,02:42:00 am,0,62.3871,4.374
7/11/2019,02:57:00 am,0,62.3867,4.291
7/11/2019,03:12:00 am,0,62.3879,4.215
7/11/2019,03:27:00 am,0,62.3687,4.147
7/11/2019,03:42:00 am,0,62.3624,4.025
7/11/2019,03:57:00 am,0,62.3651,3.947
7/11/2019,04:12:00 am,0,62.3781,3.925
7/11/2019,04:27:00 am,0,62.3785,3.885
7/11/2019,04:42:00 am,0,62.3836,3.862
7/11/2019,04:57:00 am,0,62.3815,3.837
7/11/2019,05:12:00 am,0,62.3921,3.810
7/11/2019,05:27:00 am,0,62.3854,3.802
7/11/2019,05:42:00 am,0,62.4020,3.749
7/11/2019,05:57:00 am,0,62.4047,3.665
7/11/2019,06:12:00 am,0,62.4010,3.624
7/11/2019,06:27:00 am,0,62.4136,3.562
7/11/2019,06:42:00 am,0,62.4024,3.504
7/11/2019,06:57:00 am,0,62.4296,3.450
7/11/2019,07:12:00 am,0,62.4384,3.407
7/11/2019,07:27:00 am,0,62.4621,3.352
7/11/2019,07:42:00 am,0,62.4801,3.360
7/11/2019,07:57:00 am,0,62.4794,3.513
7/11/2019,08:12:00 am,0,62.4799,3.790
7/11/2019,08:27:00 am,0,62.5204,4.150
7/11/2019,08:42:00 am,0,62.5146,4.554
7/11/2019,08:57:00 am,0,62.5210,4.996
7/11/2019,09:12:00 am,0,62.5394,5.434
7/11/2019,09:27:00 am,0,62.5549,5.725
7/11/2019,09:42:00 am,0,62.5710,5.980
7/11/2019,09:57:00 am,0,62.5820,6.230
7/11/2019,10:12:00 am,0,62.5605,6.614
7/11/2019,10:27:00 am,0,62.5665,7.263
7/11/2019,10:42:00 am,0,62.5576,7.858
7/11/2019,10:57:00 am,0,62.5493,8.471
7/11/2019,11:12:00 am,0,62.5617,9.064
7/11/2019,11:27:00 am,0,62.5402,9.673
7/11/2019,11:42:00 am,0,62.5429,10.075
7/11/2019,11:57:00 am,0,62.5259,10.421
7/11/2019,12:12:00 pm,0,62.6096,14.963
7/11/2019,12:27:00 pm,0,62.6540,12.326
7/11/2019,12:42:00 pm,0,62.6573,12.433
7/11/2019,12:57:00 pm,0,62.6648,12.781
7/11/2019,01:12:00 pm,0,62.6512,13.267
7/11/2019,01:27:00 pm,0,62.6611,13.822
7/11/2019,01:42:00 pm,0,64.1486,14.725
7/11/2019,01:57:00 pm,0,64.1864,14.963
7/11/2019,02:12:00 pm,0,64.2557,15.049
7/11/2019,02:27:00 pm,0,64.1899,15.000
7/11/2019,02:42:00 pm,0,64.2005,14.683
7/11/2019,02:57:00 pm,0,64.1777,14.356
7/11/2019,03:12:00 pm,0,64.1490,14.017
