Serial_number:
2020425
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/2/2019,12:45:00 pm,0,6.9302,4.807
8/2/2019,01:00:00 pm,0,6.9288,4.670
8/2/2019,01:15:00 pm,0,6.9264,4.641
8/2/2019,01:30:00 pm,0,6.9243,4.627
8/2/2019,01:45:00 pm,0,6.9222,4.618
8/2/2019,02:00:00 pm,0,6.9213,4.615
8/2/2019,02:15:00 pm,0,6.9209,4.612
8/2/2019,02:30:00 pm,0,6.9183,4.610
8/2/2019,02:45:00 pm,0,6.9169,4.608
8/2/2019,03:00:00 pm,0,6.9160,4.607
8/2/2019,03:15:00 pm,0,6.9143,4.606
8/2/2019,03:30:00 pm,0,6.9133,4.606
8/2/2019,03:45:00 pm,0,6.9142,4.605
8/2/2019,04:00:00 pm,0,6.9135,4.604
8/2/2019,04:15:00 pm,0,6.9129,4.604
8/2/2019,04:30:00 pm,0,6.9108,4.603
8/2/2019,04:45:00 pm,0,6.9097,4.603
8/2/2019,05:00:00 pm,0,6.9081,4.603
8/2/2019,05:15:00 pm,0,6.9076,4.604
8/2/2019,05:30:00 pm,0,6.9084,4.603
8/2/2019,05:45:00 pm,0,6.9087,4.603
8/2/2019,06:00:00 pm,0,6.9089,4.604
8/2/2019,06:15:00 pm,0,6.9085,4.604
8/2/2019,06:30:00 pm,0,6.9086,4.605
8/2/2019,06:45:00 pm,0,6.9085,4.604
8/2/2019,07:00:00 pm,0,6.9090,4.604
8/2/2019,07:15:00 pm,0,6.9088,4.604
8/2/2019,07:30:00 pm,0,6.9095,4.604
8/2/2019,07:45:00 pm,0,6.9102,4.604
8/2/2019,08:00:00 pm,0,6.9102,4.604
8/2/2019,08:15:00 pm,0,6.9109,4.604
8/2/2019,08:30:00 pm,0,6.9129,4.603
8/2/2019,08:45:00 pm,0,6.9167,4.602
8/2/2019,09:00:00 pm,0,6.9215,4.602
8/2/2019,09:15:00 pm,0,6.9287,4.603
8/2/2019,09:30:00 pm,0,6.9342,4.601
8/2/2019,09:45:00 pm,0,6.9424,4.602
8/2/2019,10:00:00 pm,0,6.9538,4.603
8/2/2019,10:15:00 pm,0,6.9726,4.603
8/2/2019,10:30:00 pm,0,6.9968,4.602
8/2/2019,10:45:00 pm,0,7.0197,4.574
8/2/2019,11:00:00 pm,0,7.0402,4.547
8/2/2019,11:15:00 pm,0,7.0559,4.549
8/2/2019,11:30:00 pm,0,7.0634,4.551
8/2/2019,11:45:00 pm,0,7.0658,4.563
8/3/2019,12:00:00 am,0,7.0679,4.571
8/3/2019,12:15:00 am,0,7.0701,4.578
8/3/2019,12:30:00 am,0,7.0692,4.582
8/3/2019,12:45:00 am,0,7.0668,4.586
8/3/2019,01:00:00 am,0,7.0651,4.589
8/3/2019,01:15:00 am,0,7.0634,4.591
8/3/2019,01:30:00 am,0,7.0638,4.593
8/3/2019,01:45:00 am,0,7.0678,4.593
8/3/2019,02:00:00 am,0,7.0711,4.595
8/3/2019,02:15:00 am,0,7.0729,4.596
8/3/2019,02:30:00 am,0,7.0730,4.596
8/3/2019,02:45:00 am,0,7.0730,4.597
8/3/2019,03:00:00 am,0,7.0780,4.598
8/3/2019,03:15:00 am,0,7.0792,4.598
8/3/2019,03:30:00 am,0,7.0815,4.598
8/3/2019,03:45:00 am,0,7.0838,4.598
8/3/2019,04:00:00 am,0,7.0895,4.599
8/3/2019,04:15:00 am,0,7.0960,4.600
8/3/2019,04:30:00 am,0,7.1023,4.600
8/3/2019,04:45:00 am,0,7.1017,4.599
8/3/2019,05:00:00 am,0,7.1027,4.600
8/3/2019,05:15:00 am,0,7.1036,4.600
8/3/2019,05:30:00 am,0,7.1040,4.600
8/3/2019,05:45:00 am,0,7.1025,4.601
8/3/2019,06:00:00 am,0,7.0986,4.602
8/3/2019,06:15:00 am,0,7.0951,4.600
8/3/2019,06:30:00 am,0,7.0966,4.601
8/3/2019,06:45:00 am,0,7.0952,4.600
8/3/2019,07:00:00 am,0,7.0947,4.601
8/3/2019,07:15:00 am,0,7.0941,4.602
8/3/2019,07:30:00 am,0,7.0955,4.601
8/3/2019,07:45:00 am,0,7.0960,4.601
8/3/2019,08:00:00 am,0,7.0967,4.600
8/3/2019,08:15:00 am,0,7.0977,4.601
8/3/2019,08:30:00 am,0,7.0985,4.600
8/3/2019,08:45:00 am,0,7.1012,4.601
8/3/2019,09:00:00 am,0,7.1018,4.600
8/3/2019,09:15:00 am,0,7.0998,4.600
8/3/2019,09:30:00 am,0,7.1016,4.599
8/3/2019,09:45:00 am,0,7.1041,4.598
8/3/2019,10:00:00 am,0,7.1045,4.599
8/3/2019,10:15:00 am,0,7.1081,4.599
8/3/2019,10:30:00 am,0,7.1070,4.601
8/3/2019,10:45:00 am,0,7.1083,4.600
8/3/2019,11:00:00 am,0,7.1116,4.601
8/3/2019,11:15:00 am,0,7.1125,4.601
8/3/2019,11:30:00 am,0,7.1129,4.600
8/3/2019,11:45:00 am,0,7.1113,4.600
8/3/2019,12:00:00 pm,0,7.1065,4.600
8/3/2019,12:15:00 pm,0,7.1040,4.599
8/3/2019,12:30:00 pm,0,7.1009,4.597
8/3/2019,12:45:00 pm,0,7.1019,4.598
8/3/2019,01:00:00 pm,0,7.1011,4.596
8/3/2019,01:15:00 pm,0,7.0991,4.598
8/3/2019,01:30:00 pm,0,7.0970,4.598
8/3/2019,01:45:00 pm,0,7.0991,4.598
8/3/2019,02:00:00 pm,0,7.0930,4.598
8/3/2019,02:15:00 pm,0,7.0920,4.595
8/3/2019,02:30:00 pm,0,7.0896,4.595
8/3/2019,02:45:00 pm,0,7.0895,4.597
8/3/2019,03:00:00 pm,0,7.0879,4.597
8/3/2019,03:15:00 pm,0,7.0862,4.598
8/3/2019,03:30:00 pm,0,7.0829,4.598
8/3/2019,03:45:00 pm,0,7.0851,4.597
8/3/2019,04:00:00 pm,0,7.0839,4.597
8/3/2019,04:15:00 pm,0,7.0829,4.598
8/3/2019,04:30:00 pm,0,7.0784,4.597
8/3/2019,04:45:00 pm,0,7.0784,4.598
8/3/2019,05:00:00 pm,0,7.0775,4.597
8/3/2019,05:15:00 pm,0,7.0764,4.594
8/3/2019,05:30:00 pm,0,7.0760,4.596
8/3/2019,05:45:00 pm,0,7.0752,4.594
8/3/2019,06:00:00 pm,0,7.0738,4.593
8/3/2019,06:15:00 pm,0,7.0732,4.593
8/3/2019,06:30:00 pm,0,7.0733,4.593
8/3/2019,06:45:00 pm,0,7.0734,4.594
8/3/2019,07:00:00 pm,0,7.0741,4.593
8/3/2019,07:15:00 pm,0,7.0745,4.592
8/3/2019,07:30:00 pm,0,7.0763,4.592
8/3/2019,07:45:00 pm,0,7.0769,4.592
8/3/2019,08:00:00 pm,0,7.0780,4.593
8/3/2019,08:15:00 pm,0,7.0783,4.593
8/3/2019,08:30:00 pm,0,7.0805,4.593
8/3/2019,08:45:00 pm,0,7.0795,4.592
8/3/2019,09:00:00 pm,0,7.0799,4.592
8/3/2019,09:15:00 pm,0,7.0800,4.591
8/3/2019,09:30:00 pm,0,7.0787,4.589
8/3/2019,09:45:00 pm,0,7.0784,4.591
8/3/2019,10:00:00 pm,0,7.0792,4.591
8/3/2019,10:15:00 pm,0,7.0774,4.590
8/3/2019,10:30:00 pm,0,7.0809,4.591
8/3/2019,10:45:00 pm,0,7.0805,4.592
8/3/2019,11:00:00 pm,0,7.0771,4.591
8/3/2019,11:15:00 pm,0,7.0775,4.592
8/3/2019,11:30:00 pm,0,7.0781,4.590
8/3/2019,11:45:00 pm,0,7.0810,4.588
8/4/2019,12:00:00 am,0,7.0825,4.589
8/4/2019,12:15:00 am,0,7.0828,4.587
8/4/2019,12:30:00 am,0,7.0837,4.590
8/4/2019,12:45:00 am,0,7.0879,4.591
8/4/2019,01:00:00 am,0,7.0877,4.590
8/4/2019,01:15:00 am,0,7.0907,4.588
8/4/2019,01:30:00 am,0,7.0914,4.589
8/4/2019,01:45:00 am,0,7.0931,4.588
8/4/2019,02:00:00 am,0,7.0920,4.587
8/4/2019,02:15:00 am,0,7.0932,4.587
8/4/2019,02:30:00 am,0,7.0953,4.587
8/4/2019,02:45:00 am,0,7.0963,4.586
8/4/2019,03:00:00 am,0,7.0940,4.588
8/4/2019,03:15:00 am,0,7.0935,4.589
8/4/2019,03:30:00 am,0,7.0909,4.587
8/4/2019,03:45:00 am,0,7.0910,4.586
8/4/2019,04:00:00 am,0,7.0915,4.584
8/4/2019,04:15:00 am,0,7.0916,4.585
8/4/2019,04:30:00 am,0,7.0943,4.587
8/4/2019,04:45:00 am,0,7.0991,4.585
8/4/2019,05:00:00 am,0,7.0979,4.583
8/4/2019,05:15:00 am,0,7.1006,4.586
8/4/2019,05:30:00 am,0,7.1011,4.587
8/4/2019,05:45:00 am,0,7.1009,4.588
8/4/2019,06:00:00 am,0,7.1016,4.584
8/4/2019,06:15:00 am,0,7.1024,4.580
8/4/2019,06:30:00 am,0,7.1054,4.581
8/4/2019,06:45:00 am,0,7.1058,4.584
8/4/2019,07:00:00 am,0,7.1086,4.585
8/4/2019,07:15:00 am,0,7.1114,4.585
8/4/2019,07:30:00 am,0,7.1121,4.584
8/4/2019,07:45:00 am,0,7.1143,4.582
8/4/2019,08:00:00 am,0,7.1163,4.581
8/4/2019,08:15:00 am,0,7.1163,4.582
8/4/2019,08:30:00 am,0,7.1169,4.581
8/4/2019,08:45:00 am,0,7.1172,4.584
8/4/2019,09:00:00 am,0,7.1208,4.583
8/4/2019,09:15:00 am,0,7.1220,4.582
8/4/2019,09:30:00 am,0,7.1230,4.578
8/4/2019,09:45:00 am,0,7.1213,4.579
8/4/2019,10:00:00 am,0,7.1209,4.580
8/4/2019,10:15:00 am,0,7.1214,4.583
8/4/2019,10:30:00 am,0,7.1225,4.581
8/4/2019,10:45:00 am,0,7.1228,4.577
8/4/2019,11:00:00 am,0,7.1249,4.573
8/4/2019,11:15:00 am,0,7.1262,4.573
8/4/2019,11:30:00 am,0,7.1305,4.575
