"dist.m","transect","Date","CO2_ppm","CO2","CO2A","Error","ErrorA"
245.23145,"syn1","8/6/2019",430,347.5,519.9441019,-0.237410071942446,0.172988022311096
240.131,"syn2","8/6/2019",550,357.5,535.6451042,-0.538461538461538,-0.0267992663191413
228.22,"syn3","8/6/2019",560,337.5,506.3005594,-0.659259259259259,-0.106062376592349
225.566,"syn4","8/6/2019",650,362.5,544.1931158,-0.793103448275862,-0.194428928128679
217.636,"syn5","8/6/2019",690,377.5,567.007082,-0.827814569536424,-0.216916017285301
208.216,"syn6","8/6/2019",650,367.5,552.5081314,-0.768707482993197,-0.176453273824161
204.122,"syn7","8/6/2019",620,377.5,569.012959,-0.642384105960265,-0.0896061156315422
194.937,"syn8","8/6/2019",490,327.5,494.5625027,-0.49618320610687,0.00922533082288202
184.107,"syn9","8/6/2019",510,302.5,457.0067651,-0.685950413223141,-0.115957221964546
178.759,"syn10","8/6/2019",530,1874,2833.250903,0.71718249733191,0.8129357341989
169.972,"syn11","8/6/2019",560,1860,2812.475164,0.698924731182796,0.800887130607209
161.976,"syn12","8/6/2019",540,1848,2794.742111,0.707792207792208,0.806780025293003
154.82,"syn13","8/6/2019",560,1882,2846.133884,0.702444208289054,0.80324186323485
143.68,"syn14","8/6/2019",540,1905,2879.961057,0.716535433070866,0.812497464614154
140.638,"syn15","8/6/2019",550,1903,2876.005878,0.710982658959538,0.808762560533265
131.849,"syn16","8/6/2019",620,1944,2937.122723,0.681069958847737,0.788909058806121
128.96,"syn17","8/6/2019",560,1967,2970.558213,0.715302491103203,0.81148324326745
124.229,"syn18","8/6/2019",710,1944,2935.225132,0.63477366255144,0.758110547548964
107.753,"waterfall","8/6/2019",740,1752.5,2647.745942,0.57774607703281,0.72051699210951
102.753,"syn19","8/6/2019",1020,1727.5,2610.002715,0.409551374819103,0.609195808825049
94.14,"syn20","8/6/2019",1280,1737.5,2625.562212,0.263309352517986,0.512485366315136
87.664,"syn21","8/6/2019",1340,1697.5,2566.393017,0.21060382916053,0.477866409733923
81.871,"syn22","8/6/2019",1490,1737.5,2626.303277,0.142446043165468,0.43266262771373
75.925,"syn23","8/6/2019",1910,1702.5,2573.372451,-0.121879588839941,0.257783303284457
67.023,"syn24","8/6/2019",1940,1692.5,2558.242427,-0.146233382570162,0.241666864904981
63.659,"syn25","8/6/2019",2200,1712.5,2588.586084,-0.284671532846715,0.15011518697479
56.243,"syn26","8/6/2019",2250,1667.5,2520.792733,-0.349325337331334,0.107423640767851
51.477,"syn27","8/6/2019",2300,2015,3042.083984,-0.141439205955335,0.243939348125505
47.593,"syn28","8/6/2019",2430,2050,3093.618818,-0.185365853658537,0.214512148083268
37.442,"syn29","8/6/2019",2550,2085,3145.724573,-0.223021582733813,0.189375947949528
34.256,"syn30","8/6/2019",2610,2145,3233.718108,-0.216783216783217,0.192879554484655
25.495,"syn31","8/6/2019",2670,2195,3306.889023,-0.216400911161731,0.192594616441714
16.957,"syn32","8/6/2019",2690,2250,3387.681938,-0.195555555555556,0.205946706558849
12.337,"syn33","8/6/2019",2710,2285,3438.530194,-0.185995623632385,0.211872559755687
4.002,"syn34","8/6/2019",2590,2325,3496.625337,-0.113978494623656,0.259285811209575
0,"syn35","8/6/2019",2620,2370,3561.59055,-0.105485232067511,0.264373609706483
