"dist.m","transect","Date","CO2_ppm","CO2","CO2A","Error","ErrorA"
245.23145,"syn1","7/18/2019",250,517.5,2524.858611,0.516908212560386,0.900984554576312
240.131,"syn2","7/18/2019",420,502.5,2598.292241,0.164179104477612,0.838355365353993
228.22,"syn3","7/18/2019",450,497.5,2678.494969,0.0954773869346734,0.831995204318788
225.566,"syn4","7/18/2019",460,487.5,2798.772384,0.0564102564102564,0.835642225630879
217.636,"syn5","7/18/2019",490,487.5,2842.240842,-0.00512820512820513,0.827600816665768
208.216,"syn6","7/18/2019",490,492.5,2913.144107,0.0050761421319797,0.831796855218189
204.122,"syn7","7/18/2019",450,492.5,3017.149472,0.0862944162436548,0.850852599721649
194.937,"syn8","7/18/2019",540,487.5,3075.694832,-0.107692307692308,0.824429916004099
184.107,"syn9","7/18/2019",400,477.5,3133.805553,0.162303664921466,0.872359662003573
178.759,"syn10","7/18/2019",360,1532.5,2364.13524,0.765089722675367,0.847724447438971
169.972,"syn11","7/18/2019",440,1532.5,2357.117919,0.712887438825449,0.813331358413045
161.976,"syn12","7/18/2019",430,1502.5,2349.062687,0.713810316139767,0.816948265203959
154.82,"syn13","7/18/2019",410,1487.5,2364.237403,0.72436974789916,0.826582559145817
143.68,"syn14","7/18/2019",400,1487.5,2363.231002,0.73109243697479,0.830740202857241
140.638,"syn15","7/18/2019",440,1472.5,2354.685669,0.701188455008489,0.813138540828313
131.849,"syn16","7/18/2019",370,1482.5,2384.240245,0.750421585160202,0.844814296388156
128.96,"syn17","7/18/2019",330,1467.5,2428.72931,0.775127768313458,0.864126480196346
124.229,"syn18","7/18/2019",480,1447.5,2465.433349,0.66839378238342,0.805308060672298
107.753,"waterfall","7/18/2019",540,1560,2307.433647,0.653846153846154,0.765973768865649
102.753,"syn19","7/18/2019",970,1555,2308.559699,0.37620578778135,0.579824597813011
94.14,"syn20","7/18/2019",1160,1550,2265.246959,0.251612903225806,0.487914553690832
87.664,"syn21","7/18/2019",1270,1560,2245.956071,0.185897435897436,0.434539251947818
81.871,"syn22","7/18/2019",1310,1560,2250.253507,0.16025641025641,0.417843369235998
75.925,"syn23","7/18/2019",1620,1555,2228.627131,-0.0418006430868167,0.27309509183212
67.023,"syn24","7/18/2019",1750,1575,2244.803408,-0.111111111111111,0.22042171097773
63.659,"syn25","7/18/2019",1810,1605,2222.033192,-0.127725856697819,0.185430709803726
56.243,"syn26","7/18/2019",1880,1630,2191.875519,-0.153374233128834,0.142287057954043
51.477,"syn27","7/18/2019",1950,1670,772.3336239,-0.167664670658683,-1.5248156232707
47.593,"syn28","7/18/2019",2100,1720,750.7050473,-0.22093023255814,-1.79737029550141
37.442,"syn29","7/18/2019",2090,1775,744.4954284,-0.177464788732394,-1.80727042809602
34.256,"syn30","7/18/2019",2280,1855,730.1955988,-0.22911051212938,-2.12245103058268
25.495,"syn31","7/18/2019",2070,1885,730.417788,-0.0981432360742706,-1.83399450835937
16.957,"syn32","7/18/2019",2030,1935,738.202075,-0.0490956072351421,-1.74992453793902
12.337,"syn33","7/18/2019",2000,2005,739.0037494,0.00249376558603491,-1.70634621491949
4.002,"syn34","7/18/2019",2050,2045,732.9828992,-0.00244498777506112,-1.79679103323888
0,"syn35","7/18/2019",2080,2085,718.6834272,0.00239808153477218,-1.89418111129083
