dist.m,transect,Date,CO2_ppm
245.23145,syn1,7/18/2019,250
240.131,syn2,7/18/2019,420
228.22,syn3,7/18/2019,450
225.566,syn4,7/18/2019,460
217.636,syn5,7/18/2019,490
208.216,syn6,7/18/2019,490
204.122,syn7,7/18/2019,450
194.937,syn8,7/18/2019,540
184.107,syn9,7/18/2019,400
178.759,syn10,7/18/2019,360
169.972,syn11,7/18/2019,440
161.976,syn12,7/18/2019,430
154.82,syn13,7/18/2019,410
143.68,syn14,7/18/2019,400
140.638,syn15,7/18/2019,440
131.849,syn16,7/18/2019,370
128.96,syn17,7/18/2019,330
124.229,syn18,7/18/2019,480
107.753,waterfall,7/18/2019,540
102.753,syn19,7/18/2019,970
94.14,syn20,7/18/2019,1160
87.664,syn21,7/18/2019,1270
81.871,syn22,7/18/2019,1310
75.925,syn23,7/18/2019,1620
67.023,syn24,7/18/2019,1750
63.659,syn25,7/18/2019,1810
56.243,syn26,7/18/2019,1880
51.477,syn27,7/18/2019,1950
47.593,syn28,7/18/2019,2100
37.442,syn29,7/18/2019,2090
34.256,syn30,7/18/2019,2280
25.495,syn31,7/18/2019,2070
16.957,syn32,7/18/2019,2030
12.337,syn33,7/18/2019,2000
4.002,syn34,7/18/2019,2050
0,syn35,7/18/2019,2080
245.23145,syn1,7/25/2019,450
240.131,syn2,7/25/2019,440
228.22,syn3,7/25/2019,470
225.566,syn4,7/25/2019,490
217.636,syn5,7/25/2019,510
208.216,syn6,7/25/2019,470
204.122,syn7,7/25/2019,500
194.937,syn8,7/25/2019,530
184.107,syn9,7/25/2019,520
178.759,syn10,7/25/2019,480
169.972,syn11,7/25/2019,510
161.976,syn12,7/25/2019,550
154.82,syn13,7/25/2019,490
143.68,syn14,7/25/2019,540
140.638,syn15,7/25/2019,510
131.849,syn16,7/25/2019,470
128.96,syn17,7/25/2019,430
124.229,syn18,7/25/2019,580
107.753,waterfall,7/25/2019,490
102.753,syn19,7/25/2019,850
94.14,syn20,7/25/2019,990
87.664,syn21,7/25/2019,930
81.871,syn22,7/25/2019,1150
75.925,syn23,7/25/2019,1270
67.023,syn24,7/25/2019,1320
63.659,syn25,7/25/2019,1150
56.243,syn26,7/25/2019,1210
51.477,syn27,7/25/2019,1470
47.593,syn28,7/25/2019,1350
37.442,syn29,7/25/2019,1560
34.256,syn30,7/25/2019,1450
25.495,syn31,7/25/2019,1420
16.957,syn32,7/25/2019,1470
12.337,syn33,7/25/2019,1510
4.002,syn34,7/25/2019,1370
0,syn35,7/25/2019,1480
245.23145,syn1,7/29/2019,510
240.131,syn2,7/29/2019,480
228.22,syn3,7/29/2019,530
225.566,syn4,7/29/2019,530
217.636,syn5,7/29/2019,670
208.216,syn6,7/29/2019,520
