Synoptic,Distance,Distance for Eos,Elevation,Dist_2_Next(m),Slope,,Position,Dist. (m),Elev. (m),
35,0,,4132.305176,6.22,0.053067203,,1 to 2,5.15,-0.402833,-0.07822
34,4.002,4.002,4131.975098,7.47,0.014511245,,2 to 3,7.32,0.502442,0.068639617
33,12.337,,4131.866699,8.38,0.00675895,,3 to 4,6.68,0.654297,0.097948653
32,16.957,,4131.810059,6.29,0.077783466,,4 to 5,7.92,0.506836,0.063994444
31,25.495,,4131.320801,17.94,0.014833501,,5 to 6,9.51,0.8208,0.086309148
30,34.256,,4131.054688,13.21,0.008501514,,6 to 7,4.19,0.113282,0.027036277
29,37.442,37.442,4130.942383,10.18,0.046525835,,7 to 8,9.56,0.622558,0.06512113
28,47.593,,4130.46875,6.17,0.006489303,,8 to 9,10.6,0.960938,0.090654528
27,51.477,,4130.428711,8.83,0.036441336,,9 to 10,5.4,0.187012,0.034631852
26,56.243,,4130.106934,6.9,0.060716812,,10 to 11,8.68,1.102539,0.127020622
25,63.659,,4129.687988,5.39,0.148024304,,11 to 12,8.14,0.737304,0.090577887
24,67.023,,4128.890137,6.58,0.19983921,,12 to 13,7.45,1.059082,0.142158658
23,75.925,75.925,4127.575195,6.57,0.120621005,,13 to 14,7.66,0.817383,0.106707963
22,81.871,,4126.782715,4.83,0.154875155,,14 to 15,6.17,0.461426,0.074785413
21,87.664,,4126.034668,5.14,0.180778016,,15 to 16,9.27,0.003906,0.000421359
20,94.14,94.14,4125.105469,10.58,0.392701796,,16 to 17,8.17,1.539063,0.188379804
19,102.753,,4120.950684,12.17,0.265164421,,17 to 18,9.82,1.35791,0.138280041
18.5,107.753,107.753,4118.45,,,,,,,
18,124.229,,4117.723633,9.82,0.138280041,,18 to 19,12.17,3.227051,0.265164421
17,128.96,,4116.365723,8.17,0.188379804,,19 to 20,10.58,4.154785,0.392701796
16,131.849,,4114.82666,9.27,0.000421359,,20 to 21,5.14,0.929199,0.180778016
15,140.638,,4114.822754,6.17,0.074785413,,21 to 22,4.83,0.748047,0.154875155
14,143.68,143.68,4114.361328,7.66,0.106707963,,22 to 23,6.57,0.79248,0.120621005
13,154.82,,4113.543945,7.45,0.142158658,,23 to 24,6.58,1.314942,0.19983921
12,161.976,,4112.484863,8.14,0.090577887,,24 to 25,5.39,0.797851,0.148024304
11,169.972,169.972,4111.747559,8.68,0.127020622,,25 to 26,6.9,0.418946,0.060716812
10,178.759,,4110.64502,5.4,0.034631852,,26 to 27,8.83,0.321777,0.036441336
9,184.107,,4110.458008,10.6,0.090654528,,27 to 28,6.17,0.040039,0.006489303
8,194.937,194.937,4109.49707,9.56,0.06512113,,28 to 29,10.18,0.473633,0.046525835
7,204.122,,4108.874512,4.19,0.027036277,,29 to 30,13.21,0.112305,0.008501514
6,208.216,,4108.76123,9.51,0.086309148,,30 to 31,17.94,0.266113,0.014833501
5,217.636,217.636,4107.94043,7.92,0.063994444,,31 to 32,6.29,0.489258,0.077783466
4,225.566,,4107.433594,6.68,0.097948653,,32 to 33,8.38,0.05664,0.00675895
3,228.22,,4106.779297,7.32,0.068639617,,33 to 34,7.47,0.108399,0.014511245
2,240.131,,4106.276855,5.15,-0.07822,,34 to 35,6.22,0.330078,0.053067203
1,245.23145,245.23145,4106.679688,,,,,,,
