Date,Time,Volts
6/18/2019,10:51:02 AM,0.047
6/18/2019,10:51:07 AM,0.047
6/18/2019,10:51:12 AM,0.0465
6/18/2019,10:51:17 AM,0.047
6/18/2019,10:51:22 AM,0.0475
6/18/2019,10:51:27 AM,0.0475
6/18/2019,10:51:32 AM,0.0475
6/18/2019,10:51:37 AM,0.0475
6/18/2019,10:51:42 AM,0.0465
6/18/2019,10:51:47 AM,0.0465
6/18/2019,10:51:52 AM,0.048
6/18/2019,10:51:57 AM,0.051
6/18/2019,10:52:02 AM,0.055
6/18/2019,10:52:07 AM,0.061
6/18/2019,10:52:12 AM,0.067
6/18/2019,10:52:17 AM,0.074
6/18/2019,10:52:22 AM,0.081
6/18/2019,10:52:27 AM,0.088
6/18/2019,10:52:32 AM,0.096
6/18/2019,10:52:37 AM,0.104
6/18/2019,10:52:42 AM,0.113
6/18/2019,10:52:47 AM,0.1215
6/18/2019,10:52:52 AM,0.1295
6/18/2019,10:52:57 AM,0.1375
6/18/2019,10:53:02 AM,0.1455
6/18/2019,10:53:07 AM,0.154
6/18/2019,10:53:12 AM,0.163
6/18/2019,10:53:17 AM,0.1715
6/18/2019,10:53:22 AM,0.179
6/18/2019,10:53:27 AM,0.1865
6/18/2019,10:53:32 AM,0.194
6/18/2019,10:53:37 AM,0.2015
6/18/2019,10:53:42 AM,0.2105
6/18/2019,10:53:47 AM,0.219
6/18/2019,10:53:52 AM,0.2285
6/18/2019,10:53:57 AM,0.2375
6/18/2019,10:54:02 AM,0.2465
6/18/2019,10:54:07 AM,0.2545
6/18/2019,10:54:12 AM,0.2605
6/18/2019,10:54:17 AM,0.262
6/18/2019,10:54:22 AM,0.261
6/18/2019,10:54:27 AM,0.26
6/18/2019,10:54:32 AM,0.261
6/18/2019,10:54:37 AM,0.2645
6/18/2019,10:54:42 AM,0.2695
6/18/2019,10:54:47 AM,0.276
6/18/2019,10:54:52 AM,0.2835
6/18/2019,10:54:57 AM,0.2915
6/18/2019,10:55:02 AM,0.3
6/18/2019,10:55:07 AM,0.3095
6/18/2019,10:55:12 AM,0.3185
6/18/2019,10:55:17 AM,0.327
6/18/2019,10:55:22 AM,0.3345
6/18/2019,10:55:27 AM,0.343
6/18/2019,10:55:32 AM,0.351
6/18/2019,10:55:37 AM,0.3595
6/18/2019,10:55:42 AM,0.3675
6/18/2019,10:55:47 AM,0.3765
6/18/2019,10:55:52 AM,0.385
6/18/2019,10:55:57 AM,0.3915
6/18/2019,10:56:02 AM,0.398
6/18/2019,10:56:07 AM,0.404
6/18/2019,10:56:12 AM,0.41
6/18/2019,10:56:17 AM,0.4155
6/18/2019,10:56:22 AM,0.421
6/18/2019,10:56:27 AM,0.426
6/18/2019,10:56:32 AM,0.4305
6/18/2019,10:56:37 AM,0.436
6/18/2019,10:56:42 AM,0.4415
6/18/2019,10:56:47 AM,0.447
6/18/2019,10:56:52 AM,0.4505
6/18/2019,10:56:57 AM,0.4535
6/18/2019,10:57:02 AM,0.4565
