Date,Time,Voltage (V)
8/1/2019,3:50:00 PM,0.184
8/1/2019,3:51:00 PM,0.184
8/1/2019,3:52:00 PM,0.1815
8/1/2019,3:53:00 PM,0.1835
8/1/2019,3:54:00 PM,0.1875
8/1/2019,3:55:00 PM,0.183
8/1/2019,3:56:00 PM,0.1835
8/1/2019,3:57:00 PM,0.1825
8/1/2019,3:58:00 PM,0.1835
8/1/2019,3:59:00 PM,0.184
8/1/2019,4:00:00 PM,0.1815
8/1/2019,4:01:00 PM,0.1845
8/1/2019,4:02:00 PM,0.184
8/1/2019,4:03:00 PM,0.1855
8/1/2019,4:04:00 PM,0.1865
8/1/2019,4:05:00 PM,0.1875
8/1/2019,4:06:00 PM,0.189
8/1/2019,4:07:00 PM,0.1885
8/1/2019,4:08:00 PM,0.1875
8/1/2019,4:09:00 PM,0.188
8/1/2019,4:10:00 PM,0.1865
8/1/2019,4:11:00 PM,0.1845
8/1/2019,4:12:00 PM,0.183
8/1/2019,4:13:00 PM,0.184
8/1/2019,4:14:00 PM,0.1835
8/1/2019,4:15:00 PM,0.181
8/1/2019,4:16:00 PM,0.1825
8/1/2019,4:17:00 PM,0.181
8/1/2019,4:18:00 PM,0.1815
8/1/2019,4:19:00 PM,0.1815
8/1/2019,4:20:00 PM,0.182
8/1/2019,4:21:00 PM,0.179
8/1/2019,4:22:00 PM,0.18
8/1/2019,4:23:00 PM,0.181
8/1/2019,4:24:00 PM,0.1815
8/1/2019,4:25:00 PM,0.1815
8/1/2019,4:26:00 PM,0.1805
8/1/2019,4:27:00 PM,0.1835
8/1/2019,4:28:00 PM,0.1815
8/1/2019,4:29:00 PM,0.179
8/1/2019,4:30:00 PM,0.181
8/1/2019,4:31:00 PM,0.182
8/1/2019,4:32:00 PM,0.1845
8/1/2019,4:33:00 PM,0.1805
8/1/2019,4:34:00 PM,0.1825
8/1/2019,4:35:00 PM,0.182
8/1/2019,4:36:00 PM,0.184
8/1/2019,4:37:00 PM,0.185
8/1/2019,4:38:00 PM,0.1875
8/1/2019,4:39:00 PM,0.195
8/1/2019,4:40:00 PM,0.1995
8/1/2019,4:41:00 PM,0.2025
8/1/2019,4:42:00 PM,0.2055
8/1/2019,4:43:00 PM,0.208
8/1/2019,4:44:00 PM,0.2075
8/1/2019,4:45:00 PM,0.2125
8/1/2019,4:46:00 PM,0.223
8/1/2019,4:47:00 PM,0.235
8/1/2019,4:48:00 PM,0.2485
8/1/2019,4:49:00 PM,0.263
8/1/2019,4:50:00 PM,0.2815
8/1/2019,4:51:00 PM,0.2985
8/1/2019,4:52:00 PM,0.3135
8/1/2019,4:53:00 PM,0.3305
8/1/2019,4:54:00 PM,0.34
8/1/2019,4:55:00 PM,0.3525
8/1/2019,4:56:00 PM,0.3625
8/1/2019,4:57:00 PM,0.373
8/1/2019,4:58:00 PM,0.3785
8/1/2019,4:59:00 PM,0.3815
8/1/2019,5:00:00 PM,0.3855
8/1/2019,5:01:00 PM,0.3855
8/1/2019,5:02:00 PM,0.3905
8/1/2019,5:03:00 PM,0.3915
8/1/2019,5:04:00 PM,0.393
8/1/2019,5:05:00 PM,0.3945
8/1/2019,5:06:00 PM,0.3985
8/1/2019,5:07:00 PM,0.398
8/1/2019,5:08:00 PM,0.4005
8/1/2019,5:09:00 PM,0.403
8/1/2019,5:10:00 PM,0.403
8/1/2019,5:11:00 PM,0.4035
8/1/2019,5:12:00 PM,0.4065
8/1/2019,5:13:00 PM,0.4025
8/1/2019,5:14:00 PM,0.4055
8/1/2019,5:15:00 PM,0.407
8/1/2019,5:16:00 PM,0.4055
8/1/2019,5:17:00 PM,0.4075
8/1/2019,5:18:00 PM,0.407
8/1/2019,5:19:00 PM,0.4085
8/1/2019,5:20:00 PM,0.4065
8/1/2019,5:21:00 PM,0.409
8/1/2019,5:22:00 PM,0.411
8/1/2019,5:23:00 PM,0.413
8/1/2019,5:24:00 PM,0.412
8/1/2019,5:25:00 PM,0.41
8/1/2019,5:26:00 PM,0.4105
8/1/2019,5:27:00 PM,0.412
8/1/2019,5:28:00 PM,0.41
8/1/2019,5:29:00 PM,0.41
8/1/2019,5:30:00 PM,0.411
8/1/2019,5:31:00 PM,0.4115
8/1/2019,5:32:00 PM,0.411
8/1/2019,5:33:00 PM,0.4115
8/1/2019,5:34:00 PM,0.4145
8/1/2019,5:35:00 PM,0.41
8/1/2019,5:36:00 PM,0.4125
8/1/2019,5:37:00 PM,0.412
8/1/2019,5:38:00 PM,0.411
8/1/2019,5:39:00 PM,0.415
