Date,Time,Time Zone,Delta,Voltage (V)
7/12/2019,12:44:20,-05:00,-00:00:00,0.2715
7/12/2019,12:45:20,-05:00,+00:01:00,0.267
7/12/2019,12:46:20,-05:00,+00:02:00,0.267
7/12/2019,12:47:20,-05:00,+00:03:00,0.2665
7/12/2019,12:48:20,-05:00,+00:04:00,0.2645
7/12/2019,12:49:20,-05:00,+00:05:00,0.266
7/12/2019,12:50:20,-05:00,+00:06:00,0.2635
7/12/2019,12:51:20,-05:00,+00:07:00,0.264
7/12/2019,12:52:20,-05:00,+00:08:00,0.262
7/12/2019,12:53:20,-05:00,+00:09:00,0.262
7/12/2019,12:54:20,-05:00,+00:10:00,0.2605
7/12/2019,12:55:20,-05:00,+00:11:00,0.2615
7/12/2019,12:56:20,-05:00,+00:12:00,0.2615
7/12/2019,12:57:20,-05:00,+00:13:00,0.2615
7/12/2019,12:58:20,-05:00,+00:14:00,0.2605
7/12/2019,12:59:20,-05:00,+00:15:00,0.2615
7/12/2019,13:00:20,-05:00,+00:16:00,0.26
7/12/2019,13:01:20,-05:00,+00:17:00,0.2635
7/12/2019,13:02:20,-05:00,+00:18:00,0.2865
7/12/2019,13:03:20,-05:00,+00:19:00,0.333
7/12/2019,13:04:20,-05:00,+00:20:00,0.373
7/12/2019,13:05:20,-05:00,+00:21:00,0.404
7/12/2019,13:06:20,-05:00,+00:22:00,0.4265
7/12/2019,13:07:20,-05:00,+00:23:00,0.4425
7/12/2019,13:08:20,-05:00,+00:24:00,0.4525
7/12/2019,13:09:20,-05:00,+00:25:00,0.4635
7/12/2019,13:10:20,-05:00,+00:26:00,0.4665
7/12/2019,13:11:20,-05:00,+00:27:00,0.468
7/12/2019,13:12:20,-05:00,+00:28:00,0.47
7/12/2019,13:13:20,-05:00,+00:29:00,0.465
7/12/2019,13:14:20,-05:00,+00:30:00,0.46
7/12/2019,13:15:20,-05:00,+00:31:00,0.462
7/12/2019,13:16:20,-05:00,+00:32:00,0.46
7/12/2019,13:17:20,-05:00,+00:33:00,0.457
7/12/2019,13:18:20,-05:00,+00:34:00,0.458
7/12/2019,13:19:20,-05:00,+00:35:00,0.455
7/12/2019,13:20:20,-05:00,+00:36:00,0.4555
7/12/2019,13:21:20,-05:00,+00:37:00,0.45
7/12/2019,13:22:20,-05:00,+00:38:00,0.452
7/12/2019,13:23:20,-05:00,+00:39:00,0.4515
7/12/2019,13:24:20,-05:00,+00:40:00,0.4515
7/12/2019,13:25:20,-05:00,+00:41:00,0.4485
7/12/2019,13:26:20,-05:00,+00:42:00,0.4495
7/12/2019,13:27:20,-05:00,+00:43:00,0.4475
7/12/2019,13:28:20,-05:00,+00:44:00,0.445
7/12/2019,13:29:20,-05:00,+00:45:00,0.4465
7/12/2019,13:30:20,-05:00,+00:46:00,0.443
7/12/2019,13:31:20,-05:00,+00:47:00,0.443
7/12/2019,13:32:20,-05:00,+00:48:00,0.441
7/12/2019,13:33:20,-05:00,+00:49:00,0.4405
7/12/2019,13:34:20,-05:00,+00:50:00,0.4375
7/12/2019,13:35:20,-05:00,+00:51:00,0.4345
7/12/2019,13:36:20,-05:00,+00:52:00,0.435
7/12/2019,13:37:20,-05:00,+00:53:00,0.4325
7/12/2019,13:38:20,-05:00,+00:54:00,0.434
7/12/2019,13:39:20,-05:00,+00:55:00,0.4295
7/12/2019,13:40:20,-05:00,+00:56:00,0.4325
7/12/2019,13:41:20,-05:00,+00:57:00,0.429
7/12/2019,13:42:20,-05:00,+00:58:00,0.4285
7/12/2019,13:43:20,-05:00,+00:59:00,0.425
7/12/2019,13:44:20,-05:00,+01:00:00,0.4245
7/12/2019,13:45:20,-05:00,+01:01:00,0.4235
7/12/2019,13:46:20,-05:00,+01:02:00,0.4185
7/12/2019,13:47:20,-05:00,+01:03:00,0.421
7/12/2019,13:48:20,-05:00,+01:04:00,0.418
7/12/2019,13:49:20,-05:00,+01:05:00,0.417
